loss_pol_surr,EpThisIter,ev_tdlam_before,loss_kl,loss_pol_entpen,TimestepsSoFar,loss_ent,EpRewMean,EpLenMean,loss_vf_loss,EpisodesSoFar,TimeElapsed
-0.00581323,2,-0.00970029830933,0.00884651,0.0,240793,0.922546,953.58,953.58,68.6745,970,190.18371772766113
-0.00691836,2,0.0008465051651,0.00657804,0.0,242793,0.916261,959.71,959.71,67.8213,972,191.78109169006348
-0.00470361,2,-0.0230298042297,0.00649727,0.0,244793,0.927416,966.87,966.87,68.7365,974,193.39801740646362
-0.00488378,3,-0.00204348564148,0.00757546,0.0,247793,0.925424,966.87,966.87,101.307,977,195.00084781646729
-0.00733589,2,0.00214290618896,0.00943937,0.0,249793,0.914642,966.87,966.87,66.6217,979,196.61001873016357
-0.00583857,2,-0.0321629047394,0.00664989,0.0,251793,0.935785,966.87,966.87,67.99,981,198.21188306808472
-0.00855949,2,-0.0209999084473,0.0141111,0.0,253793,0.972639,966.87,966.87,67.7956,983,199.8135187625885
-0.00853325,2,-0.00102770328522,0.00555613,0.0,255793,0.967674,966.87,966.87,67.8874,985,201.42302417755127
-0.0064013,2,-0.00163316726685,0.00531555,0.0,257793,0.961828,966.87,966.87,67.9551,987,203.03154134750366
-0.00933044,2,-0.00110948085785,0.00607731,0.0,259793,0.938631,966.87,966.87,67.9008,989,204.63241386413574
-0.00265754,2,-0.00112843513489,0.00544539,0.0,261793,0.944565,966.87,966.87,68.1947,991,206.22727966308594
-0.00242431,2,-0.000410676002502,0.00528182,0.0,263793,0.916042,975.75,975.75,68.0353,993,207.81631302833557
-0.0116205,4,0.343029618263,0.00582414,0.0,265738,0.957197,955.2,955.2,45.3799,997,209.42198538780212
-0.0125987,2,-0.0566602945328,0.00892777,0.0,267446,0.934144,952.28,952.28,35.2269,999,211.03135561943054
-0.00718849,2,-0.0141838788986,0.00505507,0.0,269446,0.920534,952.28,952.28,69.458,1001,212.64072608947754
-0.00373253,2,0.00392681360245,0.00288889,0.0,271446,0.915085,952.28,952.28,67.5858,1003,214.23447179794312
