EpRewMean,EpThisIter,ev_tdlam_before,loss_pol_entpen,loss_kl,TimeElapsed,TimestepsSoFar,EpLenMean,loss_vf_loss,loss_pol_surr,EpisodesSoFar,loss_ent
6832.80364087,2,0.298350155354,0.0,0.0868522,246.25741696357727,285759,734.2,4776.09,0.00698488,4621,-0.511825
6824.58001971,3,0.309886693954,0.0,0.0498006,248.00759744644165,288054,733.32,6952.31,0.0131305,4624,-0.522095
6817.38070118,4,0.654359221458,0.0,0.0211209,249.74116325378418,290493,732.55,3019.66,-0.00531576,4628,-0.518934
6731.2387757,4,0.617636650801,0.0,0.0326973,251.48266196250916,292553,723.3,6203.63,0.000107017,4632,-0.529304
6721.15103093,2,0.286837637424,0.0,0.0306574,253.21726822853088,294445,722.22,4444.53,-0.00266978,4634,-0.532816
6812.46998878,2,-0.077912569046,0.0,0.0415801,254.95285654067993,296445,732.02,5640.14,0.00285364,4636,-0.524569
6834.03288633,3,0.106513857841,0.0,0.026505,256.6918480396271,298656,734.33,7809.9,-0.00389812,4639,-0.523486
6955.20035031,2,-0.00815629959106,0.0,0.0138395,258.41869831085205,300656,747.34,5617.4,-0.00591863,4641,-0.511222
6989.77662139,2,0.482179224491,0.0,0.020005,260.19755268096924,302524,751.05,3896.91,-0.00575538,4643,-0.488363
6989.79717719,2,-0.0402188301086,0.0,0.0234428,261.93470430374146,304524,751.05,5243.42,-0.0044016,4645,-0.481909
6970.59145745,3,0.258245050907,0.0,0.0164308,263.68385076522827,306614,748.98,7508.76,-0.00839617,4648,-0.469664
6968.74651286,2,0.369931578636,0.0,0.0190242,265.41237330436707,308594,748.78,3737.96,-0.0106596,4650,-0.470491
7015.14744465,2,-0.210630893707,0.0,0.0111522,267.1627185344696,310594,753.76,5920.14,-0.00414445,4652,-0.469166
7133.559067,2,-0.00778758525848,0.0,0.0266982,268.89684987068176,312594,766.47,5723.89,0.00655253,4654,-0.470471
7091.76542297,3,0.217026472092,0.0,0.0103872,270.64637303352356,314902,761.99,7347.76,-0.0109376,4657,-0.448653
7223.37651369,3,0.531173944473,0.0,0.0146461,272.3878593444824,317288,776.13,5103.71,-0.00915231,4660,-0.428398
7273.24439469,2,0.392353117466,0.0,0.00786075,274.1385006904602,319091,781.49,4543.84,-0.00798579,4662,-0.426238
