EpLenMean,TimeElapsed,EpRewMean,loss_pol_entpen,loss_ent,loss_kl,loss_vf_loss,loss_pol_surr,EpisodesSoFar,EpThisIter,TimestepsSoFar,ev_tdlam_before
50.0,323.7206482887268,-7.01553254697,0.0,-3.48482,0.023595,0.17371,-0.0146331,7454,41,372700,0.90501601249
50.0,325.4932360649109,-6.73572518678,0.0,-3.4944,0.0303209,0.0834417,-0.0157545,7495,41,374750,0.946913540363
50.0,327.2902452945709,-6.6389855007,0.0,-3.51645,0.0252094,0.0391763,-0.0126221,7536,41,376800,0.957920122892
50.0,329.05906772613525,-6.22744439073,0.0,-3.52777,0.0502967,0.0433446,-0.0157801,7577,41,378850,0.963942103088
50.0,330.8521656990051,-6.21319124214,0.0,-3.52949,0.0617228,0.0419852,0.00516213,7618,41,380900,0.975956780836
50.0,332.6026849746704,-6.42307369875,0.0,-3.53873,0.0521334,0.0232969,0.0043561,7659,41,382950,0.986772083677
50.0,334.4497411251068,-6.36360114195,0.0,-3.55754,0.0364683,0.0390079,-0.023717,7700,41,385000,0.957413159311
50.0,336.21843934059143,-6.70552041871,0.0,-3.59128,0.0362636,0.050497,-0.0237143,7741,41,387050,0.957873318344
50.0,338.01542043685913,-6.77024030254,0.0,-3.59952,0.0232958,0.0609364,-0.0264999,7782,41,389100,0.956075534225
50.0,339.7584149837494,-6.91150258469,0.0,-3.60707,0.0397164,0.0571431,-0.0127147,7823,41,391150,0.969042750075
50.0,341.55542254447937,-6.19481304396,0.0,-3.61176,0.0373924,0.0457462,-0.0143168,7864,41,393200,0.960950549692
50.0,343.30546855926514,-6.51079185621,0.0,-3.62481,0.0461044,0.0423425,-0.0204911,7905,41,395250,0.9634854123
50.0,345.10396432876587,-7.04441856067,0.0,-3.62039,0.0359774,0.0320553,-0.0155151,7946,41,397300,0.972100902349
50.0,346.8520607948303,-6.7449321912,0.0,-3.64807,0.0272703,0.0291271,-0.019125,7987,41,399350,0.974178027362
50.0,348.63340950012207,-6.57876306084,0.0,-3.68251,0.0698932,0.0342958,0.00697086,8028,41,401400,0.972350893542
50.0,350.3991205692291,-6.80807683201,0.0,-3.69811,0.0331803,0.0356723,-0.0230967,8069,41,403450,0.97948975116
50.0,352.196658372879,-6.80756519555,0.0,-3.72798,0.0435619,0.0268492,-0.0103282,8110,41,405500,0.977605480701
