loss_pol_surr,TimeElapsed,EpRewMean,loss_vf_loss,loss_ent,TimestepsSoFar,loss_kl,EpisodesSoFar,loss_pol_entpen,ev_tdlam_before,EpThisIter,EpLenMean
-0.056095,271.804566860199,1939.03648772,226.072,5.39177,270293,0.0244763,1478,0.0,0.935311198235,4,515.67
-0.0567173,273.8516159057617,1963.3901506,163.902,5.36174,271983,0.0238793,1481,0.0,0.914941884577,3,520.45
-0.0559693,275.8819212913513,2026.48543912,164.68,5.32193,273979,0.0248748,1483,0.0,0.906683139503,2,533.66
-0.037586,277.9299499988556,2066.66195694,788.245,5.30745,275542,0.021395,1485,0.0,0.815612256527,2,541.26
-0.0414256,279.9760994911194,2097.27621293,662.393,5.29194,277993,0.0189461,1488,0.0,0.853233546019,3,546.83
-0.0589071,282.007652759552,2138.45083418,85.8685,5.28433,280032,0.0207874,1491,0.0,0.92886762321,3,554.83
-0.0580299,284.07025599479675,2183.80051358,161.279,5.27376,282166,0.0210477,1494,0.0,0.926574170589,3,563.66
-0.0600255,286.1017427444458,2215.12157449,148.649,5.26297,284554,0.0235799,1498,0.0,0.952966198325,4,568.62
-0.056242,288.1645429134369,2218.72737244,131.208,5.25586,286395,0.0208394,1502,0.0,0.952839780599,4,567.42
-0.0427627,290.21153354644775,2228.09237286,704.84,5.24164,288430,0.0251826,1505,0.0,0.863178610802,3,567.79
-0.0447389,292.2603552341461,2264.19674298,618.526,5.24878,290354,0.0252333,1508,0.0,0.811464712024,3,574.58
-0.0464182,294.30048632621765,2290.00991735,890.441,5.25063,292378,0.0230262,1511,0.0,0.792441546917,3,579.65
-0.0560814,296.359091758728,2341.82484547,177.671,5.25721,294596,0.0278924,1514,0.0,0.904182866216,3,589.41
-0.0590374,298.4265465736389,2369.45948543,132.906,5.23361,296489,0.027166,1517,0.0,0.928217612207,3,594.07
-0.0611747,300.46162605285645,2421.12825763,143.148,5.24493,298427,0.0218132,1520,0.0,0.959367889911,3,604.11
-0.0577687,302.515496969223,2439.86326736,148.257,5.2372,300516,0.0277912,1523,0.0,0.916898041964,3,605.7
-0.0579343,304.5634264945984,2469.08791298,201.68,5.22068,302980,0.0218812,1527,0.0,0.885031796992,4,609.99
-0.0428418,306.60950326919556,2492.18999541,867.061,5.18514,304583,0.0216839,1529,0.0,0.754163607955,2,612.72
-0.0426929,308.6568567752838,2559.6250774,748.387,5.15848,306533,0.0282956,1531,0.0,0.734345912933,2,625.69
-0.0581104,310.70373582839966,2589.56765639,237.691,5.17594,308865,0.021462,1534,0.0,0.908748075366,3,630.02
-0.0571729,312.7499692440033,2632.70259947,142.086,5.16598,310997,0.0256401,1537,0.0,0.942169882357,3,637.41
-0.0570396,314.81264877319336,2633.16014806,213.696,5.19047,313248,0.0255695,1541,0.0,0.928784459829,4,636.36
-0.0461826,316.85963702201843,2689.26815603,234.859,5.1535,314986,0.0236664,1543,0.0,0.772469177842,2,647.1
-0.0557285,318.8931634426117,2723.06940284,296.992,5.14163,317197,0.0261785,1547,0.0,0.905683808029,4,653.23
