loss_pol_surr,TimeElapsed,TimestepsSoFar,ev_tdlam_before,EpThisIter,EpRewMean,EpLenMean,loss_kl,loss_pol_entpen,EpisodesSoFar,loss_ent,loss_vf_loss
-0.00466868,183.1022937297821,232956,0.04093927145,2,921.38,921.38,0.00419649,0.0,1026,1.0641,66.1451
-0.00441971,184.7037546634674,234956,0.0276880264282,2,921.38,921.38,0.00994931,0.0,1028,1.06158,69.0092
-0.00619582,186.29599595069885,236956,-0.0244385004044,2,921.38,921.38,0.00953612,0.0,1030,1.047,69.2619
-0.0114751,187.9061427116394,239401,0.843890741467,5,895.83,895.83,0.011625,0.0,1035,1.0422,57.1966
-0.0125221,189.4995846748352,241200,0.809667930007,3,883.82,883.82,0.0103826,0.0,1038,1.02463,22.141
-0.0120805,191.10443782806396,243449,0.947230741382,4,884.05,884.05,0.00486329,0.0,1042,1.0148,13.678
-0.00750875,192.7033932209015,245126,0.88678753376,3,883.1,883.1,0.00703645,0.0,1045,1.00956,33.8549
-0.00613264,194.3128640651703,247376,0.266877710819,3,882.35,882.35,0.00544194,0.0,1048,0.999863,85.962
-0.00408851,195.92094898223877,249376,-0.0330719947815,2,885.77,885.77,0.00443956,0.0,1050,0.994217,72.7665
-0.00605444,197.51594996452332,251862,0.0123865604401,3,880.63,880.63,0.0110594,0.0,1053,0.982782,104.314
-0.00820824,199.10941123962402,253862,-0.0104932785034,2,880.63,880.63,0.00812598,0.0,1055,0.979738,70.1499
-0.00627849,200.7177872657776,255862,5.49554824829e-05,2,880.63,880.63,0.00600564,0.0,1057,0.966532,69.793
-0.00911867,202.32848525047302,257862,-0.0045154094696,2,880.63,880.63,0.0105954,0.0,1059,0.981283,70.0784
-0.00307165,203.9212019443512,259862,-0.000333666801453,2,880.63,880.63,0.00487328,0.0,1061,0.996548,68.9715
-0.00383041,205.53041648864746,261862,0.0104286074638,2,880.63,880.63,0.00387825,0.0,1063,0.995443,69.2902
-0.0031023,207.12584805488586,263862,-0.0047345161438,2,880.63,880.63,0.00321863,0.0,1065,0.997764,68.4246
-0.0044352,208.74222898483276,265862,-0.00091814994812,2,880.63,880.63,0.00361828,0.0,1067,0.995535,68.5334
-0.00624917,210.34331226348877,267862,-0.000601768493652,2,880.63,880.63,0.0108317,0.0,1069,0.99935,68.4945
-0.00626375,211.93676590919495,269862,-0.00936627388,2,881.02,881.02,0.00549812,0.0,1071,0.983555,68.4828
-0.00768579,213.53123140335083,271862,0.00178509950638,2,881.02,881.02,0.00638564,0.0,1073,0.98392,61.7464
-0.00475123,215.12421584129333,273862,-0.00759530067444,2,881.02,881.02,0.0103372,0.0,1075,0.989729,68.2473
-0.00537755,216.7430169582367,275862,0.0127038359642,2,881.02,881.02,0.0036479,0.0,1077,0.990055,65.0161
-0.0152817,218.32836365699768,278193,0.0979759097099,3,874.33,874.33,0.00794478,0.0,1080,0.984504,63.7815
-0.00413596,219.93688082695007,280193,-0.0659180879593,2,874.33,874.33,0.00652789,0.0,1082,0.981028,66.6873
-0.00885491,221.54625964164734,282487,0.0179613232613,3,867.27,867.27,0.00495706,0.0,1085,0.970119,95.0477
-0.00674212,223.14046669006348,284487,-0.00806057453156,2,873.3,873.3,0.00698679,0.0,1087,0.978548,64.2785
-0.0040651,224.75056910514832,286487,-0.0154156684875,2,873.3,873.3,0.00472521,0.0,1089,0.998947,68.5455
-0.0111175,226.34332180023193,287901,0.0574266314507,2,867.44,867.44,0.0107303,0.0,1091,0.970036,53.5573
