ev_tdlam_before,loss_pol_surr,loss_pol_entpen,EpRewMean,loss_vf_loss,TimeElapsed,loss_kl,loss_ent,TimestepsSoFar,EpisodesSoFar,EpLenMean,EpThisIter
0.923254415393,-0.0558739,0.0,420.155507546,66.4793,227.48462080955505,0.0185798,6.00397,217001,1670,180.88,11
0.937731917948,-0.0587096,0.0,425.389117612,59.6334,229.6618835926056,0.0182999,6.01947,218887,1680,183.38,10
0.959101639688,-0.0629856,0.0,432.221854702,47.0894,231.81599164009094,0.0202555,6.02904,221101,1691,186.17,11
0.944581963122,-0.0614266,0.0,435.677692633,63.4659,233.95039010047913,0.0188375,5.98964,223151,1702,187.29,11
0.949434176087,-0.0583333,0.0,444.780792332,56.2821,236.06948685646057,0.0180603,5.97789,225214,1712,190.9,10
0.907801963389,-0.0651914,0.0,452.610892749,87.2788,238.19543290138245,0.0211827,5.95944,227274,1722,194.07,10
0.935533709824,-0.0637295,0.0,456.238685241,51.959,240.35156297683716,0.0198757,5.91596,229335,1732,195.45,10
0.914393275976,-0.0641639,0.0,461.971537364,87.5234,242.51505756378174,0.0190845,5.91203,231326,1742,197.73,10
0.947467528284,-0.0596575,0.0,466.260106877,43.1,244.67210245132446,0.0200854,5.93707,233441,1752,198.74,10
0.928521223366,-0.0636467,0.0,467.469877352,68.9124,246.7976725101471,0.019189,5.92477,235485,1763,197.35,11
0.930987454951,-0.0595741,0.0,475.981821762,50.224,248.9371600151062,0.0226219,5.87453,237418,1772,200.47,9
0.946997042745,-0.0640806,0.0,480.553220607,54.9277,251.09380912780762,0.0183042,5.8732,239523,1782,202.08,10
0.950738366693,-0.065616,0.0,486.446801396,43.7866,253.25028491020203,0.0213644,5.86083,241512,1792,202.72,10
0.934681676328,-0.0656502,0.0,489.967334858,78.7041,255.36297821998596,0.0220753,5.80256,243503,1802,203.52,10
0.90694271028,-0.0600895,0.0,501.627319355,64.1425,257.5020396709442,0.0214759,5.72349,245660,1810,208.7,8
0.924562364817,-0.063224,0.0,513.558767723,77.7055,259.6318635940552,0.0230568,5.7065,247753,1819,211.66,9
0.95772633329,-0.0501203,0.0,511.550614189,60.8874,261.7593050003052,0.0174607,5.71981,249817,1827,215.22,8
0.924936570227,-0.0714237,0.0,523.67866037,83.6405,263.8909180164337,0.0245912,5.66594,251788,1835,218.99,8
0.943773563951,-0.0553608,0.0,518.852051532,56.9824,266.01506543159485,0.0178364,5.6119,253741,1844,219.52,9
0.874519392848,-0.0680129,0.0,527.294399974,92.9512,268.14019751548767,0.0223125,5.56507,255789,1853,221.57,9
0.943504326046,-0.0654425,0.0,546.743100946,44.8018,270.280921459198,0.0207631,5.52711,257995,1862,227.48,9
0.844777703285,-0.0589613,0.0,560.236327624,84.5956,272.421808719635,0.0191854,5.54254,259842,1868,232.62,6
0.924306727946,-0.061322,0.0,576.240322623,111.695,274.53866386413574,0.0201099,5.48314,262085,1876,237.88,8
0.845289587975,-0.0602204,0.0,588.147507438,119.242,276.6639823913574,0.0208635,5.47316,263934,1883,242.34,7
0.928918518126,-0.0660034,0.0,608.526382519,78.2713,278.7891037464142,0.0181677,5.42508,266172,1891,248.61,8
0.924422547221,-0.0576581,0.0,623.529493735,86.7136,280.89833211898804,0.0204729,5.45654,268155,1899,253.72,8
0.904142335057,-0.0710464,0.0,640.682615334,113.01,283.0391249656677,0.0245578,5.42377,270216,1906,256.77,7
0.932548440993,-0.0670228,0.0,641.745397451,101.296,285.1495909690857,0.0218216,5.37089,272144,1914,256.13,8
0.939304098487,-0.0627714,0.0,653.333341936,86.4455,287.28108525276184,0.0216002,5.33188,274193,1922,257.87,8
0.937333233654,-0.0596017,0.0,669.031258162,67.7853,289.4220621585846,0.0232515,5.34787,276289,1929,260.37,7
0.9480378218,-0.0671291,0.0,680.354395557,68.6061,291.5624566078186,0.0268662,5.34036,278213,1936,261.45,7
0.95397759974,-0.0614757,0.0,698.138486882,66.174,293.6875522136688,0.0246157,5.27564,280371,1944,266.3,8
0.9367274791,-0.061806,0.0,707.430054425,87.3189,295.78148770332336,0.0214774,5.22443,282436,1952,268.58,8
0.954357791692,-0.0707209,0.0,711.77650903,98.129,297.90663027763367,0.0227249,5.21451,284414,1960,269.28,8
0.943931430578,-0.0647059,0.0,708.295423816,91.7472,300.0495321750641,0.0253374,5.17532,286709,1969,265.74,9
0.944482833147,-0.0624997,0.0,711.969094185,49.6294,302.16400504112244,0.0219074,5.15033,288612,1976,265.27,7
0.930702261627,-0.0721645,0.0,714.59691832,67.9933,304.2583544254303,0.0220822,5.10332,290722,1984,265.17,8
0.895180843771,-0.0645803,0.0,709.893945788,112.342,306.4062588214874,0.0232869,5.08331,292678,1991,265.06,7
0.911557234824,-0.0658355,0.0,723.633641952,59.6328,308.5343177318573,0.0235401,5.00947,294775,1998,268.13,7
0.942337013781,-0.0628847,0.0,717.82316621,76.9221,310.67920422554016,0.0315871,4.95419,296806,2006,265.9,8
0.960458666086,-0.0564431,0.0,724.472886505,59.3929,312.8190770149231,0.0228378,4.91879,298883,2014,267.39,8
0.926871813834,-0.0665206,0.0,725.768472995,84.135,314.9375455379486,0.0237208,4.87203,300966,2022,267.73,8
0.917556017637,-0.0683694,0.0,725.631810776,82.7797,317.05379128456116,0.0229363,4.81453,303040,2029,267.51,7
0.945892583579,-0.065208,0.0,725.94317338,67.6621,319.1716296672821,0.0255289,4.80001,304979,2036,267.66,7
0.946401271969,-0.0620665,0.0,728.625130872,71.0536,321.30620074272156,0.0271321,4.7718,307081,2044,267.1,8
0.868026271462,-0.0582801,0.0,736.405928148,93.2253,323.4218988418579,0.0221028,4.74285,308939,2050,270.23,6
