TimestepsSoFar,EpRewMean,EpisodesSoFar,loss_pol_entpen,loss_vf_loss,loss_kl,TimeElapsed,loss_ent,ev_tdlam_before,loss_pol_surr,EpThisIter,EpLenMean
280309,1404.04138261,1503,0.0,10.814,0.0182986,311.5780141353607,1.73878,0.996806127019,-0.0326699,4,384.47
282207,1436.59585684,1507,0.0,7.99075,0.0243725,313.6886739730835,1.70431,0.997359459521,-0.0372354,4,392.81
284395,1441.96623574,1512,0.0,7.53763,0.0169187,315.8516080379486,1.66848,0.997264455305,-0.0331713,5,393.3
286420,1452.99062014,1517,0.0,8.48994,0.0178001,317.9303183555603,1.67651,0.99676759541,-0.0283386,5,395.01
288474,1474.97648311,1521,0.0,9.94471,0.0223149,320.02383685112,1.64074,0.995231525507,-0.0308126,4,400.31
290644,1474.74970978,1526,0.0,9.86854,0.0222792,322.1169204711914,1.63558,0.996743065538,-0.0278683,5,399.77
292522,1478.76504033,1531,0.0,9.68646,0.0190339,324.24229621887207,1.63406,0.995559348725,-0.032192,5,400.68
294740,1469.72875963,1537,0.0,11.8191,0.0141495,326.36699056625366,1.63865,0.996249841759,-0.028522,6,397.1
296780,1462.34858678,1545,0.0,14.7691,0.017617,328.46056056022644,1.60897,0.992311741225,-0.0323952,8,394.09
299000,1456.09510635,1551,0.0,11.3143,0.0202226,330.58561182022095,1.61146,0.995797352865,-0.0346483,6,392.0
300769,1417.99860363,1558,0.0,17.3682,0.0173125,332.78982639312744,1.58874,0.995338476729,-0.0386989,7,380.85
302864,1455.0006398,1562,0.0,10.4246,0.018586,335.12551403045654,1.56145,0.996290275129,-0.0350349,4,390.01
305020,1430.89992138,1569,0.0,14.6642,0.0229043,337.4070200920105,1.53632,0.996402073884,-0.029609,7,382.28
307009,1418.66639658,1574,0.0,16.0887,0.0213192,339.6858720779419,1.51253,0.993982557207,-0.0343752,5,378.75
309215,1420.96151457,1581,0.0,20.2144,0.0183823,341.97697019577026,1.52831,0.992634390946,-0.0321759,7,378.64
311129,1432.5284551,1586,0.0,21.9376,0.0226441,344.4306571483612,1.51901,0.994227799121,-0.0303228,5,381.55
313195,1424.47284889,1592,0.0,14.6162,0.0231571,346.84634280204773,1.48995,0.995319269598,-0.0349764,6,378.95
315129,1413.72769922,1597,0.0,20.707,0.0208377,349.3138761520386,1.48291,0.99339170754,-0.0259197,5,375.29
317038,1385.20075606,1603,0.0,50.3767,0.0181464,351.72642159461975,1.49328,0.980086004362,-0.0298621,6,367.29
319285,1371.62932288,1608,0.0,13.8286,0.0119371,354.2518720626831,1.48066,0.993762946222,-0.0323452,5,363.75
321344,1369.23574404,1614,0.0,71.5429,0.0141455,356.7579724788666,1.46324,0.975920785218,-0.0272775,6,363.46
323483,1318.53770691,1621,0.0,26.7155,0.0205595,359.1822278499603,1.45154,0.987199860625,-0.0395863,7,350.09
325420,1310.68346608,1626,0.0,19.3214,0.0172887,361.2661805152893,1.4651,0.992342715617,-0.0319841,5,347.76
327633,1341.76140193,1630,0.0,487.144,0.0223381,363.3443715572357,1.44825,0.874268487096,-0.0163248,4,356.57
329488,1340.81503228,1634,0.0,473.867,0.021289,365.46920824050903,1.4555,0.873365834355,-0.0245736,4,357.1
331739,1366.60941296,1639,0.0,75.0906,0.0225498,367.5700800418854,1.45341,0.972245469689,-0.0264452,5,363.98
333661,1397.88437085,1643,0.0,405.578,0.0239801,369.7275276184082,1.43935,0.880062550306,-0.0177205,4,372.89
335388,1434.48817623,1646,0.0,430.628,0.0176319,371.80601048469543,1.42791,0.852305993438,-0.0157829,3,383.09
337867,1437.93311438,1653,0.0,20.2588,0.0276079,373.907906293869,1.40317,0.98808241263,-0.0228341,7,383.69
339671,1441.7180281,1659,0.0,15.5394,0.0201848,375.99462389945984,1.38316,0.993033337872,-0.0330999,6,384.57
341850,1384.72831754,1668,0.0,342.692,0.0250986,378.1181254386902,1.38636,0.8146007061,-0.022916,9,370.65
343925,1380.87562015,1674,0.0,19.2398,0.0240045,380.2507736682892,1.35864,0.989369601011,-0.0220977,6,369.16
345917,1413.87475822,1677,0.0,394.331,0.0179854,382.36805748939514,1.37777,0.85333070159,-0.019512,3,378.73
347891,1429.97822785,1682,0.0,18.859,0.0170206,384.4450476169586,1.38113,0.989462172613,-0.0328738,5,382.71
350064,1465.97268487,1685,0.0,35.2456,0.018419,386.57048749923706,1.38369,0.966754924506,-0.0247179,3,392.54
351874,1464.91501587,1690,0.0,15.6887,0.0261025,388.74444460868835,1.36864,0.993105401751,-0.0290061,5,391.9
354304,1480.75791977,1696,0.0,16.4429,0.0182001,391.0543134212494,1.37012,0.994574747048,-0.0342387,6,396.29
356305,1487.45864617,1701,0.0,20.123,0.0132151,393.35144567489624,1.38388,0.989157293923,-0.0270862,5,397.99
358204,1484.80631139,1706,0.0,18.2468,0.0185736,395.5860137939453,1.37075,0.992610784248,-0.0361344,5,397.32
360327,1460.56397883,1714,0.0,23.7479,0.0156561,397.8830201625824,1.34804,0.991697232239,-0.0398174,8,389.83
362344,1468.27224726,1720,0.0,18.0878,0.018593,400.30434823036194,1.32226,0.993079383858,-0.0340759,6,391.79
364326,1498.2587444,1724,0.0,14.7238,0.0210963,402.78881001472473,1.3151,0.994884049054,-0.0321624,4,399.6
366159,1483.29373189,1728,0.0,10.3569,0.0203993,405.156370639801,1.3188,0.996667152038,-0.0340196,4,394.96
368613,1430.24958471,1736,0.0,25.2064,0.0238416,407.59283208847046,1.30406,0.992119600065,-0.0322059,8,380.4
370057,1441.45301817,1739,0.0,8.51884,0.0154761,410.0546910762787,1.26923,0.996087533422,-0.0326888,3,383.18
372543,1461.83501635,1743,0.0,17.8213,0.0166185,412.5803608894348,1.27564,0.991037403233,-0.0368623,4,388.82
374207,1419.35984994,1748,0.0,12.8792,0.0193132,415.12591218948364,1.26538,0.993847028818,-0.0295029,5,376.77
375856,1459.86741587,1750,0.0,6.27651,0.0198696,417.27809381484985,1.22088,0.995953519363,-0.0325164,2,387.97
378670,1483.64056647,1757,0.0,190.391,0.014432,419.3441035747528,1.22981,0.944872397929,-0.0246113,7,394.92
380427,1511.10065552,1761,0.0,16.8516,0.026744,421.4379756450653,1.22617,0.988093433902,-0.0296984,4,401.94
