TimestepsSoFar,ev_tdlam_before,loss_pol_surr,EpRewMean,loss_ent,EpisodesSoFar,TimeElapsed,loss_kl,EpThisIter,loss_pol_entpen,EpLenMean,loss_vf_loss
169000,0.094966173172,-0.0428313,450.598577094,3.06536,169,148.51558566093445,0.0227293,2,0.0,1000.0,52.3572
172000,0.118068099022,-0.0448388,475.381182723,3.05147,172,150.3133625984192,0.0223571,3,0.0,1000.0,71.3598
174000,0.411400556564,-0.0569668,490.026177026,3.00967,174,152.07922887802124,0.0225879,2,0.0,1000.0,57.3143
176000,0.138163626194,-0.0406903,506.250653522,2.94704,176,153.89147186279297,0.0206741,2,0.0,1000.0,57.298
178000,0.0847907066345,-0.0379804,523.026779049,2.9255,178,155.65675139427185,0.0200156,2,0.0,1000.0,54.9873
180000,0.137115836143,-0.0392719,538.471041718,2.88473,180,157.45426440238953,0.0267383,2,0.0,1000.0,56.7028
182000,0.162280082703,-0.0410792,553.263004938,2.85327,182,159.21830677986145,0.0239437,2,0.0,1000.0,57.699
184000,0.162963449955,-0.0435072,568.049495566,2.76684,184,161.01582050323486,0.0245787,2,0.0,1000.0,61.6243
186000,0.144289255142,-0.0426016,583.201623634,2.71616,186,162.78151512145996,0.0266223,2,0.0,1000.0,58.5998
188000,0.0893420577049,-0.0379473,599.297174284,2.69636,188,164.57045555114746,0.024136,2,0.0,1000.0,58.9792
190000,0.138848245144,-0.0383199,612.931678625,2.67233,190,166.34434413909912,0.0274906,2,0.0,1000.0,60.3285
192000,0.229519307613,-0.0380591,627.32223049,2.63889,192,168.12488436698914,0.0242154,2,0.0,1000.0,61.4247
194000,0.231337368488,-0.0386666,641.250341078,2.62451,194,169.90585088729858,0.0261375,2,0.0,1000.0,64.8031
196000,0.110207676888,-0.0419623,655.084788297,2.55362,196,171.7034773826599,0.0230396,2,0.0,1000.0,65.97
198000,0.115944445133,-0.0372137,668.006510154,2.50993,198,173.4845747947693,0.0255782,2,0.0,1000.0,62.9855
200000,0.0707660317421,-0.0367921,681.518579232,2.47004,200,175.2809579372406,0.0182127,2,0.0,1000.0,64.9663
202000,0.0568497776985,-0.0349262,695.452548436,2.4423,202,177.046888589859,0.0261927,2,0.0,1000.0,67.0219
204000,0.152893602848,-0.0390842,707.669095174,2.40827,204,178.8277816772461,0.0243727,2,0.0,1000.0,66.3169
206000,0.0449996590614,-0.0363654,719.207083884,2.39231,206,180.62544059753418,0.0211174,2,0.0,1000.0,66.7154
208000,0.0559357404709,-0.0364374,730.339923664,2.39716,208,182.42222142219543,0.0232403,2,0.0,1000.0,67.6046
210000,0.0489875674248,-0.0363133,743.805198665,2.34245,210,184.20279121398926,0.0237531,2,0.0,1000.0,67.5201
212000,0.111925542355,-0.0390188,755.269566888,2.29909,212,185.9847548007965,0.0256341,2,0.0,1000.0,72.8164
215000,0.0541431903839,-0.0353979,781.764851977,2.23769,215,187.7666962146759,0.0279616,3,0.0,1000.0,89.6476
217000,0.0661988258362,-0.0387707,793.368355084,2.20906,217,189.5476758480072,0.0263962,2,0.0,1000.0,70.6003
219000,0.112384617329,-0.0362017,804.457888686,2.19129,219,191.32912588119507,0.028297,2,0.0,1000.0,74.2018
221000,0.112205266953,-0.0340076,814.931939589,2.14767,221,193.10902905464172,0.0221704,2,0.0,1000.0,70.2791
223000,0.0941321253777,-0.0354292,825.698293056,2.19253,223,194.8909785747528,0.0197338,2,0.0,1000.0,81.3926
225000,0.236427843571,-0.0376108,836.719769108,2.1353,225,196.67216300964355,0.0281522,2,0.0,1000.0,79.2366
227000,0.0546077489853,-0.0382492,847.989040033,2.1087,227,198.4609501361847,0.0281286,2,0.0,1000.0,77.2726
229000,0.0734278559685,-0.0329688,857.379836209,2.10993,229,200.2340488433838,0.0274055,2,0.0,1000.0,81.0272
231000,0.0713894367218,-0.0326213,866.301108149,2.09658,231,202.01527452468872,0.0269977,2,0.0,1000.0,80.6461
233000,0.0602568984032,-0.0317673,875.453463184,2.0771,233,203.79735493659973,0.0317137,2,0.0,1000.0,80.4246
235000,0.0634407997131,-0.0360826,884.50213094,2.04947,235,205.5785415172577,0.0271481,2,0.0,1000.0,83.3141
237000,0.124300658703,-0.0403681,892.463526565,2.01128,237,207.36178398132324,0.023947,2,0.0,1000.0,84.4334
239000,0.071195602417,-0.0377045,900.160661035,1.98721,239,209.14092588424683,0.0193264,2,0.0,1000.0,82.1486
241000,0.0771331191063,-0.0367266,908.859103682,1.94114,241,210.93710732460022,0.0266652,2,0.0,1000.0,84.6598
243000,0.107740700245,-0.0374768,918.138297974,1.97453,243,212.70433807373047,0.0261297,2,0.0,1000.0,81.1594
245000,0.00380855798721,-0.04265,926.962963801,1.94453,245,214.5002145767212,0.0268693,2,0.0,1000.0,91.2926
247000,0.0629966855049,-0.0377113,934.948495304,1.90114,247,216.2655336856842,0.0314343,2,0.0,1000.0,89.4396
249000,0.0650911927223,-0.0362457,943.232281256,1.89982,249,218.06315350532532,0.033692,2,0.0,1000.0,87.9228
251000,0.0506544113159,-0.0329869,951.065689286,1.89994,251,219.8436839580536,0.0317633,2,0.0,1000.0,87.2558
253000,0.0741384625435,-0.0377995,957.142918708,1.92838,253,221.6256663799286,0.0220797,2,0.0,1000.0,90.5686
256000,0.0507856011391,-0.0415521,964.65722094,1.89272,256,223.40763902664185,0.033326,3,0.0,1000.0,126.57
258000,0.0705409049988,-0.0351047,971.77615191,1.8922,258,225.18731474876404,0.0232402,2,0.0,1000.0,90.0349
260000,0.0622034668922,-0.0380755,977.512959143,1.87205,260,226.96910643577576,0.0252353,2,0.0,1000.0,87.1039
262000,0.0604521036148,-0.0330953,983.372914093,1.84045,262,228.75093817710876,0.0290263,2,0.0,1000.0,88.3593
264000,0.0638965368271,-0.0334195,988.981244114,1.8449,264,230.5464265346527,0.0340911,2,0.0,1000.0,85.4912
266000,0.0383056998253,-0.0355734,995.04945853,1.85377,266,232.32883048057556,0.0241354,2,0.0,1000.0,86.3665
268000,0.0542832612991,-0.036166,1001.50984818,1.83656,268,234.11038255691528,0.0281808,2,0.0,1000.0,90.4826
270000,0.0707181096077,-0.0373462,1006.11193263,1.81283,270,235.89113783836365,0.0201637,2,0.0,1000.0,92.9715
272000,0.0806546807289,-0.0367977,1012.64515968,1.80134,272,237.6719264984131,0.0292189,2,0.0,1000.0,87.3753
274000,0.162916719913,-0.0374491,1018.9121082,1.75816,274,239.4528751373291,0.0325638,2,0.0,1000.0,94.5865
