EpThisIter,TimestepsSoFar,loss_pol_surr,loss_ent,TimeElapsed,EpisodesSoFar,loss_kl,EpLenMean,ev_tdlam_before,loss_vf_loss,EpRewMean,loss_pol_entpen
6,221007,-0.034874,2.4367,227.23381400108337,1499,0.0160656,292.52,0.997350426856,7.86312,991.113422881,0.0
7,223104,-0.0285854,2.40965,229.296142578125,1506,0.0193393,293.78,0.997833496891,6.16554,996.529180814,0.0
6,225140,-0.0236828,2.3886,231.3633062839508,1512,0.0232197,297.54,0.997252113419,7.9433,1009.16362927,0.0
7,227296,-0.0345399,2.34852,233.45721578598022,1519,0.0157138,297.46,0.997028161073,8.96084,1010.2561061,0.0
6,229187,-0.0322026,2.31349,235.53978157043457,1525,0.0138061,299.38,0.998152227374,4.60231,1016.04599724,0.0
6,231117,-0.0280327,2.31481,237.61019706726074,1531,0.0179199,302.14,0.997367971111,7.01958,1025.46035218,0.0
5,233140,-0.023591,2.28578,239.69066977500916,1536,0.0165226,308.11,0.9974945914,5.2026,1046.66520798,0.0
7,235468,-0.0287592,2.25083,241.7701451778412,1543,0.0184752,311.6,0.998264119262,6.64864,1060.50826191,0.0
4,237228,-0.0304789,2.20798,243.88192486763,1547,0.016056,316.35,0.997835489688,4.18688,1076.7123563,0.0
6,239398,-0.0372952,2.18421,245.9454629421234,1553,0.0165179,319.73,0.996739412658,5.86324,1087.1837206,0.0
4,241187,-0.0284713,2.18781,247.9991352558136,1557,0.0159092,324.65,0.996645692969,5.65263,1104.22832124,0.0
6,243231,-0.0361455,2.179,250.07731175422668,1563,0.0159143,325.78,0.997120895423,5.437,1109.09276703,0.0
4,245574,-0.0176286,2.18087,252.1442310810089,1567,0.0131754,338.23,0.932429224253,197.638,1150.57682681,0.0
6,247658,-0.0294801,2.15613,254.21807026863098,1573,0.0196765,343.48,0.995058960281,8.27123,1169.25845849,0.0
5,249616,-0.030973,2.14436,256.300443649292,1578,0.0189433,347.89,0.997227293905,5.01457,1184.73529294,0.0
4,251756,-0.0177041,2.17729,258.36605167388916,1582,0.0187129,357.98,0.907955825329,232.741,1218.66916789,0.0
6,253560,-0.0342127,2.15003,260.4452941417694,1588,0.0235627,359.16,0.993060428649,11.1616,1224.06645297,0.0
5,255944,-0.033389,2.12491,262.5382282733917,1593,0.0170335,368.51,0.996803659247,5.42672,1255.85723751,0.0
3,257916,-0.0175462,2.17002,264.61745166778564,1596,0.0156531,377.7,0.850924000144,413.823,1285.20487841,0.0
4,260094,-0.0277392,2.14635,266.712354183197,1600,0.0137699,388.16,0.994221623056,7.59593,1320.56174489,0.0
5,262058,-0.0284058,2.15831,268.78041195869446,1605,0.0094926,393.09,0.981610840186,38.4808,1336.19581155,0.0
4,264137,-0.032162,2.14916,270.8622441291809,1609,0.0222672,399.49,0.996093438938,5.54632,1358.64295299,0.0
3,265634,-0.0241154,2.12299,272.96206641197205,1612,0.0141935,404.94,0.972726155072,65.7192,1376.3827146,0.0
4,268093,-0.0205672,2.13256,275.0322995185852,1616,0.0196066,417.74,0.883557140827,371.995,1417.34335783,0.0
5,269971,-0.0319819,2.10801,277.1088354587555,1621,0.0216226,420.19,0.992935116403,8.79706,1425.48641705,0.0
4,272295,-0.0320551,2.06734,279.18729305267334,1625,0.0178069,431.08,0.996899731224,5.19134,1461.95915545,0.0
4,274186,-0.0249447,2.08613,281.2654981613159,1629,0.0188556,437.47,0.990093367174,20.518,1482.7387533,0.0
4,276321,-0.0277149,2.0945,283.3590693473816,1633,0.0155365,442.45,0.99656425463,7.69237,1500.48933322,0.0
5,278322,-0.0331289,2.09422,285.4684419631958,1638,0.0149054,444.85,0.989919385873,25.0603,1507.22264166,0.0
5,280382,-0.031391,2.08443,287.54664874076843,1643,0.0202235,449.14,0.993193117902,10.4422,1522.66941471,0.0
4,282330,-0.0287135,2.0508,289.62415599823,1647,0.0221172,451.02,0.995662803762,7.70237,1529.45166383,0.0
5,284503,-0.0275376,2.04654,291.7029662132263,1652,0.014817,455.67,0.99602334993,6.73465,1546.66627419,0.0
3,286297,-0.0332016,2.02585,293.81569266319275,1655,0.0163533,460.61,0.996875652112,4.97304,1564.39497308,0.0
5,288613,-0.0278969,2.00193,295.9054594039917,1660,0.0197499,461.68,0.997959043132,5.00277,1568.38118782,0.0
5,290813,-0.027876,1.97807,297.9743103981018,1665,0.0202693,458.29,0.996796488995,8.16601,1558.26613137,0.0
4,292231,-0.0340926,1.98546,300.04600763320923,1669,0.0155955,460.09,0.997964032926,4.35621,1564.27438893,0.0
4,294605,-0.0296516,1.95069,302.1112656593323,1673,0.0156122,469.47,0.998252823367,4.01221,1596.43324134,0.0
4,296666,-0.0329434,1.89464,304.2110698223114,1677,0.0166418,474.12,0.99877194257,3.29616,1612.3412142,0.0
4,298640,-0.0352598,1.88451,306.2647285461426,1681,0.0137846,473.83,0.994684988167,8.39696,1612.63308144,0.0
5,300995,-0.033463,1.86942,308.3584580421448,1686,0.0174321,479.14,0.997851755237,4.97287,1630.0312192,0.0
3,303010,-0.0295273,1.87701,310.4371280670166,1689,0.0166747,487.5,0.998254648293,3.45328,1657.93989288,0.0
3,304616,-0.0374771,1.87474,312.5375635623932,1692,0.0159572,491.2,0.997650605394,5.35579,1671.32970904,0.0
4,306876,-0.0354771,1.88134,314.61676383018494,1696,0.0182704,489.6,0.998825928313,2.44041,1668.58630512,0.0
5,309240,-0.0402507,1.86174,316.6940848827362,1701,0.0194721,487.0,0.99867637502,4.01056,1662.57447624,0.0
4,311188,-0.0391528,1.84804,318.75769543647766,1705,0.0167008,491.3,0.997117727296,4.92427,1677.72048401,0.0
4,313007,-0.0351426,1.82929,320.8517265319824,1709,0.0154849,488.7,0.997587372316,3.89028,1669.7681456,0.0
4,315358,-0.0295421,1.79596,322.93788719177246,1713,0.0158071,490.86,0.998266548035,4.85749,1679.03154304,0.0
