EpThisIter,EpLenMean,EpisodesSoFar,EpRewMean,ev_tdlam_before,loss_ent,TimestepsSoFar,loss_pol_entpen,loss_vf_loss,TimeElapsed,loss_kl,loss_pol_surr
8,275.47,1420,923.44577275,0.994331559632,2.63097,192503,0.0,15.9456,215.28943705558777,0.0152712,-0.0260703
6,276.59,1426,928.150619071,0.997177611571,2.64082,194293,0.0,8.50876,217.41431283950806,0.015886,-0.0269912
7,280.0,1433,939.341373713,0.995798934717,2.62611,196412,0.0,10.2497,219.51512455940247,0.0129982,-0.0274179
7,282.94,1440,949.712649161,0.997008014005,2.62799,198523,0.0,7.08877,221.67419528961182,0.0146812,-0.0278804
7,283.97,1447,953.597402429,0.996882048668,2.60811,200484,0.0,7.7003,223.74230694770813,0.0122835,-0.0283349
8,285.76,1455,961.927662379,0.997116112849,2.55947,202737,0.0,8.91936,225.83605933189392,0.0158044,-0.0335686
6,286.83,1461,966.214671999,0.997196230572,2.56859,204548,0.0,8.89048,227.91595697402954,0.0136302,-0.0294818
6,292.91,1467,987.274498426,0.998134684167,2.52769,206686,0.0,5.48994,230.024329662323,0.0151197,-0.0298074
6,299.16,1473,1009.04805172,0.997741317842,2.48885,208783,0.0,7.0363,232.15656971931458,0.0133485,-0.0328136
6,302.49,1479,1020.88240286,0.997590015177,2.50124,210749,0.0,6.75568,234.250554561615,0.0146687,-0.0287813
4,311.37,1483,1050.77851365,0.9969378768,2.4577,212750,0.0,7.20958,236.34332013130188,0.0125055,-0.0281912
5,315.19,1488,1064.00387104,0.997583362507,2.42333,214621,0.0,7.03079,238.42314314842224,0.0128039,-0.0270936
6,319.68,1494,1081.2435751,0.997656996828,2.40886,217023,0.0,5.10569,240.56591081619263,0.0147044,-0.0291471
6,322.83,1500,1092.83192128,0.995116620325,2.38307,218982,0.0,10.1888,242.71134781837463,0.0172721,-0.028378
5,329.4,1505,1117.41105493,0.997262607561,2.36044,221121,0.0,5.7686,244.8042709827423,0.0144585,-0.030722
5,331.9,1510,1128.93820772,0.997634004569,2.30998,222928,0.0,7.16027,246.8821358680725,0.017323,-0.0278006
6,336.91,1516,1146.21421883,0.997731700772,2.30609,225186,0.0,7.15011,248.992205619812,0.0177022,-0.0284701
5,343.49,1521,1169.7191986,0.995963494293,2.27371,227126,0.0,10.2583,251.1090075969696,0.0176305,-0.0255747
5,348.18,1526,1188.09367023,0.997833619826,2.30962,229111,0.0,4.01187,253.30062675476074,0.0168171,-0.0290974
4,353.27,1530,1206.67575717,0.998045784188,2.28182,230858,0.0,5.18192,255.46151685714722,0.0194027,-0.0289891
