loss_ent,loss_vf_loss,EpThisIter,TimestepsSoFar,EpisodesSoFar,EpRewMean,ev_tdlam_before,loss_pol_surr,TimeElapsed,loss_kl,loss_pol_entpen,EpLenMean
-0.254978,5487.25,3,167837,4447,4673.61826171,0.372804522514,-0.0105683,144.86880564689636,0.0101397,0.0,502.07
-0.246348,4844.18,2,169279,4449,4734.58197925,0.23341345787,-0.00934573,146.61947798728943,0.00827097,0.0,508.6
-0.246423,4495.1,3,171446,4452,4903.43990319,0.39470243454,-0.00687156,148.3698010444641,0.00858118,0.0,526.72
-0.249506,4043.67,3,173084,4455,4806.20040628,0.638039112091,-0.0120512,150.1185975074768,0.019275,0.0,516.26
-0.263807,5748.31,4,175880,4459,4922.41257977,0.33077698946,-0.00367634,151.88421726226807,0.0281103,0.0,528.71
-0.2895,4705.45,3,177815,4462,4936.40956319,0.500629007816,-0.000254268,153.64983701705933,0.0219397,0.0,530.19
-0.290957,4646.75,7,180173,4469,4819.73740102,0.752046406269,-0.0140362,155.4004054069519,0.0132084,0.0,517.63
-0.278841,5016.48,2,182173,4471,4963.6565208,-0.0235905647278,-0.00931644,157.1660349369049,0.016178,0.0,533.07
-0.294213,4722.47,2,183771,4473,5026.89785922,0.21455436945,-0.0119017,158.90103912353516,0.0120228,0.0,539.85
-0.293909,4984.99,2,185771,4475,5115.16614037,-0.0134531259537,0.0037342,160.6503188610077,0.0373128,0.0,549.31
-0.293494,4313.66,2,187766,4477,5220.37041924,0.27561801672,-0.00913139,162.38447833061218,0.0114447,0.0,560.59
-0.308139,4418.91,5,189734,4482,5284.92668966,0.575830936432,0.0125942,164.11884927749634,0.0484178,0.0,567.51
-0.327654,5030.86,5,192164,4487,5325.56290819,0.620864868164,-0.0110927,165.86884236335754,0.0158453,0.0,571.86
-0.321347,4255.03,2,193994,4489,5402.50401584,0.25732833147,-0.00950034,167.61883854866028,0.0143369,0.0,580.11
-0.312879,5060.0,5,196240,4494,5475.71843869,0.579360872507,-0.0135752,169.38445806503296,0.0176346,0.0,587.97
-0.319551,5562.8,5,198416,4499,5572.43634919,0.54126611352,-0.0102083,171.12223768234253,0.0108618,0.0,598.35
