EpRewMean,TimeElapsed,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,TimestepsSoFar,EpisodesSoFar,EpLenMean,loss_ent,loss_kl,EpThisIter,loss_vf_loss
936.79,342.87797355651855,0.0,0.15143018961,-0.000239134,436098,1199,936.79,1.0689,0.0163216,2,62.4149
936.79,344.4989814758301,0.0,0.0379974246025,-0.00530801,438098,1201,936.79,1.07252,0.0132619,2,70.1157
936.79,346.07710123062134,0.0,0.119611203671,-0.00413388,440098,1203,936.79,1.08848,0.00686311,2,66.5954
936.79,347.70209527015686,0.0,-0.0262641906738,-0.00665519,442098,1205,936.79,1.07493,0.00621794,2,73.6556
936.79,349.2958414554596,0.0,0.012376666069,-0.00871794,444098,1207,936.79,1.07882,0.00672054,2,71.7677
936.79,350.920836687088,0.0,-0.0028623342514,-0.00503653,446098,1209,936.79,1.06574,0.00696841,2,72.3774
936.79,352.51458168029785,0.0,0.100992977619,-0.00272048,448098,1211,936.79,1.06574,0.00141723,2,60.6783
936.79,354.12395095825195,0.0,0.187331020832,-0.00626715,450098,1213,936.79,1.07064,0.00497156,2,63.2818
936.79,355.7333209514618,0.0,-0.0138992071152,-0.00975865,452098,1215,936.79,1.0742,0.0100908,2,71.357
936.79,357.3387837409973,0.0,0.0158090591431,-0.005413,454098,1217,936.79,1.07204,0.00648761,2,70.0783
945.75,358.95225167274475,0.0,0.0666604042053,-0.0111613,456098,1219,945.75,1.06755,0.0107597,2,65.7063
962.33,360.5382959842682,0.0,0.0285461544991,-0.00478223,458098,1221,962.33,1.06561,0.00460453,2,70.0155
962.33,362.1722228527069,0.0,0.0501353740692,-0.00300402,460098,1223,962.33,1.05121,0.00393891,2,70.0594
969.38,363.77307081222534,0.0,-0.0160775184631,-0.00666639,462098,1225,969.38,1.04214,0.00466491,2,72.2052
969.38,365.38277220726013,0.0,0.00751280784607,-0.00641168,464098,1227,969.38,1.0282,0.00709338,2,70.902
969.38,366.9997911453247,0.0,0.0786057710648,-0.00454517,466098,1229,969.38,1.02377,0.00865561,2,66.7489
969.38,368.6102695465088,0.0,0.157928705215,-0.00256337,468098,1231,969.38,1.01629,0.0198262,2,62.2534
969.38,370.2039530277252,0.0,0.101759076118,-0.00365016,470098,1233,969.38,1.02428,0.00402715,2,66.8259
969.38,371.8047728538513,0.0,0.112182438374,-0.00562164,472098,1235,969.38,0.99354,0.00371027,2,68.2134
