loss_vf_loss,loss_pol_entpen,loss_kl,EpLenMean,loss_ent,TimestepsSoFar,TimeElapsed,EpisodesSoFar,ev_tdlam_before,EpRewMean,loss_pol_surr,EpThisIter
15.6404,0.0,0.0109445,223.43,2.97045,194345,215.50084161758423,1488,0.993039421737,733.10834676,-0.0258069,8
23.1608,0.0,0.0176494,227.6,2.94855,196600,217.92144179344177,1497,0.991317799315,746.903017598,-0.0312992,9
10.9519,0.0,0.012179,231.03,2.94336,198413,220.3258535861969,1504,0.99115284346,758.657393596,-0.0297978,7
12.2633,0.0,0.0123037,239.04,2.9323,200624,222.76156735420227,1511,0.991571363993,786.402626469,-0.0270421,7
17.3559,0.0,0.00996222,244.49,2.9329,202712,225.12528038024902,1518,0.99225334404,804.03605239,-0.0269437,7
15.8679,0.0,0.0148401,245.85,2.92535,204723,227.61293029785156,1526,0.993500239681,807.158724116,-0.0298509,8
31.0227,0.0,0.012669,249.43,2.94369,206589,230.08609437942505,1533,0.988836372271,818.255166973,-0.0300456,7
18.4252,0.0,0.0113508,257.22,2.93374,208681,232.6198422908783,1539,0.990424142219,841.957007414,-0.028425,6
19.3452,0.0,0.0183653,263.05,2.89993,210850,235.08759331703186,1546,0.99334313767,861.111108719,-0.0319257,7
12.6542,0.0,0.0154817,275.09,2.87618,212931,237.57358527183533,1550,0.991246770136,900.481999052,-0.0309811,4
10.2405,0.0,0.0180057,279.99,2.85619,214755,239.93726658821106,1556,0.994185423478,916.39962383,-0.0279737,6
16.6705,0.0,0.0120964,289.82,2.85403,216850,242.04695916175842,1561,0.991572645493,946.979365879,-0.0330397,5
10.1765,0.0,0.0102524,297.32,2.88353,218534,244.15665125846863,1565,0.994055235758,970.424087274,-0.0284278,4
332.208,0.0,0.0205112,305.37,2.88738,221086,246.27277898788452,1572,0.923564620316,992.820206776,-0.0172094,7
18.8271,0.0,0.0150557,312.16,2.86886,223092,248.33615970611572,1578,0.989593369886,1015.92564112,-0.0226092,6
7.12529,0.0,0.01533,315.26,2.85694,225144,250.41637134552002,1585,0.996508300537,1026.61711681,-0.0363845,7
