EpisodesSoFar,TimestepsSoFar,EpLenMean,EpRewMean,loss_kl,loss_ent,loss_pol_entpen,loss_vf_loss,loss_pol_surr,ev_tdlam_before,TimeElapsed,EpThisIter
4710,167856,342.08,3178.89736158,0.0174774,-0.295042,0.0,5387.92,-0.00134004,0.465005934238,144.64125728607178,4
4712,169242,353.11,3281.62478716,0.0244329,-0.28619,0.0,4663.82,-0.00873722,0.458714187145,146.39053416252136,2
4717,171948,361.24,3357.31872529,0.0212719,-0.293541,0.0,4453.54,-0.00806118,0.587038189173,148.14052820205688,5
4723,174062,369.9,3437.90258205,0.0196189,-0.290001,0.0,5948.17,-0.00579802,0.59957626462,149.89052391052246,6
4725,175347,381.39,3544.84261345,0.0181377,-0.284878,0.0,4155.19,-0.00738843,0.449885070324,151.62489247322083,2
4729,177923,386.94,3596.54429881,0.0458251,-0.296599,0.0,5544.86,0.00672786,0.497195661068,153.37488913536072,4
4733,179824,392.37,3647.0826865,0.0140695,-0.292407,0.0,3838.53,-0.0138843,0.723878741264,155.10925698280334,4
4740,182136,386.58,3593.36645378,0.0172767,-0.311097,0.0,5063.63,-0.00651175,0.716608583927,156.85925269126892,7
4743,183755,399.4,3712.7385999,0.0188684,-0.329368,0.0,4873.8,-0.00763272,0.490103662014,158.60924744606018,3
4747,186183,407.83,3791.4032568,0.0240267,-0.316682,0.0,4662.5,-0.00860456,0.643941581249,160.35924983024597,4
4750,188292,423.66,3938.81388047,0.0734231,-0.304377,0.0,4721.01,0.00623423,0.532728075981,162.09361100196838,3
4760,190231,424.11,3943.04606529,0.00856526,-0.321543,0.0,6423.74,-0.0129396,0.720589727163,163.84360694885254,10
4768,192196,424.95,3950.94750541,0.0372919,-0.325112,0.0,5483.73,-0.00593766,0.727253735065,165.57797574996948,8
4773,194530,434.81,4042.84835037,0.01395,-0.341383,0.0,5688.7,-0.0123478,0.606005817652,167.32797360420227,5
4779,196109,427.21,3972.28182527,0.0290348,-0.346239,0.0,3862.9,-0.009758,0.788228690624,169.046715259552,6
4783,197672,426.57,3966.50050842,0.0166215,-0.347549,0.0,4140.08,-0.010832,0.633662551641,170.81233620643616,4
4786,199879,434.39,4039.30005732,0.0167346,-0.362717,0.0,4536.26,-0.0108185,0.522524356842,172.5310800075531,3
4789,202095,448.49,4170.54020649,0.0418401,-0.363144,0.0,4529.79,0.0148363,0.501761347055,174.27827787399292,3
4795,204526,435.47,4049.50607456,0.0165507,-0.391438,0.0,5068.74,-0.0134697,0.633932709694,176.00053191184998,6
4798,206291,443.09,4120.48193827,0.00966695,-0.38401,0.0,4436.95,-0.00802438,0.422564029694,177.75401258468628,3
4803,208846,443.7,4126.29059309,0.0227097,-0.389079,0.0,5417.89,-0.00836095,0.604696303606,179.48622751235962,5
4805,209947,444.35,4132.38999698,0.0123828,-0.39963,0.0,3720.68,-0.00774469,0.526664316654,181.23622179031372,2
4808,212228,455.26,4234.07615713,0.0397757,-0.381599,0.0,3947.73,-0.00642435,0.417186558247,182.98444247245789,3
4810,214228,463.72,4312.97771486,0.0182559,-0.368296,0.0,4686.49,-0.00940501,-0.0208746194839,184.73443722724915,2
4812,216228,469.86,4370.13745661,0.0260836,-0.36981,0.0,4720.41,-0.00850867,-0.0137708187103,186.45318245887756,2
4816,218844,472.05,4390.60018248,0.0138967,-0.372339,0.0,5224.55,-0.00599294,0.446381747723,188.2031764984131,4
4818,220844,484.79,4509.26477039,0.00650618,-0.370725,0.0,4733.35,-0.00761755,-0.222750902176,189.95317244529724,2
4820,222844,503.09,4679.60214333,0.0182804,-0.366141,0.0,4665.19,-0.00647205,-0.0477629899979,191.70316648483276,2
4823,224898,508.36,4728.73291422,0.0427858,-0.359494,0.0,4967.94,-0.00611064,0.228000998497,193.43753623962402,3
4826,226731,503.84,4686.7119674,0.0162559,-0.351948,0.0,4372.25,-0.00867922,0.515231698751,195.1875307559967,3
4829,228932,510.09,4745.06079822,0.0250457,-0.348454,0.0,5864.4,-0.00725878,0.231067180634,196.93752694129944,3
4831,230463,515.54,4795.86468203,0.0222146,-0.348081,0.0,3857.69,-0.00684637,0.498183429241,198.6730101108551,2
4834,233463,530.02,4930.86510447,0.011373,-0.322097,0.0,6731.35,-0.0108892,-0.00396907329559,200.42198419570923,3
4837,234770,535.65,4983.35513304,0.0304845,-0.325327,0.0,2619.25,-0.00499035,0.621464967728,202.1563515663147,3
