EpRewMean,ev_tdlam_before,loss_pol_surr,TimeElapsed,loss_pol_entpen,loss_ent,TimestepsSoFar,EpLenMean,EpisodesSoFar,loss_kl,loss_vf_loss,EpThisIter
6662.63704118,0.831923663616,-0.00285324,205.39105868339539,0.0,-0.38653,234852,714.93,4503,0.0210833,2151.24,2
6660.33664665,0.448093891144,-0.0049666,207.1567463874817,0.0,-0.364009,237224,714.68,4506,0.0126165,5352.86,3
6760.93346921,-0.000868797302246,-0.00280657,208.93829035758972,0.0,-0.352494,239224,725.47,4508,0.0225769,4883.49,2
6635.3314667,0.616315156221,-0.0141788,210.70359063148499,0.0,-0.368621,241578,712.0,4512,0.0054153,5600.37,4
6473.42195388,0.747436463833,-0.011296,212.48486828804016,0.0,-0.360509,243141,694.64,4516,0.0157576,5369.75,4
6435.57709449,0.688947290182,-0.00833337,214.25021862983704,0.0,-0.369073,245017,690.6,4519,0.0079859,3755.55,3
6212.79023749,0.530051022768,-0.000222428,216.03170013427734,0.0,-0.391837,247699,666.74,4525,0.0217422,7265.06,6
6212.64885081,-0.178976297379,-0.0071402,217.78134536743164,0.0,-0.395561,249699,666.74,4527,0.0129725,5084.06,2
6160.64500829,0.529943287373,-0.0110198,219.57835459709167,0.0,-0.405295,251491,661.17,4531,0.019494,5549.76,4
6160.6250074,-0.106587529182,-0.0122369,221.34397435188293,0.0,-0.408484,253491,661.17,4533,0.011099,5174.04,2
6160.62038761,-0.0997302532196,-0.00693132,223.1252191066742,0.0,-0.402211,255491,661.17,4535,0.00660369,5142.31,2
6161.8220614,-0.000392556190491,0.000650205,224.8908395767212,0.0,-0.40207,257491,661.29,4537,0.0154402,5100.5,2
6215.96364078,-0.00435101985931,-0.00706246,226.6564600467682,0.0,-0.384207,259491,667.09,4539,0.0141063,5134.42,2
6215.86635003,-0.00727200508118,-0.00101878,228.4377043247223,0.0,-0.380616,261491,667.09,4541,0.017233,5166.91,2
6392.53742492,-0.0116672515869,-0.00948623,230.22043180465698,0.0,-0.389671,263491,686.04,4543,0.0174779,5212.47,2
6563.05920011,0.440320491791,-0.00648538,231.98467564582825,0.0,-0.389885,265948,704.32,4546,0.00982296,5345.23,3
6563.01012237,-0.0109652280807,-0.00594833,233.76690983772278,0.0,-0.390417,267948,704.32,4548,0.00593974,5279.09,2
6461.21438145,0.288681268692,-0.0103468,235.53266024589539,0.0,-0.403732,269857,693.41,4551,0.0229357,6121.53,3
6444.9278697,0.264716386795,-0.0095064,237.31310772895813,0.0,-0.405447,271682,691.66,4553,0.0123124,4385.36,2
6489.92163501,0.521754831076,-0.00694002,239.07958316802979,0.0,-0.403972,274182,696.49,4556,0.00817552,5645.08,3
6440.55201254,0.331692397594,-0.0111949,240.859454870224,0.0,-0.432938,275815,691.19,4559,0.0135923,6616.08,3
6471.84611909,0.71290820837,-0.00755959,242.62507343292236,0.0,-0.427727,278261,694.53,4563,0.0166139,5457.69,4
6596.43955067,-0.00114011764526,-0.00851106,244.40632033348083,0.0,-0.425162,280261,707.88,4565,0.0102872,5553.43,2
6627.04986822,-0.00629949569702,-0.00413337,246.17193865776062,0.0,-0.416512,282261,711.15,4567,0.019491,5474.33,2
6627.03607218,-0.0596140623093,-0.00906666,247.93755841255188,0.0,-0.412812,284261,711.15,4569,0.0065894,5565.46,2
6709.62250059,0.231340646744,-0.00203707,249.70317840576172,0.0,-0.402609,286636,720.0,4572,0.0123381,7515.08,3
6708.04957485,0.226569414139,-0.00686442,251.50004935264587,0.0,-0.394748,288618,719.82,4574,0.0181942,4848.51,2
6730.16781247,0.735363453627,-0.0116344,253.26566815376282,0.0,-0.385315,290223,722.19,4577,0.0139292,3582.86,3
6770.33753059,0.82865332067,-0.0110833,255.0312864780426,0.0,-0.396236,291883,726.49,4579,0.00951094,1938.05,2
6842.20678391,-0.0163646936417,-0.0101169,256.79690647125244,0.0,-0.391115,294883,734.17,4582,0.0187676,7642.73,3
6892.30940646,-0.163225054741,-0.00736467,258.5781526565552,0.0,-0.387865,296883,739.53,4584,0.0112745,5685.9,2
6991.34378537,0.388538241386,-0.00275117,260.35962867736816,0.0,-0.401386,298564,750.15,4586,0.0300268,3125.48,2
7054.78418377,-0.0170249938965,-0.00527758,262.1296594142914,0.0,-0.382065,300564,756.94,4588,0.00877728,5743.91,2
