TimestepsSoFar,TimeElapsed,loss_kl,loss_pol_entpen,ev_tdlam_before,loss_vf_loss,EpThisIter,EpLenMean,loss_ent,loss_pol_surr,EpisodesSoFar,EpRewMean
282000,246.43461441993713,0.0234637,0.0,0.56702747941,103.649,2,1000.0,1.32735,-0.0488101,282,1053.3470022
284000,248.21914649009705,0.0308381,0.0,0.19289958477,99.8329,2,1000.0,1.28559,-0.0346997,284,1058.18805947
286000,250.00016808509827,0.0212889,0.0,0.316214263439,96.9663,2,1000.0,1.2543,-0.0428823,286,1064.52003511
288000,251.76651668548584,0.0304643,0.0,0.331944406033,93.8816,2,1000.0,1.24314,-0.039056,288,1068.16230866
290000,253.54785895347595,0.0364488,0.0,0.0249718427658,103.231,2,1000.0,1.23558,-0.0346007,290,1071.99879948
292000,255.34354948997498,0.0280825,0.0,0.122988879681,102.403,2,1000.0,1.19586,-0.0364146,292,1076.83787386
294000,257.1402277946472,0.0275423,0.0,0.0649926662445,102.716,2,1000.0,1.19417,-0.0353002,294,1082.0784399
296000,258.9214828014374,0.0284213,0.0,0.0493474006653,101.605,2,1000.0,1.17793,-0.0303053,296,1086.8050728
299000,260.6882748603821,0.0278745,0.0,0.0317741036415,156.407,3,1000.0,1.18838,-0.0358033,299,1095.2794944
301000,262.4682958126068,0.0334073,0.0,0.0901862382889,107.102,2,1000.0,1.15907,-0.0353669,301,1099.91429423
303000,264.23433208465576,0.0261935,0.0,0.081965982914,107.593,2,1000.0,1.13953,-0.0346966,303,1104.03732646
305000,266.0163540840149,0.0261332,0.0,0.0844423174858,106.721,2,1000.0,1.08936,-0.0305074,305,1107.45723736
307000,267.7963881492615,0.0344985,0.0,0.0547698140144,103.942,2,1000.0,1.04992,-0.0332525,307,1113.3653627
309000,269.5621078014374,0.037163,0.0,0.0472520589828,108.911,2,1000.0,1.02677,-0.0320503,309,1116.63682402
311000,271.34393668174744,0.028483,0.0,0.0873149633408,105.353,2,1000.0,1.00691,-0.0364905,311,1120.87106224
313000,273.12519669532776,0.036877,0.0,0.0827412605286,102.895,2,1000.0,0.947643,-0.0361983,313,1124.82153541
315000,274.90640020370483,0.0209865,0.0,0.0687063932419,103.345,2,1000.0,0.903885,-0.0366743,315,1128.27789415
317000,276.67200326919556,0.0219089,0.0,0.0584973096848,102.767,2,1000.0,0.903904,-0.0370221,317,1133.24413739
319000,278.4481840133667,0.0279754,0.0,0.0294736027718,101.622,2,1000.0,0.925412,-0.0334814,319,1136.00789257
321000,280.2498025894165,0.0484086,0.0,0.0740534067154,108.451,2,1000.0,0.922292,-0.0223731,321,1139.02463898
323000,282.03086709976196,0.0328352,0.0,0.403464615345,108.86,2,1000.0,0.874116,-0.040074,323,1143.06954333
325000,283.81207728385925,0.0411229,0.0,0.701038777828,112.066,2,1000.0,0.871718,-0.0519651,325,1145.63791491
327000,285.59442710876465,0.0264887,0.0,0.025289773941,109.829,2,1000.0,0.823067,-0.0406328,327,1143.1174715
329000,287.375324010849,0.0337185,0.0,0.0456305742264,104.958,2,1000.0,0.805173,-0.0288308,329,1146.48957532
331000,289.14076709747314,0.038175,0.0,0.0385137796402,111.575,2,1000.0,0.750218,-0.0304851,331,1149.02790498
333000,290.9219751358032,0.0253616,0.0,0.0559523701668,106.989,2,1000.0,0.751095,-0.0387409,333,1152.88877344
335000,292.6886610984802,0.0257834,0.0,0.0702144503593,113.167,2,1000.0,0.7141,-0.0400325,335,1156.28124015
337000,294.48521637916565,0.0349078,0.0,0.0777643322945,110.226,2,1000.0,0.698585,-0.0326875,337,1159.38737892
339000,296.26598262786865,0.0315429,0.0,0.0635709762573,116.272,2,1000.0,0.686697,-0.0358175,339,1162.62564617
342000,298.0470042228699,0.0293662,0.0,0.0342852473259,160.348,3,1000.0,0.668074,-0.0410248,342,1168.73415719
344000,299.81232500076294,0.0409139,0.0,0.0307741165161,113.494,2,1000.0,0.647461,-0.0337908,344,1172.80972786
346000,301.5934135913849,0.0294336,0.0,0.0924777984619,109.891,2,1000.0,0.652908,-0.0342285,346,1175.36839337
348000,303.3764576911926,0.0368993,0.0,0.0555689930916,116.9,2,1000.0,0.644237,-0.0340701,348,1178.96649212
350000,305.1575403213501,0.0365244,0.0,0.0875743031502,114.93,2,1000.0,0.656209,-0.0352517,350,1181.85274188
352000,306.9540069103241,0.0388484,0.0,0.289781689644,116.465,2,1000.0,0.645473,-0.0358176,352,1184.82215999
354000,308.7340438365936,0.0257973,0.0,0.110117077827,119.397,2,1000.0,0.635845,-0.038139,354,1187.02912049
356000,310.5062298774719,0.0344531,0.0,0.0835701227188,118.718,2,1000.0,0.607384,-0.0357713,356,1190.40289284
358000,312.29746770858765,0.030582,0.0,0.0375449061394,121.539,2,1000.0,0.579598,-0.0359286,358,1192.65798657
360000,314.06315517425537,0.0237868,0.0,0.0885252952576,119.598,2,1000.0,0.536548,-0.0382227,360,1195.70214902
362000,315.8516402244568,0.0281314,0.0,0.0606256723404,119.437,2,1000.0,0.501786,-0.036292,362,1197.97686537
364000,317.6247761249542,0.0278465,0.0,0.0590550303459,120.381,2,1000.0,0.476848,-0.0361566,364,1200.19539467
366000,319.4063458442688,0.0354011,0.0,0.0558245778084,116.902,2,1000.0,0.449341,-0.0335073,366,1203.04821035
368000,321.1718761920929,0.0369694,0.0,0.0486130714417,126.128,2,1000.0,0.475137,-0.0332005,368,1205.58709338
370000,322.9541757106781,0.0285093,0.0,0.0774770379066,121.003,2,1000.0,0.453897,-0.035842,370,1208.39294803
372000,324.7357280254364,0.0533226,0.0,0.117941021919,124.163,2,1000.0,0.459878,-0.0295557,372,1210.06867883
374000,326.5000514984131,0.027373,0.0,0.0940384864807,122.468,2,1000.0,0.447901,-0.0351461,374,1212.19807312
376000,328.29730558395386,0.0265592,0.0,0.070495903492,116.314,2,1000.0,0.422931,-0.0389974,376,1214.67880736
378000,330.09354615211487,0.0345913,0.0,0.0550046563148,122.541,2,1000.0,0.396584,-0.034551,378,1217.06740216
380000,331.858909368515,0.0249723,0.0,0.0603549480438,123.767,2,1000.0,0.366226,-0.0389936,380,1219.97577814
382000,333.64100766181946,0.049768,0.0,0.0390102863312,122.654,2,1000.0,0.390706,-0.0278359,382,1226.59808501
385000,335.4219596385956,0.038697,0.0,0.0280657410622,173.918,3,1000.0,0.354437,-0.0341849,385,1231.70286324
387000,337.20307445526123,0.0302387,0.0,0.0622270107269,123.974,2,1000.0,0.326002,-0.0350712,387,1236.24071565
389000,338.9969370365143,0.0414813,0.0,0.0720397830009,125.537,2,1000.0,0.311856,-0.034424,389,1240.40086447
391000,340.76566982269287,0.0266384,0.0,0.0884395837784,107.938,2,1000.0,0.284086,-0.0387082,391,1242.30029002
393000,342.5372257232666,0.0300284,0.0,0.0613820552826,133.038,2,1000.0,0.254352,-0.0373934,393,1244.98373886
395000,344.32286763191223,0.0306257,0.0,0.0886116027832,123.972,2,1000.0,0.246678,-0.0425374,395,1247.43026294
397000,346.1095039844513,0.0398963,0.0,0.0622311234474,124.536,2,1000.0,0.205088,-0.0305493,397,1248.92165999
399000,347.8903365135193,0.0304136,0.0,0.0784272551537,127.782,2,1000.0,0.185663,-0.0363428,399,1251.8297167
401000,349.6724314689636,0.0352205,0.0,0.0649725794792,124.602,2,1000.0,0.136214,-0.0321346,401,1253.78104256
403000,351.45282459259033,0.057827,0.0,0.17989885807,130.09,2,1000.0,0.113995,-0.0293492,403,1256.05389411
405000,353.234765291214,0.0411894,0.0,0.0473998188972,131.895,2,1000.0,0.107726,-0.0324716,405,1258.79670203
407000,355.01539850234985,0.0261914,0.0,0.138695001602,130.679,2,1000.0,0.10451,-0.039545,407,1260.06215236
409000,356.7966163158417,0.0300833,0.0,0.0605257153511,136.42,2,1000.0,0.0958457,-0.0382344,409,1262.22766105
411000,358.56287264823914,0.0271094,0.0,0.0324516296387,132.354,2,1000.0,0.0901496,-0.0347258,411,1265.10126335
413000,360.3439221382141,0.0281217,0.0,0.0823522806168,129.887,2,1000.0,0.0772471,-0.03362,413,1267.20835594
415000,362.12522768974304,0.0354064,0.0,0.0550481677055,125.097,2,1000.0,0.0758953,-0.032265,415,1269.94103501
417000,363.9058678150177,0.034956,0.0,0.0546223521233,127.113,2,1000.0,0.0519363,-0.0350504,417,1270.73022076
419000,365.67213559150696,0.0362183,0.0,0.0992531776428,126.914,2,1000.0,0.0411115,-0.0325418,419,1274.25378441
421000,367.45424795150757,0.0417627,0.0,0.131574928761,133.685,2,1000.0,0.040666,-0.0301091,421,1276.55565317
423000,369.23424911499023,0.0250477,0.0,0.0540735721588,131.144,2,1000.0,0.00655329,-0.0367804,423,1279.41507405
425000,371.0003161430359,0.040209,0.0,0.0404715538025,136.239,2,1000.0,-0.00800699,-0.0314388,425,1284.2130723
428000,372.78160190582275,0.0389478,0.0,0.0439923405647,187.43,3,1000.0,-0.0237184,-0.0344594,428,1294.39317929
430000,374.5540142059326,0.0348903,0.0,0.0660825967789,136.384,2,1000.0,-0.0193841,-0.0358893,430,1297.64671109
432000,376.32092356681824,0.0325377,0.0,0.0256016850471,134.191,2,1000.0,-0.0445225,-0.0363001,432,1299.25242738
434000,378.09327125549316,0.0286408,0.0,0.176856637001,135.003,2,1000.0,-0.0494579,-0.0406965,434,1301.79195451
436000,379.87582755088806,0.0311065,0.0,0.0496790409088,130.699,2,1000.0,-0.0627416,-0.0329629,436,1304.82560184
438000,381.65592074394226,0.0356359,0.0,0.0748160481453,139.676,2,1000.0,-0.0876647,-0.0341243,438,1307.1197952
440000,383.4535622596741,0.0335891,0.0,0.0737234354019,135.193,2,1000.0,-0.129383,-0.0354388,440,1308.59508193
442000,385.25004744529724,0.042398,0.0,0.136960625648,144.679,2,1000.0,-0.12837,-0.0367273,442,1310.06580661
444000,387.0316996574402,0.0281686,0.0,0.0813158750534,126.004,2,1000.0,-0.130411,-0.0363335,444,1312.363049
446000,388.8439838886261,0.0350914,0.0,0.0352908372879,138.515,2,1000.0,-0.173532,-0.0377287,446,1314.51328131
448000,390.64143323898315,0.0431792,0.0,0.174741327763,138.957,2,1000.0,-0.174931,-0.0365843,448,1315.46325024
450000,392.42246866226196,0.0355689,0.0,0.0755846500397,139.704,2,1000.0,-0.20638,-0.0348094,450,1317.80496154
452000,394.20369505882263,0.0358786,0.0,0.0652992725372,137.569,2,1000.0,-0.226791,-0.0362649,452,1320.12665504
454000,395.9858295917511,0.0460409,0.0,0.0374308228493,138.875,2,1000.0,-0.256608,-0.0278229,454,1322.97392136
456000,397.76711678504944,0.0244105,0.0,0.0799884796143,145.193,2,1000.0,-0.242847,-0.0380688,456,1324.64652064
458000,399.53160572052,0.0328325,0.0,0.0178061723709,132.765,2,1000.0,-0.240049,-0.0369683,458,1326.60776525
