loss_ent,ev_tdlam_before,loss_kl,EpisodesSoFar,loss_pol_entpen,EpRewMean,loss_vf_loss,EpThisIter,EpLenMean,TimestepsSoFar,loss_pol_surr,TimeElapsed
4.24021,0.980417408049,0.0197139,1979,0.0,791.994655299,37.2146,8,244.64,337658,-0.0524579,337.67083382606506
4.19323,0.986194577999,0.0271389,1987,0.0,803.133747044,25.1868,8,247.41,339831,-0.0551553,339.702219247818
4.14507,0.981408469379,0.0239203,1994,0.0,807.596365382,41.844,7,248.65,341672,-0.0561095,341.733252286911
4.17054,0.988588863052,0.0237394,2002,0.0,817.592831811,33.1344,8,251.17,343790,-0.0534195,343.7622344493866
4.12132,0.987603699788,0.0250515,2011,0.0,822.430130761,32.2218,9,251.67,346038,-0.0639848,345.7957375049591
4.10937,0.989170434885,0.0263115,2019,0.0,826.679456643,29.8384,8,252.23,348003,-0.0579249,347.8265497684479
4.13334,0.971896018833,0.0277654,2028,0.0,826.653034512,76.2303,9,251.48,350127,-0.0556543,349.8419494628906
4.10963,0.981561047956,0.0307723,2035,0.0,833.26029246,50.6322,7,253.74,351974,-0.061995,351.88997197151184
4.0862,0.986726288684,0.0247422,2044,0.0,837.66438092,41.0747,9,254.58,354161,-0.0616646,353.90796160697937
4.09324,0.987083325163,0.0338016,2053,0.0,835.687815317,37.7321,9,253.26,356325,-0.0634697,355.94533133506775
4.08803,0.98632576596,0.0261817,2061,0.0,834.513792242,44.3418,8,252.88,358284,-0.0639436,357.97592997550964
4.04752,0.987216687761,0.0265084,2070,0.0,830.033251445,36.5318,9,250.59,360366,-0.0567154,360.01467299461365
3.99511,0.986140474677,0.0260107,2079,0.0,823.336570364,44.7781,9,247.48,362406,-0.0591176,362.0791885852814
3.98891,0.954608689994,0.0267965,2088,0.0,812.632641289,56.4795,9,243.69,364476,-0.0462878,364.11657667160034
3.95579,0.98530539684,0.0273239,2096,0.0,807.023954414,35.9265,8,241.29,366431,-0.0615062,366.17052841186523
3.94197,0.9873779919,0.0259925,2104,0.0,808.667220885,38.5734,8,241.56,368474,-0.0582943,368.2015218734741
3.92894,0.988911919296,0.026849,2112,0.0,812.109764687,32.0302,8,242.15,370506,-0.0612356,370.23281478881836
3.90592,0.984512097202,0.0249271,2120,0.0,813.386580626,37.2242,8,243.07,372555,-0.0577767,372.26383543014526
3.88578,0.984800157137,0.0272382,2129,0.0,814.043706842,48.8372,9,242.85,374687,-0.0581167,374.2991054058075
3.83637,0.985585852526,0.0244492,2137,0.0,810.670605037,29.7422,8,241.32,376542,-0.0576542,376.3513262271881
3.79754,0.975445341319,0.0219865,2146,0.0,808.382783909,35.7227,9,239.96,378761,-0.0500478,378.3688180446625
3.77766,0.991658537649,0.0310643,2154,0.0,817.341937112,25.6235,8,242.25,380772,-0.0658288,380.38961267471313
3.77862,0.988504828885,0.0275625,2162,0.0,822.565626723,33.3206,8,243.1,382795,-0.0612277,382.4163386821747
3.72146,0.988685387187,0.0292501,2170,0.0,826.030415253,33.2059,8,244.49,384815,-0.0662772,384.4360980987549
3.69659,0.991694550961,0.0299015,2177,0.0,840.020660967,21.7573,7,248.24,386849,-0.0600933,386.46806025505066
3.71405,0.990339097567,0.030358,2185,0.0,855.69465318,24.6581,8,251.97,388942,-0.0601984,388.4990930557251
3.70352,0.992364411242,0.0266609,2193,0.0,863.669679006,25.2429,8,253.43,390962,-0.0626397,390.5491795539856
3.66762,0.989834936336,0.028365,2201,0.0,860.681978241,26.2561,8,252.41,392974,-0.0660521,392.57699489593506
3.61104,0.991910702549,0.030642,2209,0.0,865.483103543,24.802,8,254.0,395142,-0.0634851,394.60810828208923
3.63236,0.990671749227,0.0290167,2217,0.0,869.02192947,23.8161,8,254.55,397203,-0.0551783,396.63909339904785
3.60581,0.990908517502,0.0252301,2225,0.0,866.565948219,21.5775,8,253.72,399232,-0.0579381,398.6635558605194
3.56176,0.993684969377,0.0315343,2233,0.0,882.537306971,19.3356,8,257.07,401224,-0.0597099,400.70146131515503
3.6078,0.99430160271,0.0266081,2241,0.0,889.628850575,18.626,8,258.33,403349,-0.066258,402.73348665237427
3.56396,0.992868113797,0.0362616,2249,0.0,898.492091275,16.3449,8,260.82,405482,-0.0491843,404.7640748023987
3.53324,0.994378736243,0.0258785,2256,0.0,898.032962403,16.83,7,260.4,407240,-0.0614678,406.79550337791443
3.53585,0.988309171982,0.0237918,2265,0.0,891.728317715,28.5244,9,259.13,409388,-0.057917,408.81127285957336
3.48529,0.994251413271,0.0382092,2272,0.0,898.015060297,20.1321,7,259.95,411446,-0.0493449,410.84270453453064
3.47392,0.995436556172,0.0318791,2279,0.0,902.906955637,13.9533,7,261.18,413447,-0.0619223,412.87410283088684
3.4988,0.986763540655,0.0350782,2287,0.0,908.733209571,30.6466,8,262.35,415713,-0.0478504,414.90480375289917
3.45472,0.990032711066,0.0282262,2294,0.0,914.631401881,31.1823,7,263.63,417561,-0.0593933,416.93647360801697
3.49552,0.988998818211,0.0341132,2302,0.0,920.209499075,31.5585,8,264.29,419802,-0.0624959,418.9681406021118
3.4823,0.986036865972,0.0308038,2309,0.0,925.774891265,39.3673,7,265.38,421680,-0.0648402,420.99845361709595
3.48608,0.991038747132,0.0361249,2316,0.0,941.161319179,30.6417,7,269.27,423863,-0.0582478,423.0298171043396
3.48363,0.986170507967,0.0274225,2324,0.0,941.258260128,43.487,8,268.44,425957,-0.0611933,425.06121373176575
3.49004,0.98340315558,0.0322416,2332,0.0,941.965749859,65.141,8,268.67,427855,-0.0643716,427.07691979408264
3.48529,0.986868393607,0.0274801,2339,0.0,955.961923817,37.8306,7,272.17,430027,-0.0625791,429.12506675720215
3.4665,0.990574560128,0.0313948,2346,0.0,954.318331091,28.4648,7,271.89,431872,-0.062925,431.1577205657959
3.42309,0.990244790912,0.0345371,2353,0.0,968.215304425,27.7432,7,274.78,433924,-0.066583,433.19433975219727
3.45706,0.963514536619,0.0255741,2361,0.0,975.754615033,70.6912,8,276.71,436176,-0.051559,435.22533226013184
3.44608,0.983932754025,0.0313056,2366,0.0,1003.626047,38.9404,5,283.6,438024,-0.06044,437.2553880214691
3.47242,0.991369445808,0.0263302,2373,0.0,1013.49987546,32.5761,7,285.83,440286,-0.0679984,439.28657269477844
3.47709,0.980290923268,0.0274524,2378,0.0,1030.60348993,35.7217,5,290.18,442179,-0.0657135,441.31924200057983
3.42773,0.971119919792,0.0365895,2385,0.0,1020.59199914,31.3071,7,289.76,444229,-0.0660503,443.36729431152344
3.40337,0.983656350523,0.0337904,2391,0.0,1036.33497654,59.3243,6,293.47,446082,-0.0515612,445.4050278663635
3.36408,0.985672227107,0.0246686,2398,0.0,1044.92524,45.3025,7,295.65,448275,-0.0639666,447.436532497406
3.35185,0.992135337554,0.0327397,2405,0.0,1060.28873329,26.1348,7,299.34,450475,-0.0635464,449.47097063064575
3.33252,0.98716667667,0.027953,2412,0.0,1063.33199272,35.8399,7,299.98,452527,-0.0603645,451.49152064323425
3.3483,0.98089257814,0.0270313,2418,0.0,1067.45301746,39.395,6,301.16,454506,-0.0512334,453.54086112976074
3.34773,0.987355376594,0.0345793,2424,0.0,1084.7508651,36.5763,6,305.67,456524,-0.0624411,455.5609278678894
3.3292,0.984171791002,0.0308499,2431,0.0,1097.88101204,58.6643,7,309.15,458633,-0.0638513,457.5923125743866
3.33376,0.98177261278,0.0249919,2438,0.0,1104.35549581,58.4193,7,309.79,460745,-0.065946,459.6236138343811
3.29879,0.988511205651,0.0327266,2444,0.0,1112.81336945,46.6722,6,312.65,462648,-0.0650361,461.6560482978821
3.31454,0.987474575639,0.0294709,2447,0.0,1155.91711052,26.5233,3,324.43,464604,-0.0624244,463.6708927154541
3.26727,0.986099432223,0.0271278,2452,0.0,1182.8570455,31.9457,5,332.74,466923,-0.0701118,465.70205450057983
