loss_ent,EpLenMean,loss_pol_surr,loss_kl,ev_tdlam_before,loss_vf_loss,EpThisIter,TimestepsSoFar,EpRewMean,loss_pol_entpen,TimeElapsed,EpisodesSoFar
5.12795,255.68,-0.0522323,0.0217381,0.987901502289,41.5659,8,280400,827.785570106,0.0,283.995813369751,1780
5.06272,256.54,-0.0535433,0.0234541,0.990503023379,30.6628,8,282544,831.481170906,0.0,286.04737758636475,1788
5.03554,259.79,-0.0498198,0.0169702,0.989338913001,28.2524,8,284585,846.378873032,0.0,288.1072897911072,1796
5.02272,260.64,-0.0439328,0.024479,0.986149055883,40.1154,7,286505,848.449715102,0.0,290.1725742816925,1803
5.00605,260.43,-0.0532209,0.0166621,0.985182804056,32.2585,9,288713,843.340746332,0.0,292.22828674316406,1812
5.00145,260.63,-0.0505275,0.0224114,0.983378490433,37.6788,7,290633,841.569554945,0.0,294.28205919265747,1819
4.98718,262.62,-0.0533445,0.0198234,0.989508276805,32.2643,8,292826,850.144447229,0.0,296.34445333480835,1827
4.93567,263.25,-0.0547935,0.0192718,0.991244257428,23.5916,7,294729,852.198354382,0.0,298.4069528579712,1834
4.94554,265.22,-0.0549993,0.0231792,0.993347485084,19.5236,7,296676,859.606554568,0.0,300.465637922287,1841
4.9493,265.06,-0.0499119,0.0207917,0.988051402383,26.7714,8,298807,859.887298107,0.0,302.5156753063202,1849
4.94137,267.1,-0.0527363,0.0212963,0.98429107666,34.8691,7,300793,866.655425975,0.0,304.5782468318939,1856
4.92499,269.77,-0.049972,0.022731,0.9802258946,44.9541,8,303069,871.394051019,0.0,306.6410677433014,1864
4.89554,271.35,-0.054143,0.0181582,0.980934590101,42.1241,7,305112,879.787712708,0.0,308.6880416870117,1871
4.8692,272.21,-0.0554556,0.0241435,0.989321760833,29.7111,7,307200,883.278924186,0.0,310.75054907798767,1878
4.89774,276.1,-0.0532806,0.0221315,0.990875225514,22.8019,6,309157,900.287013627,0.0,312.7975068092346,1884
4.91909,277.74,-0.0575326,0.0217799,0.990090433508,24.3036,8,311292,906.189441923,0.0,314.85240411758423,1892
4.88629,280.18,-0.0513586,0.0227488,0.988589605317,24.555,6,313156,915.050639961,0.0,316.9151487350464,1898
4.87611,282.73,-0.054394,0.0238642,0.993473528419,17.9466,6,315057,925.733705217,0.0,319.0127582550049,1904
4.82302,287.94,-0.0531179,0.0208751,0.9899516562,23.8943,7,317323,945.125343662,0.0,321.18996500968933,1911
4.82685,293.37,-0.0536156,0.0235517,0.989676797763,22.8596,6,319403,966.639287029,0.0,323.255095243454,1917
4.77318,296.21,-0.0499181,0.0200599,0.985176945105,33.7248,6,321380,975.400380752,0.0,325.32135462760925,1923
4.76357,295.89,-0.0434915,0.0169766,0.953711237758,39.3233,7,323294,973.747166876,0.0,327.3751480579376,1930
4.79151,299.72,-0.0564808,0.0214232,0.98371335119,44.8676,7,325586,987.257822182,0.0,329.43001914024353,1937
4.75271,302.53,-0.0540369,0.0224963,0.9910413865,26.0608,6,327496,997.708802672,0.0,331.4850401878357,1943
