EpThisIter,EpRewMean,loss_pol_entpen,TimeElapsed,TimestepsSoFar,EpLenMean,EpisodesSoFar,loss_pol_surr,loss_vf_loss,loss_kl,loss_ent,ev_tdlam_before
2,949.3,0.0,206.6863658428192,269788,949.3,1031,-0.00459983,67.9089,0.00684492,1.07368,-0.000996470451355
2,949.3,0.0,208.23427414894104,271788,949.3,1033,-0.00767889,67.9824,0.00679458,1.10197,-0.00186371803284
2,949.3,0.0,209.79582357406616,273788,949.3,1035,-0.0121186,67.9133,0.0155109,1.10349,-0.000332474708557
5,925.9,0.0,211.3427128791809,276448,925.9,1040,-0.014381,72.6163,0.0064801,1.11567,0.517558425665
2,917.64,0.0,212.9053680896759,277622,917.64,1042,-0.00997303,51.3688,0.0125435,1.1055,0.529066085815
2,917.64,0.0,214.4834508895874,279622,917.64,1044,-0.00476276,68.7935,0.00656998,1.10703,-0.0178768634796
3,923.75,0.0,216.03482699394226,282622,923.75,1047,-0.00487155,101.336,0.00496455,1.14334,-0.00092089176178
2,923.75,0.0,217.5626254081726,284622,923.75,1049,-0.0081021,53.8114,0.00752936,1.13271,0.0839275717735
2,924.78,0.0,219.1248335838318,286622,924.78,1051,-0.00575142,68.3505,0.00603555,1.12988,0.00162792205811
2,924.78,0.0,220.70187139511108,288622,924.78,1053,-0.00601711,68.4228,0.00617882,1.13443,-0.000373721122742
2,924.78,0.0,222.26462650299072,290622,924.78,1055,-0.00821366,68.3437,0.00581438,1.13185,0.00154674053192
2,924.78,0.0,223.82734155654907,292622,924.78,1057,-0.0120218,53.2463,0.00843147,1.13885,0.0333977341652
2,924.78,0.0,225.40600299835205,294622,924.78,1059,-0.00716064,69.3075,0.00609721,1.11432,-0.0149991512299
2,924.78,0.0,226.96823167800903,296622,924.78,1061,-0.00771143,69.1908,0.00682241,1.11487,-0.0063943862915
2,924.78,0.0,228.53635597229004,298622,924.78,1063,-0.00492854,69.0375,0.00595635,1.11532,-0.00234627723694
2,924.78,0.0,230.0769600868225,300622,924.78,1065,-0.00613584,69.07,0.0110607,1.10189,-0.0369423627853
3,916.23,0.0,231.62464904785156,302767,916.23,1068,-0.0106922,83.9862,0.0056027,1.10599,0.0104387402534
2,916.23,0.0,233.21777081489563,304767,916.23,1070,-0.00556905,68.4067,0.00564021,1.1137,-0.0364789962769
2,916.23,0.0,234.77994871139526,306767,916.23,1072,-0.00670523,55.7825,0.011226,1.09941,0.0283778905869
2,916.23,0.0,236.3626790046692,308767,916.23,1074,-0.00638236,69.0309,0.00674959,1.10654,-0.00400221347809
2,916.23,0.0,237.92113995552063,310767,916.23,1076,-0.00520496,68.9129,0.00638266,1.10867,-0.00329446792603
2,916.23,0.0,239.49873423576355,312767,916.23,1078,-0.00456252,68.804,0.00678778,1.13232,-0.00351858139038
2,916.23,0.0,241.0618314743042,314767,916.23,1080,-0.00691531,68.4702,0.00734009,1.14164,0.00239998102188
2,916.23,0.0,242.62429332733154,316767,916.23,1082,-0.00709356,68.6874,0.00858072,1.15146,-0.00442659854889
2,916.23,0.0,244.17096662521362,318767,916.23,1084,-0.00516488,68.6552,0.00665116,1.16313,-0.000326991081238
2,916.23,0.0,245.71872353553772,320767,916.23,1086,-0.0040581,68.6658,0.00510491,1.19898,-0.000556588172913
2,916.23,0.0,247.29558897018433,322767,916.23,1088,-0.00814527,68.6364,0.0093938,1.18506,-0.000623106956482
4,903.89,0.0,248.8436198234558,325533,903.89,1092,-0.00915383,109.906,0.00485732,1.17149,0.00817716121674
2,903.89,0.0,250.4292995929718,327533,903.89,1094,-0.0100744,52.6059,0.0084043,1.15913,-0.0347714424133
2,903.89,0.0,251.99904417991638,329533,903.89,1096,-0.0072742,68.7928,0.00504915,1.176,-0.0230584144592
2,911.96,0.0,253.5627179145813,331533,911.96,1098,-0.00956238,68.2535,0.0125612,1.1666,-0.0243588685989
2,914.87,0.0,255.1241056919098,333048,914.87,1100,-0.00749406,64.7145,0.0082821,1.15948,0.0322729349136
2,922.12,0.0,256.68784499168396,335048,922.12,1102,-0.00519386,68.6754,0.00440232,1.15003,-0.0737793445587
2,922.12,0.0,258.2494797706604,337048,922.12,1104,-0.00628904,68.0101,0.00531115,1.14251,-0.00116097927094
2,922.12,0.0,259.8116774559021,339048,922.12,1106,-0.00430812,67.882,0.00631958,1.15719,-0.0159744024277
2,922.12,0.0,261.37372851371765,341048,922.12,1108,-0.00509654,67.9496,0.00494718,1.17926,-0.00129210948944
3,922.12,0.0,262.9368963241577,344048,922.12,1111,-0.00946092,95.3866,0.00998482,1.17568,0.00133508443832
2,922.12,0.0,264.51416015625,346048,922.12,1113,-0.00510076,67.1795,0.00676,1.1863,-0.0100927352905
2,926.65,0.0,266.0618622303009,347987,926.65,1115,-0.00649166,60.2515,0.00417675,1.16347,0.00528568029404
2,933.55,0.0,267.62411546707153,349987,933.55,1117,-0.00578962,67.9645,0.00885115,1.16729,-0.00842523574829
2,937.33,0.0,269.1734266281128,351987,937.33,1119,-0.00736166,64.0047,0.0062654,1.16044,0.00434958934784
2,941.99,0.0,270.73381185531616,353987,941.99,1121,-0.00856075,64.9741,0.00659956,1.17871,0.0144026279449
2,941.99,0.0,272.2964417934418,355987,941.99,1123,-0.00774404,29.3405,0.00707268,1.18062,0.209431946278
2,941.99,0.0,273.85872626304626,357987,941.99,1125,-0.00578359,70.6593,0.00683266,1.1708,-0.00320959091187
2,939.42,0.0,275.42111825942993,359730,939.42,1127,-0.0146282,50.1278,0.00681889,1.15609,0.030760705471
2,939.42,0.0,276.99544310569763,361730,939.42,1129,-0.00666261,71.0395,0.00384891,1.15061,-0.0160570144653
2,939.42,0.0,278.54641795158386,363730,939.42,1131,-0.00637436,70.6736,0.00796819,1.15748,-0.0166171789169
2,939.42,0.0,280.10866379737854,365730,939.42,1133,-0.00818079,68.864,0.00871377,1.15119,0.0138127803802
2,939.42,0.0,281.6396207809448,367730,939.42,1135,-0.00658091,68.1189,0.00659716,1.15969,0.0161551833153
2,948.76,0.0,283.2017619609833,369730,948.76,1137,-0.00940951,69.8148,0.00882941,1.16761,-0.0140880346298
3,962.82,0.0,284.74963998794556,372730,962.82,1140,-0.00572106,102.535,0.00584005,1.17477,-0.00908589363098
2,967.98,0.0,286.31122970581055,374420,967.98,1142,-0.00764085,62.762,0.00805186,1.16465,0.00171291828156
2,967.98,0.0,287.87446570396423,376420,967.98,1144,-0.00541976,68.4685,0.00427315,1.17181,-0.0381491184235
2,967.98,0.0,289.43664813041687,378420,967.98,1146,-0.00378709,68.4429,0.00569651,1.16353,-0.00106608867645
2,967.98,0.0,291.0000147819519,380420,967.98,1148,-0.00740843,67.797,0.00556192,1.14706,0.00123959779739
2,967.98,0.0,292.57711958885193,382420,967.98,1150,-0.00497724,68.251,0.00533527,1.15228,-0.0170812606812
2,967.98,0.0,294.12359857559204,384420,967.98,1152,-0.00608053,68.1491,0.00855316,1.16446,-0.00116157531738
2,967.98,0.0,295.6721701622009,386420,967.98,1154,-0.008151,68.2162,0.00702696,1.15562,-0.000863432884216
2,967.98,0.0,297.23329305648804,388420,967.98,1156,-0.00871681,68.2079,0.00686361,1.18228,-0.00706553459167
2,967.98,0.0,298.74960112571716,390420,967.98,1158,-0.00576881,68.2219,0.00603903,1.18461,-0.000595450401306
3,962.12,0.0,300.32672786712646,392834,962.12,1161,-0.0104933,64.9666,0.00615283,1.16717,0.146844089031
