EpLenMean,loss_pol_entpen,ev_tdlam_before,loss_kl,loss_vf_loss,loss_ent,EpisodesSoFar,TimeElapsed,loss_pol_surr,TimestepsSoFar,EpRewMean,EpThisIter
1000.0,0.0,0.0993844270706,0.0269306,89.3277,1.70579,307,269.3446555137634,-0.0389069,307000,1013.95120641,2
1000.0,0.0,0.0644967556,0.0186279,88.7038,1.6709,309,271.1413598060608,-0.0414777,309000,1018.77458334,2
1000.0,0.0,0.127333164215,0.0282801,87.5413,1.66786,311,272.92238998413086,-0.0378403,311000,1021.97564273,2
1000.0,0.0,0.0456495881081,0.0290428,90.5204,1.64282,313,274.7501986026764,-0.0346396,313000,1025.53986386,2
1000.0,0.0,0.0294607877731,0.0260641,94.2846,1.6111,315,276.53212451934814,-0.0355596,315000,1029.81095342,2
1000.0,0.0,0.0889665484428,0.0239898,96.5931,1.55458,317,278.3293583393097,-0.0440835,317000,1032.59050073,2
1000.0,0.0,0.084242105484,0.0247324,92.2236,1.54901,319,280.1418001651764,-0.0386661,319000,1036.25356012,2
1000.0,0.0,0.0117657184601,0.0247392,92.5125,1.54428,321,281.938467502594,-0.0382902,321000,1039.41555749,2
1000.0,0.0,0.10164296627,0.0257733,93.0507,1.51006,323,283.71963691711426,-0.0383432,323000,1043.46652109,2
1000.0,0.0,0.118759453297,0.026491,96.8583,1.5192,325,285.50087571144104,-0.038346,325000,1047.63630385,2
1000.0,0.0,0.0566192865372,0.0218722,101.568,1.50552,327,287.28592920303345,-0.0395393,327000,1051.28891974,2
1000.0,0.0,0.0465955734253,0.0266973,95.1368,1.50825,329,289.07551860809326,-0.0370186,329000,1056.04392474,2
1000.0,0.0,0.0219203233719,0.0283255,92.9372,1.47282,331,290.85995984077454,-0.0377765,331000,1059.65590376,2
1000.0,0.0,0.0333817601204,0.0271052,87.3955,1.41574,333,292.65677428245544,-0.0356164,333000,1062.92114727,2
1000.0,0.0,0.0529356002808,0.0426651,96.1543,1.39647,335,294.4377586841583,-0.0291435,335000,1066.33817646,2
1000.0,0.0,0.0869886279106,0.0240581,96.6064,1.37324,337,296.2351698875427,-0.0397018,337000,1069.57684112,2
1000.0,0.0,0.0327814817429,0.027207,93.2326,1.35293,339,298.0167803764343,-0.0376438,339000,1073.28498888,2
1000.0,0.0,0.147983372211,0.0343859,136.208,1.3463,342,299.81248807907104,-0.0448422,342000,1078.43163546,3
1000.0,0.0,0.00692957639694,0.0313146,91.6509,1.31531,344,301.6039752960205,-0.0344466,344000,1080.64168596,2
1000.0,0.0,0.0411599874496,0.0300691,94.9877,1.31792,346,303.392614364624,-0.0362045,346000,1083.31049501,2
1000.0,0.0,0.0781308412552,0.0316479,97.4539,1.2722,348,305.1718719005585,-0.0385997,348000,1086.93189276,2
