loss_kl,TimeElapsed,loss_pol_surr,ev_tdlam_before,loss_pol_entpen,TimestepsSoFar,EpLenMean,EpisodesSoFar,EpThisIter,loss_ent,EpRewMean,loss_vf_loss
0.0397553,284.9249472618103,-0.036659,0.152129113674,0.0,319000,1000.0,319,2,1.35278,1035.88236038,104.544
0.0280132,286.7374413013458,-0.0364592,0.100792348385,0.0,321000,1000.0,321,2,1.31091,1040.07511113,103.411
0.0257314,288.5499360561371,-0.037901,0.140797019005,0.0,323000,1000.0,323,2,1.28077,1045.83304332,104.907
0.0319227,290.36243057250977,-0.0377628,0.0827013254166,0.0,325000,1000.0,325,2,1.26633,1052.02256366,105.4
0.0271812,292.1749255657196,-0.0394595,0.123842477798,0.0,327000,1000.0,327,2,1.25249,1058.6055088,108.402
0.0270311,293.9874176979065,-0.0393119,0.131260216236,0.0,329000,1000.0,329,2,1.21654,1064.8203054,110.31
0.0253632,295.79991340637207,-0.0428492,0.170715451241,0.0,331000,1000.0,331,2,1.15342,1069.35448623,110.604
0.0217963,297.6280333995819,-0.0410807,0.0891668200493,0.0,333000,1000.0,333,2,1.10641,1074.65477507,107.772
0.0266371,299.44790744781494,-0.0424329,0.120209693909,0.0,335000,1000.0,335,2,1.07399,1079.2779597,110.745
0.0290173,301.2693564891815,-0.0369738,0.121559262276,0.0,337000,1000.0,337,2,1.0457,1086.08761827,111.0
0.0342128,303.0962505340576,-0.0362634,0.227127432823,0.0,339000,1000.0,339,2,1.02903,1093.97867454,112.267
0.0257455,304.90613532066345,-0.0391932,0.136580646038,0.0,342000,1000.0,342,3,1.0092,1102.59117952,172.29
0.0296286,306.7377014160156,-0.0399962,0.152170062065,0.0,344000,1000.0,344,2,1.00978,1107.96773846,112.365
0.032801,308.5511083602905,-0.042683,0.149014174938,0.0,346000,1000.0,346,2,0.943689,1112.63406305,117.152
0.025932,310.3707137107849,-0.0388189,0.138454496861,0.0,348000,1000.0,348,2,0.923436,1117.30315267,111.232
0.0240366,312.2000353336334,-0.0386704,0.138999521732,0.0,350000,1000.0,350,2,0.874753,1122.98720685,112.737
0.0369272,314.0180675983429,-0.0346862,0.155399501324,0.0,352000,1000.0,352,2,0.867311,1127.28681797,116.019
0.0294459,315.83056139945984,-0.0331345,0.155843615532,0.0,354000,1000.0,354,2,0.863264,1132.42374758,113.55
0.0363162,317.65868163108826,-0.0334136,0.146421194077,0.0,356000,1000.0,356,2,0.838381,1136.93145659,119.544
0.0249275,319.4634735584259,-0.0373483,0.111966013908,0.0,358000,1000.0,358,2,0.868388,1141.65527933,115.85
0.0343029,321.2996144294739,-0.0359815,0.112248063087,0.0,360000,1000.0,360,2,0.835678,1145.56388417,121.489
0.0291542,323.1060962677002,-0.0350853,0.0913255214691,0.0,362000,1000.0,362,2,0.811365,1149.82098058,113.2
0.0305094,324.92440009117126,-0.0360346,0.101897358894,0.0,364000,1000.0,364,2,0.767848,1154.3508844,120.667
0.0379045,326.7368948459625,-0.0346558,0.102097272873,0.0,366000,1000.0,366,2,0.794146,1157.91222699,118.937
0.0537245,328.5650143623352,-0.0428911,0.350073754787,0.0,368000,1000.0,368,2,0.772536,1160.27339627,119.255
0.0311933,330.37893080711365,-0.0390462,0.163536548615,0.0,370000,1000.0,370,2,0.772386,1162.6843458,115.412
0.0328634,332.19142508506775,-0.0351272,0.0870181322098,0.0,372000,1000.0,372,2,0.759728,1166.32662175,115.967
0.032333,334.00608921051025,-0.0355158,0.0769661068916,0.0,374000,1000.0,374,2,0.75305,1168.41939273,120.349
0.0272076,335.8313002586365,-0.0360881,0.0728092193604,0.0,376000,1000.0,376,2,0.725141,1171.52114441,113.291
0.0434998,337.63760328292847,-0.0304033,0.0868854522705,0.0,378000,1000.0,378,2,0.683995,1174.14997121,116.075
0.0294576,339.4557557106018,-0.0360768,0.0872731208801,0.0,380000,1000.0,380,2,0.630398,1176.68075849,118.758
0.0226537,341.2679970264435,-0.0361883,0.120004594326,0.0,382000,1000.0,382,2,0.623266,1180.14954783,115.841
0.0284733,343.0961158275604,-0.0443418,0.221334517002,0.0,385000,1000.0,385,3,0.608678,1182.83264037,161.046
0.0333624,344.90860986709595,-0.0367866,0.117137134075,0.0,387000,1000.0,387,2,0.548389,1185.39144357,111.751
0.027753,346.73673009872437,-0.038363,0.108237624168,0.0,389000,1000.0,389,2,0.528134,1191.53749295,117.771
0.0275926,348.5492272377014,-0.0384979,0.0977830290794,0.0,391000,1000.0,391,2,0.483721,1195.54008062,111.358
0.0335099,350.37477588653564,-0.034489,0.0897589921951,0.0,393000,1000.0,393,2,0.459469,1198.87334732,115.288
0.034209,352.191201210022,-0.0334287,0.0852537155151,0.0,395000,1000.0,395,2,0.463108,1202.37697346,113.209
0.045225,354.01931977272034,-0.0308913,0.0769280195236,0.0,397000,1000.0,397,2,0.435285,1205.27093732,122.407
0.0375634,355.8318147659302,-0.0318938,0.0900000333786,0.0,399000,1000.0,399,2,0.420975,1208.36709287,120.222
0.0292638,357.65993547439575,-0.0402369,0.112297654152,0.0,401000,1000.0,401,2,0.393462,1211.34438745,115.906
0.0420583,359.48805713653564,-0.033287,0.115455329418,0.0,403000,1000.0,403,2,0.364127,1216.03216152,118.361
0.0295994,361.30054926872253,-0.0356622,0.0587357878685,0.0,405000,1000.0,405,2,0.362225,1218.18913888,119.973
