loss_pol_surr,loss_kl,loss_ent,TimestepsSoFar,EpRewMean,EpisodesSoFar,ev_tdlam_before,TimeElapsed,EpThisIter,loss_vf_loss,loss_pol_entpen,EpLenMean
-0.00100671,0.0261733,-0.433239,193654,4481.59396453,4662,0.17071890831,162.74747228622437,2,4490.34,0.0,481.9
0.00262062,0.0398858,-0.414649,195654,4630.3126349,4664,-0.03357899189,164.43496751785278,2,4742.38,0.0,497.87
-0.0132089,0.0129629,-0.412932,198344,4593.88708657,4670,0.599376469851,166.13808679580688,6,5203.15,0.0,493.94
-0.0109853,0.0503021,-0.409458,200229,4612.3137755,4673,0.653932929039,167.82558131217957,3,3984.91,0.0,495.91
-0.00173945,0.0362155,-0.400867,201851,4712.22989839,4675,0.35158187151,169.52870202064514,2,4078.45,0.0,506.64
-0.00278544,0.0155949,-0.403049,203851,4873.52589803,4677,-0.0445311069489,171.23182106018066,2,4718.49,0.0,523.96
-0.0118303,0.0119672,-0.409329,206676,4902.17233042,4683,0.48948687315,172.91931676864624,6,6860.65,0.0,527.01
0.00179317,0.0337649,-0.421778,208572,5069.42403292,4686,0.407363831997,174.63806128501892,3,5111.42,0.0,544.97
-0.00808521,0.015779,-0.430135,210572,5193.1642181,4688,-0.0253949165344,176.3255558013916,2,4724.7,0.0,558.25
-0.00308261,0.0301537,-0.420696,212394,5279.81174633,4690,0.508752942085,178.02867817878723,2,3766.05,0.0,567.55
-0.0110593,0.0106314,-0.42556,214394,5367.13344251,4692,-0.0138635635376,179.74573802947998,2,4712.77,0.0,576.92
-0.0102045,0.0077931,-0.414887,216803,5448.63775804,4695,0.23308467865,181.44159269332886,3,5050.78,0.0,585.67
0.00362759,0.0259213,-0.435886,219078,5503.694894,4698,0.326800942421,183.12295269966125,3,5309.95,0.0,591.57
-0.0176335,0.0315192,-0.442524,220715,5534.09573218,4701,0.697401344776,184.83528590202332,3,2451.99,0.0,594.82
-0.0114544,0.00945588,-0.439721,223016,5579.60586801,4704,0.418755531311,186.5075237751007,3,5394.37,0.0,599.69
-0.00789043,0.0121925,-0.454973,224857,5686.02385147,4706,0.538812726736,188.22748470306396,2,4020.15,0.0,611.11
-0.00645032,0.0272173,-0.452083,226841,5582.68160322,4710,0.603426575661,189.90825629234314,4,4854.54,0.0,599.98
-0.00799582,0.0190647,-0.445565,228454,5546.76923048,4712,0.412605643272,191.611576795578,2,3341.19,0.0,596.11
-0.00387519,0.0215217,-0.435735,230991,5697.82695732,4716,0.561545789242,193.29419922828674,4,5921.02,0.0,612.31
-0.00747686,0.0239643,-0.455295,233441,5839.585085,4719,0.27833533287,194.99731993675232,3,6095.37,0.0,627.52
-0.00895584,0.0218182,-0.462332,234621,5734.05391012,4723,0.785984665155,196.68481373786926,4,3640.37,0.0,616.17
-0.00273811,0.0183074,-0.463122,237177,5827.65620043,4727,0.570792227983,198.37231040000916,4,5758.44,0.0,626.2
-0.00160296,0.0203087,-0.465693,239137,5934.10906548,4730,0.621935933828,200.07542824745178,3,4846.01,0.0,637.62
-0.00981132,0.019031,-0.454093,241525,5877.25434456,4733,0.653814256191,201.7785496711731,3,4430.0,0.0,631.5
-0.00900345,0.01517,-0.465019,243525,5995.26363154,4735,-0.03588950634,203.48166942596436,2,4749.61,0.0,644.17
-0.0181722,0.0291371,-0.478153,245110,5910.44352233,4739,0.698693990707,205.16916275024414,4,3146.31,0.0,635.05
-0.00742918,0.0218614,-0.478064,247110,5992.02326524,4741,-0.00537884235382,206.85666036605835,2,4956.67,0.0,643.8
-0.0040556,0.0208051,-0.479806,249110,6126.63209838,4743,-0.00755035877228,208.5597791671753,2,4995.32,0.0,658.25
-0.000842277,0.0504398,-0.470351,251110,6254.83039398,4745,-0.0150837898254,210.26112127304077,2,5018.17,0.0,672.01
-0.00864147,0.0118261,-0.456689,253110,6312.05960458,4747,-0.000999450683594,211.95184230804443,2,5069.54,0.0,678.15
-0.00952035,0.0273162,-0.45599,255110,6365.62725285,4749,-0.00260210037231,213.6696903705597,2,5100.18,0.0,683.89
-0.00470653,0.0368832,-0.439793,257094,6495.62024387,4751,0.511077076197,215.3426866531372,2,3297.15,0.0,697.85
-0.00803319,0.0103027,-0.413814,260094,6615.79375546,4754,-0.0243686437607,217.05290412902832,3,7518.74,0.0,710.75
-0.00647718,0.0236101,-0.409333,261879,6705.44542964,4756,0.268275022507,218.73123121261597,2,3280.3,0.0,720.38
-0.00993014,0.0169896,-0.390694,263336,6694.24312963,4759,0.702259123325,220.4499773979187,3,1249.96,0.0,719.17
-0.00903553,0.0193758,-0.388164,265336,6765.57092465,4761,-0.0671700239182,222.12184643745422,2,5326.52,0.0,726.82
-0.00249879,0.0174181,-0.378682,267667,6703.38085091,4764,0.343252182007,223.82496738433838,3,6104.04,0.0,720.13
-0.00267947,0.025223,-0.367961,270043,6772.77150878,4767,0.502151846886,225.51246118545532,3,5633.27,0.0,727.57
0.00505051,0.0297066,-0.366754,271517,6889.01569079,4769,0.282369971275,227.19995713233948,2,4270.18,0.0,740.05
-0.0143317,0.0191231,-0.365882,274196,6885.6119177,4773,0.465302944183,228.90307688713074,4,5713.82,0.0,739.67
0.00207111,0.0424868,-0.371582,275687,6873.50281464,4775,0.4238961339,230.60619735717773,2,3817.41,0.0,738.36
-0.013363,0.0102996,-0.378534,278193,6770.74701489,4780,0.460571706295,232.29369235038757,5,7923.68,0.0,727.34
-0.00939628,0.0121775,-0.370489,280193,6852.97664459,4782,-0.12392115593,233.9887251853943,2,5469.75,0.0,736.17
0.00409795,0.0578169,-0.358115,282272,6876.90330666,4785,0.661975294352,235.70925760269165,3,3554.31,0.0,738.74
-0.0114176,0.0142085,-0.351704,284222,6949.08210071,4787,0.209854006767,237.39558148384094,2,5107.44,0.0,746.5
0.00141763,0.0471538,-0.362191,286251,6688.8623085,4792,0.635230511427,239.10753965377808,5,5957.34,0.0,718.57
-0.0075124,0.0255945,-0.365498,288075,6634.41127857,4795,0.332737505436,240.84423422813416,3,6647.44,0.0,712.72
-0.00911924,0.00989218,-0.363241,290744,6671.1240558,4798,0.245205640793,242.55920338630676,3,6678.62,0.0,716.66
-0.0147982,0.0112477,-0.351983,292744,6758.68148828,4800,-0.19024002552,244.24798846244812,2,5906.48,0.0,726.06
-0.00623072,0.0257687,-0.323763,294806,6710.76946209,4803,0.28921353817,245.94259667396545,3,5814.16,0.0,720.91
-0.0116347,0.0242015,-0.337326,296271,6726.05643422,4805,0.59115883708,247.61625957489014,2,3387.51,0.0,722.55
-0.00618462,0.0203239,-0.344595,298163,6762.38378226,4807,0.388401031494,249.31910276412964,2,4524.56,0.0,726.44
-0.00967044,0.0204797,-0.386943,300819,6886.64967509,4810,0.395260632038,250.99231958389282,3,5143.25,0.0,739.78
-0.00894777,0.0145459,-0.386692,302819,6922.77047668,4812,-0.0462731122971,252.69669818878174,2,5680.61,0.0,743.65
-0.0118486,0.0152706,-0.376989,304654,6961.27626658,4814,0.423126161098,254.38451719284058,2,3066.79,0.0,747.78
-0.0125539,0.0127035,-0.368084,307190,6907.42855471,4818,0.887802071869,256.0860152244568,4,1516.35,0.0,741.99
-0.0061584,0.0175963,-0.364031,309190,6978.51607662,4820,-0.0847193002701,257.7735915184021,2,5877.95,0.0,749.61
-0.0139215,0.0171045,-0.379793,310917,7102.87000571,4823,0.378781795502,259.46651816368103,3,5425.89,0.0,762.96
-0.00458375,0.0196978,-0.376022,312347,7131.76406233,4825,0.634851932526,261.185263633728,2,1616.57,0.0,766.06
-0.0049085,0.0116469,-0.381783,314453,7101.12823397,4828,0.484597206116,262.88838362693787,3,5240.13,0.0,762.76
-0.00317955,0.0349095,-0.380189,317020,7157.84170794,4831,0.479018330574,264.5915036201477,3,6843.74,0.0,768.83
-0.0110573,0.01535,-0.390121,319205,7139.22166755,4834,0.473693966866,266.28411388397217,3,6945.7,0.0,766.8
-0.00623867,0.0289125,-0.402043,321205,7182.17979679,4836,-0.0438197851181,267.9991195201874,2,5915.06,0.0,771.39
-0.00964096,0.0128215,-0.398019,323236,7274.23670003,4839,0.645295649767,269.6867775917053,3,4536.1,0.0,781.26
-0.0101589,0.0135727,-0.377544,325236,7274.36072806,4841,-0.0673328638077,271.40379905700684,2,5946.13,0.0,781.26
-0.0146216,0.00856586,-0.397917,327625,7124.51912669,4845,0.614197045565,273.09129333496094,4,7132.68,0.0,765.15
-0.0112946,0.00854623,-0.403906,329394,7103.08349454,4847,0.487975776196,274.7944133281708,2,4164.45,0.0,762.84
-0.00454365,0.0291016,-0.424645,331394,7103.21843345,4849,-0.130760908127,276.48190808296204,2,5925.4,0.0,762.84
-0.00839554,0.0176741,-0.42681,333394,7104.92683231,4851,-0.0271837711334,278.1694037914276,2,5835.5,0.0,763.0
0.00277841,0.0179358,-0.419939,335394,7105.11187651,4853,-0.000530242919922,279.8412733078003,2,5837.26,0.0,763.0
-0.00130104,0.0444654,-0.414319,337375,7103.49705682,4855,0.373145461082,281.544394493103,2,4494.65,0.0,762.81
-0.00559714,0.0166607,-0.434986,339375,7184.00478186,4857,-0.00667214393616,283.2162628173828,2,5870.09,0.0,771.43
-0.00700845,0.0183077,-0.425094,341963,7136.18229483,4861,0.417985796928,284.91938376426697,4,8132.35,0.0,766.27
-0.00266999,0.0201996,-0.434704,343963,7136.37052917,4863,-0.0426505804062,286.62250232696533,2,5772.83,0.0,766.27
-0.00883547,0.0177806,-0.445867,345963,7198.86421115,4865,-0.0540727376938,288.30999851226807,2,5921.44,0.0,772.96
-0.00421851,0.00800258,-0.431533,347963,7257.12469217,4867,-0.06416451931,290.0131175518036,2,5878.26,0.0,779.2
-0.0088675,0.0152583,-0.420054,349538,7266.68666527,4869,0.243386507034,291.70061349868774,2,5295.75,0.0,780.21
-0.00471481,0.0151729,-0.401728,351538,7291.20810933,4871,0.0179191231728,293.4037334918976,2,4089.72,0.0,782.82
-0.00516471,0.0214289,-0.39441,353538,7390.15149652,4873,-0.016149520874,295.09122681617737,2,5899.18,0.0,793.42
-0.00516391,0.0336191,-0.393913,355777,7366.87474064,4876,0.318141937256,296.7939281463623,3,6840.22,0.0,790.9
-0.010436,0.0103754,-0.385266,358339,7465.59533126,4880,0.365138113499,298.49704670906067,4,8095.88,0.0,801.46
-0.00571986,0.00703454,-0.385854,359995,7433.75858562,4882,0.288467168808,300.21579599380493,2,5386.05,0.0,798.02
-0.00563825,0.0163215,-0.384875,361995,7469.94957756,4884,-0.0519593954086,301.90328788757324,2,5846.14,0.0,801.88
-0.00770942,0.0207726,-0.390866,363995,7520.04136853,4886,-0.0273059606552,303.61359429359436,2,5862.78,0.0,807.23
-0.00552105,0.0193025,-0.411118,365995,7544.77300611,4888,-0.0633784532547,305.30290126800537,2,5876.23,0.0,809.86
-0.00928177,0.00945425,-0.406575,367995,7658.70390981,4890,-0.00819277763367,306.99840784072876,2,5780.6,0.0,822.07
0.00428597,0.0381657,-0.410246,370522,7715.69511026,4894,0.424352824688,308.68567395210266,4,7108.26,0.0,828.16
-0.00694934,0.0221764,-0.399268,372419,7765.00342765,4896,0.598193705082,310.3902313709259,2,4028.06,0.0,833.44
-0.00290216,0.0456955,-0.38965,374419,7795.98192574,4898,-0.119351506233,312.07026076316833,2,5976.16,0.0,836.75
-0.013041,0.0107316,-0.391037,376475,7708.11551446,4901,0.341586053371,313.75880789756775,3,5105.97,0.0,827.31
-0.0150839,0.0191847,-0.405863,378030,7754.0299083,4903,0.689300090075,315.43484568595886,2,2332.8,0.0,832.24
-0.0122262,0.0148688,-0.403322,380305,7746.41030304,4906,0.42133641243,317.13796639442444,3,6823.44,0.0,831.42
-0.0112016,0.0216969,-0.405014,382305,7746.42697539,4908,-0.155518889427,318.81684970855713,2,5916.07,0.0,831.42
-0.0127366,0.00975488,-0.414112,384147,7670.64003492,4911,0.534019351006,320.506804227829,3,5659.93,0.0,823.28
-0.0143004,0.0100829,-0.444754,386767,7479.48152048,4916,0.524290084839,322.2112240791321,5,10176.1,0.0,802.76
-0.00350855,0.0226926,-0.444299,388767,7600.72993059,4918,-0.0707244873047,323.9074709415436,2,5755.55,0.0,815.77
-0.00249208,0.0373016,-0.440952,390767,7600.76660981,4920,-0.0955135822296,325.59644532203674,2,5814.6,0.0,815.77
-0.00912555,0.0137999,-0.44438,392767,7666.61399472,4922,-0.00832152366638,327.2942478656769,2,5795.89,0.0,822.83
-0.00851149,0.0185789,-0.426246,394767,7769.84451815,4924,-0.0112670660019,329.0129919052124,2,5809.15,0.0,833.9
-0.0120594,0.0184844,-0.449943,397204,7710.30030028,4928,0.393179833889,330.70048666000366,4,8271.6,0.0,827.51
-0.0108869,0.0260667,-0.464798,398832,7675.55512016,4930,0.244816124439,332.39978289604187,2,5234.92,0.0,823.79
-0.00910294,0.0308019,-0.459501,400832,7715.84115976,4932,-0.00907790660858,334.0956082344055,2,5802.39,0.0,828.12
-0.0111189,0.0184882,-0.45619,403218,7734.43865739,4935,0.211543917656,335.8166329860687,3,7172.77,0.0,830.13
0.000368279,0.0365464,-0.440592,405218,7734.40396576,4937,-0.00811862945557,337.5050048828125,2,5803.52,0.0,830.13
-0.0126633,0.0159446,-0.44031,407218,7824.71569505,4939,-0.0220956802368,339.2091107368469,2,5818.97,0.0,839.82
-0.0087445,0.0224869,-0.435356,409582,7799.5386048,4942,0.281015992165,340.8893895149231,3,5469.6,0.0,837.12
-0.00716209,0.0153043,-0.440851,411582,7915.53375816,4944,-0.267250776291,342.59193992614746,2,6146.82,0.0,849.57
-0.0104725,0.0200117,-0.415913,413582,7937.0491545,4946,-0.00960898399353,344.26382994651794,2,5817.18,0.0,851.88
-0.00666276,0.0252447,-0.398839,415083,7890.53687645,4948,0.381436288357,345.9584240913391,2,3679.76,0.0,846.89
-0.0121327,0.013614,-0.410378,417064,7888.67248656,4950,0.247152090073,347.63442182540894,2,5020.33,0.0,846.7
-0.00789668,0.0153884,-0.405482,419064,7888.63761415,4952,-0.0596361160278,349.3374779224396,2,5852.32,0.0,846.7
-0.00995361,0.0133428,-0.421872,421637,7850.52916104,4955,0.583084225655,351.0476551055908,3,4329.65,0.0,842.62
-0.0119305,0.00877087,-0.426784,423637,7850.4798356,4957,-0.0245954990387,352.7517788410187,2,5878.14,0.0,842.62
-0.00461805,0.0169818,-0.433511,425976,7832.43056401,4960,0.194606900215,354.45501017570496,3,7773.36,0.0,840.69
-0.00937088,0.0113453,-0.441224,427646,7889.68449644,4962,0.387784123421,356.15395975112915,2,4928.1,0.0,846.83
-0.0020734,0.021049,-0.444366,429646,7889.68704092,4964,-0.150730133057,357.85182070732117,2,5929.95,0.0,846.83
-0.0164484,0.0189701,-0.427719,431544,7880.19596645,4966,0.323259115219,359.55562376976013,2,4360.13,0.0,845.81
-0.00968092,0.0314018,-0.419054,433544,7880.2419183,4968,-0.0944586992264,361.263099193573,2,5932.06,0.0,845.81
-0.00614385,0.0270531,-0.414272,436223,7889.87419637,4971,0.224608719349,362.9580969810486,3,6750.18,0.0,846.85
-0.0093473,0.0326988,-0.410293,438223,7889.90833149,4973,-0.061952829361,364.6783514022827,2,5860.72,0.0,846.85
-0.00837604,0.0373769,-0.420984,439860,7927.11627087,4975,0.253676831722,366.3659975528717,2,3335.3,0.0,850.83
