loss_kl,EpLenMean,TimestepsSoFar,EpisodesSoFar,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,loss_ent,TimeElapsed,loss_vf_loss,EpThisIter,EpRewMean
0.0198738,201.69,247772,1695,0.0,0.963077265769,-0.0520899,5.87661,247.77566957473755,99.9742,10,631.542316991
0.0245349,201.65,249850,1706,0.0,0.96141769737,-0.05338,5.85052,249.8090467453003,115.321,11,637.022085434
0.021415,200.17,251891,1717,0.0,0.942155897617,-0.0548795,5.85368,251.84054231643677,136.098,11,635.362266613
0.0213684,199.53,253939,1728,0.0,0.942160006613,-0.0615144,5.83529,253.87164974212646,165.472,11,637.062225268
0.0204046,196.97,255977,1739,0.0,0.944609481841,-0.0576428,5.78467,255.95464253425598,152.545,11,632.420387151
0.0220043,197.35,257837,1748,0.0,0.947967048734,-0.0577362,5.72022,257.9889762401581,152.776,9,635.401782109
0.0248404,197.58,260036,1758,0.0,0.951455716044,-0.0573501,5.688,260.02045345306396,142.615,10,640.504785483
0.0219988,200.39,262137,1767,0.0,0.938438866287,-0.0612351,5.66662,262.07483530044556,162.28,9,656.035083301
0.0225538,204.89,264131,1775,0.0,0.949599258602,-0.0644805,5.64208,264.10652112960815,173.003,8,676.739691588
0.0197533,207.13,266185,1784,0.0,0.953585963696,-0.0589666,5.56906,266.13984870910645,153.514,9,688.213900157
0.0236137,212.49,268163,1791,0.0,0.941013921052,-0.0605098,5.55019,268.1917943954468,205.392,7,711.597117467
0.020051,215.6,270332,1800,0.0,0.952204469591,-0.0586831,5.58608,270.2065737247467,179.308,9,725.158219974
0.024266,219.21,272133,1808,0.0,0.950325001031,-0.0626498,5.56259,272.2389340400696,134.246,8,740.188059188
0.025389,226.72,274346,1816,0.0,0.960072048008,-0.0593979,5.52679,274.2703628540039,113.184,8,772.183792574
0.0238329,229.04,276050,1824,0.0,0.923624694347,-0.0681552,5.46425,276.30177640914917,171.171,8,781.337105219
0.0201379,236.33,278502,1833,0.0,0.950716715306,-0.0592469,5.43539,278.3488600254059,191.035,9,811.643933139
0.0234003,243.01,280481,1840,0.0,0.963664516807,-0.0609715,5.43013,280.37246465682983,134.245,7,840.461095182
0.0221939,248.54,282483,1847,0.0,0.952301289886,-0.0607004,5.41295,282.403578042984,167.199,7,866.459208079
0.0211947,253.77,284498,1854,0.0,0.936152815819,-0.0636195,5.39283,284.4350776672363,169.759,7,888.896605366
0.0249978,257.84,286591,1861,0.0,0.942808836699,-0.0618134,5.37002,286.47325587272644,156.656,7,905.059516488
0.0292163,263.1,288447,1867,0.0,0.957962598652,-0.0534052,5.30547,288.4891748428345,119.388,6,927.090600035
0.0253228,267.88,290591,1874,0.0,0.944438405335,-0.0596454,5.314,290.5190386772156,180.464,7,948.385819106
0.0233839,270.11,292811,1882,0.0,0.967800054699,-0.0630134,5.29381,292.5434992313385,137.416,8,957.524985689
0.0211082,273.69,294619,1887,0.0,0.941775050014,-0.0572217,5.27369,294.57478070259094,223.714,5,970.907905836
0.0230397,279.16,296833,1894,0.0,0.955411821604,-0.0584532,5.26015,296.6061234474182,173.762,7,990.809364541
0.0262198,286.75,299007,1900,0.0,0.963991746306,-0.0604899,5.23639,298.637423992157,84.4372,6,1026.29054024
0.0219819,289.07,300449,1905,0.0,0.942357715219,-0.0578139,5.21617,300.68440532684326,232.506,5,1035.76081076
0.0246059,301.7,302798,1910,0.0,0.97282047011,-0.059871,5.17387,302.71534419059753,76.8951,5,1091.79267552
0.0253361,306.31,304977,1916,0.0,0.95414859429,-0.060869,5.13483,304.76252794265747,188.997,6,1116.47614114
0.0211204,317.56,306979,1920,0.0,0.949078533798,-0.0589634,5.13275,306.7939269542694,94.3227,4,1163.08148203
0.0273734,327.45,308795,1924,0.0,0.972419055179,-0.0539646,5.10938,308.82834553718567,72.7992,4,1207.75267574
0.0267345,338.91,311046,1927,0.0,0.421183884144,-0.0425782,5.11504,310.86433482170105,793.713,3,1255.86332748
0.0247718,348.23,313073,1932,0.0,0.952249865979,-0.0645745,5.092,312.89628076553345,148.541,5,1297.16457533
0.0268408,355.53,315032,1937,0.0,0.943132206798,-0.0679733,5.0508,314.9344823360443,263.414,5,1333.50780557
0.0209442,362.8,316979,1941,0.0,0.926421366632,-0.0496612,5.05613,316.9662802219391,159.503,4,1362.29648756
0.023683,373.71,319076,1945,0.0,0.953643687069,-0.0588523,5.02698,318.9968292713165,189.912,4,1409.90466006
0.0233212,371.73,321131,1952,0.0,0.959504876286,-0.0607827,4.98174,321.01894640922546,190.68,7,1405.67513877
0.0249585,373.8,323120,1958,0.0,0.934561267495,-0.0669488,4.97186,323.0632450580597,161.04,6,1419.89229478
0.0245521,386.68,325483,1962,0.0,0.963130835444,-0.0538581,4.90899,325.08404994010925,114.259,4,1475.71922523
0.0269772,385.73,327545,1968,0.0,0.947446022183,-0.0640444,4.90781,327.12168860435486,184.943,6,1471.23878397
0.0263659,391.39,328859,1971,0.0,0.954029172659,-0.0540012,4.91341,329.13744258880615,125.566,3,1494.16884299
0.0275149,404.44,331273,1975,0.0,0.974945668131,-0.0577425,4.90387,331.170250415802,94.0709,4,1557.03513344
0.0211387,409.55,332876,1979,0.0,0.975584667176,-0.0581841,4.8938,333.20331597328186,93.2417,4,1579.21725382
0.0166256,414.3,335536,1985,0.0,0.893400847912,-0.0413318,4.87526,335.2393355369568,698.556,6,1605.49571401
0.0234961,417.2,337880,1991,0.0,0.966324053705,-0.0583671,4.86396,337.27034306526184,156.504,6,1626.80895557
0.0227606,415.01,339706,1997,0.0,0.962072767317,-0.0598447,4.82934,339.3017842769623,183.892,6,1620.40426362
0.0237708,422.98,341944,2002,0.0,0.970835391432,-0.0590185,4.83877,341.33280873298645,106.674,5,1660.56099357
0.023921,426.06,343718,2006,0.0,0.978578116745,-0.0619155,4.81852,343.34821820259094,80.1022,4,1677.33048686
0.0245172,419.61,345883,2013,0.0,0.974838903174,-0.0608815,4.78353,345.3725440502167,104.487,7,1654.46818675
0.0225106,415.96,347786,2018,0.0,0.977932149544,-0.0537707,4.77348,347.40304589271545,123.796,5,1647.29491596
0.0215836,417.49,350144,2023,0.0,0.966308444738,-0.0593276,4.74834,349.4269869327545,171.405,5,1659.26429842
0.0299252,421.34,352180,2026,0.0,0.977757161483,-0.0585453,4.71258,351.4501347541809,58.3316,3,1688.04562559
