EpisodesSoFar,loss_vf_loss,EpRewMean,loss_pol_entpen,EpThisIter,TimestepsSoFar,TimeElapsed,loss_ent,loss_pol_surr,EpLenMean,loss_kl,ev_tdlam_before
1694,119.27,1429.84088245,0.0,5,317055,335.8840992450714,4.78289,-0.0514433,424.73,0.0326586,0.958659064025
1700,146.242,1440.04384875,0.0,6,319463,338.0636761188507,4.76572,-0.0560586,427.21,0.0205545,0.951086945832
1703,83.0712,1448.85785478,0.0,3,321057,340.18880438804626,4.73486,-0.059303,429.9,0.0273674,0.954445682466
1710,199.944,1448.19620997,0.0,7,323512,342.3451838493347,4.7202,-0.0594071,429.44,0.0253769,0.91919311136
1715,118.792,1425.44607195,0.0,5,325288,344.48491191864014,4.67949,-0.0604227,423.28,0.028478,0.964890763164
1719,113.351,1433.61794892,0.0,4,327220,346.65685200691223,4.64664,-0.0654121,425.25,0.0205734,0.952913872898
1724,125.548,1477.24464099,0.0,5,329661,348.8142879009247,4.64757,-0.0710649,435.86,0.0230444,0.953685496002
1727,114.556,1513.09362433,0.0,3,331593,350.94677996635437,4.65502,-0.0589567,444.13,0.0258291,0.95343459025
1731,84.3702,1544.37232312,0.0,4,333663,353.1110563278198,4.62805,-0.062774,452.72,0.0281596,0.966169647872
1735,68.8551,1570.64706598,0.0,4,335693,355.24285888671875,4.61837,-0.0625753,459.05,0.0240309,0.96878230013
1737,75.6519,1603.46876469,0.0,2,337178,357.4148762226105,4.60249,-0.0602948,467.41,0.023726,0.953731212765
1742,461.324,1597.71926419,0.0,5,339612,359.57122254371643,4.6019,-0.0464126,465.51,0.0200745,0.733268648386
1746,194.97,1628.36709059,0.0,4,341835,361.71310687065125,4.5762,-0.0572882,473.65,0.0233012,0.905453726649
1751,152.539,1605.07863554,0.0,5,343658,363.8684434890747,4.56137,-0.0529151,464.5,0.0331461,0.929796740413
1756,174.181,1594.5416846,0.0,5,345508,366.017493724823,4.53336,-0.0568517,461.03,0.0321778,0.944867480546
