TimestepsSoFar,loss_pol_entpen,TimeElapsed,ev_tdlam_before,EpThisIter,EpisodesSoFar,loss_pol_surr,loss_kl,loss_vf_loss,EpRewMean,EpLenMean,loss_ent
262000,0.0,227.2869908809662,0.998725135112,2,262,-0.00670844,0.0246048,0.0100601,46.343468979,1000.0,0.480916
264000,0.0,229.06789875030518,0.988573456183,2,264,-0.0166719,0.0120993,0.0261124,46.399928989,1000.0,0.464949
266000,0.0,230.83318901062012,0.996993883047,2,266,-0.0230377,0.00838294,0.0131998,46.5133731604,1000.0,0.451526
268000,0.0,232.61501383781433,0.998160415213,2,268,-0.017729,0.00978341,0.0104653,46.567697176,1000.0,0.433963
270000,0.0,234.38041424751282,0.997675456107,2,270,-0.0185102,0.0131906,0.0151859,46.6762365918,1000.0,0.391913
272000,0.0,236.14564156532288,0.998433257919,2,272,-0.0148635,0.0237588,0.0147548,46.8574272295,1000.0,0.353721
274000,0.0,237.91128063201904,0.998384052305,2,274,-0.0132667,0.0211344,0.0139635,47.0745191291,1000.0,0.373989
276000,0.0,239.6924877166748,0.998338623787,2,276,-0.0181032,0.0109285,0.0154783,47.1844880935,1000.0,0.394243
278000,0.0,241.45942306518555,0.998664581217,2,278,-0.0149404,0.0150046,0.0140253,47.3763806356,1000.0,0.386247
280000,0.0,243.23953700065613,0.998474935186,2,280,-0.0138043,0.0174183,0.0160303,47.4453591393,1000.0,0.376154
282000,0.0,245.00591468811035,0.999041785893,2,282,-0.0126937,0.0182511,0.00921887,47.6788356574,1000.0,0.384645
284000,0.0,246.7858304977417,0.996278689476,2,284,-0.0167019,0.0108877,0.0127546,47.7583200279,1000.0,0.387144
286000,0.0,248.55263447761536,0.997639683308,2,286,-0.0201013,0.00811423,0.00824334,47.9468723835,1000.0,0.367518
288000,0.0,250.33362865447998,0.99861712975,2,288,-0.0199511,0.0205386,0.00913776,48.2005561557,1000.0,0.382658
290000,0.0,252.1151638031006,0.981663685292,2,290,-0.02346,0.0424527,0.0628111,48.3901603791,1000.0,0.362761
292000,0.0,253.89635109901428,0.984358079731,2,292,-0.00452737,0.0182012,0.0288527,48.4789420902,1000.0,0.369299
294000,0.0,255.66176295280457,0.995776458178,2,294,-0.0130144,0.0119842,0.0169377,48.5564846785,1000.0,0.380462
296000,0.0,257.4741714000702,0.994050733745,2,296,-0.0168564,0.00888809,0.019536,48.7204084232,1000.0,0.368133
299000,0.0,259.24018931388855,0.996011777781,3,299,-0.0200557,0.0119941,0.0213107,48.9752337281,1000.0,0.353889
301000,0.0,261.0520398616791,0.997573378496,2,301,-0.00498206,0.031212,0.0284821,49.0290427438,1000.0,0.33069
303000,0.0,262.81844687461853,0.997871791711,2,303,-0.0158286,0.0151319,0.00996132,49.3332404846,1000.0,0.313872
305000,0.0,264.6003315448761,0.998734630528,2,305,-0.0164088,0.0160371,0.00963387,49.6684386886,1000.0,0.316413
307000,0.0,266.38048362731934,0.998797842418,2,307,-0.0157883,0.0167964,0.00921084,49.9808314956,1000.0,0.315629
309000,0.0,268.1620671749115,0.998617622885,2,309,-0.00309734,0.040647,0.0121523,50.1998253719,1000.0,0.309258
311000,0.0,269.9268443584442,0.999106073927,2,311,-0.0127978,0.00938184,0.0107155,50.3879014169,1000.0,0.292353
313000,0.0,271.67875623703003,0.9343040362,2,313,-0.0186887,0.00982716,0.462462,50.6796360896,1000.0,0.32785
315000,0.0,273.44302201271057,0.978367391974,2,315,-0.0178511,0.00637799,0.0426394,50.8101520505,1000.0,0.315051
317000,0.0,275.2242045402527,0.987502924167,2,317,-0.0203947,0.00845458,0.0681096,50.9485193667,1000.0,0.312514
319000,0.0,277.00546503067017,0.989516207948,2,319,-0.0114242,0.012206,0.0363084,51.0556679023,1000.0,0.288415
321000,0.0,278.7791097164154,0.993584787939,2,321,-0.0136507,0.00722083,0.0122141,51.1692274751,1000.0,0.27308
323000,0.0,280.56044125556946,0.997534012888,2,323,-0.0163579,0.0141057,0.00694051,51.1153566883,1000.0,0.262018
325000,0.0,282.3182489871979,0.995797696058,2,325,-0.00880662,0.0212255,0.0137624,51.0385779111,1000.0,0.228174
327000,0.0,284.0990388393402,0.997258878313,2,327,-0.0248304,0.0116093,0.0113485,50.9038614604,1000.0,0.243537
329000,0.0,285.88147234916687,0.996534663253,2,329,-0.017394,0.0142429,0.0278662,51.1043256095,1000.0,0.230575
331000,0.0,287.64596152305603,0.99597112136,2,331,-0.00445186,0.0762777,0.0273841,51.2007940967,1000.0,0.212355
333000,0.0,289.41231656074524,0.997642473318,2,333,-0.018131,0.0124378,0.0136073,51.2510849575,1000.0,0.208638
335000,0.0,291.1932907104492,0.998424394056,2,335,-0.00206734,0.0266663,0.0111558,51.3263447898,1000.0,0.192569
337000,0.0,292.9581835269928,0.998557580635,2,337,-0.0181937,0.0125841,0.0110841,51.5061183007,1000.0,0.207833
339000,0.0,294.7252185344696,0.996421487536,2,339,-0.0191485,0.0342446,0.0163746,51.5403914254,1000.0,0.202683
342000,0.0,296.4897577762604,0.998286000686,3,342,-0.0115883,0.0310031,0.0157752,51.7720301134,1000.0,0.215418
344000,0.0,298.2707612514496,0.996337349992,2,344,-0.0181167,0.0420093,0.0194111,51.81593782,1000.0,0.186084
346000,0.0,300.03742122650146,0.995657501742,2,346,-0.0214762,0.0100115,0.0142626,51.8940449593,1000.0,0.171828
348000,0.0,301.80244278907776,0.992188293952,2,348,-0.0133274,0.013476,0.0510433,51.8773006243,1000.0,0.170909
350000,0.0,303.5679557323456,0.985262961127,2,350,-0.0207215,0.014807,0.0574021,51.8874644674,1000.0,0.181307
352000,0.0,305.3364472389221,0.996704204939,2,352,-0.0220742,0.0166694,0.0209651,51.9806424508,1000.0,0.159973
354000,0.0,307.0995762348175,0.996246302733,2,354,-0.0195172,0.0211309,0.0167597,52.0177742229,1000.0,0.156296
356000,0.0,308.8805305957794,0.998678406468,2,356,-0.00657251,0.0215573,0.0091226,52.071041108,1000.0,0.169094
358000,0.0,310.64711141586304,0.998708648607,2,358,-0.0159885,0.0196087,0.00949178,52.1242969949,1000.0,0.202443
360000,0.0,312.42714834213257,0.996033898555,2,360,-0.019515,0.013959,0.0119692,52.1951521304,1000.0,0.196791
362000,0.0,314.1933467388153,0.990827279165,2,362,-0.00593639,0.0620504,0.0475049,52.318731205,1000.0,0.181074
364000,0.0,315.9746570587158,0.986629323103,2,364,-0.00614317,0.012174,0.0673075,52.2779080537,1000.0,0.159694
366000,0.0,317.74017786979675,0.993020691909,2,366,-0.00372885,0.0297244,0.034739,52.2222835814,1000.0,0.154013
368000,0.0,319.52141880989075,0.993017865345,2,368,-0.0174882,0.0134161,0.0356099,52.42703746,1000.0,0.1506
370000,0.0,321.28634572029114,0.99364644289,2,370,-0.00733488,0.0163047,0.0178201,52.5785785715,1000.0,0.121725
372000,0.0,323.06841826438904,0.998414274189,2,372,-0.0184018,0.0175769,0.0159305,52.6384014217,1000.0,0.126837
374000,0.0,324.83372139930725,0.997147433693,2,374,-0.0228688,0.0128085,0.032093,52.6571048179,1000.0,0.116835
376000,0.0,326.6150643825531,0.984129460528,2,376,-0.0110273,0.0138695,0.0598448,52.533017923,1000.0,0.147919
378000,0.0,328.38081789016724,0.998659038101,2,378,-0.017319,0.0148812,0.00956758,52.6185706933,1000.0,0.170096
380000,0.0,330.1629066467285,0.991949504241,2,380,-0.00514617,0.0238092,0.0287861,52.7057508234,1000.0,0.186277
382000,0.0,331.934800863266,0.994910131674,2,382,-0.0193493,0.0207448,0.0250523,52.7452401083,1000.0,0.175007
385000,0.0,333.6932010650635,0.995194341056,3,385,-0.0195429,0.0112873,0.059337,52.9484656865,1000.0,0.185587
387000,0.0,335.4586749076843,0.983660047874,2,387,-0.00816246,0.00648442,0.0700579,52.7251441269,1000.0,0.200734
389000,0.0,337.2240092754364,0.991971598938,2,389,-0.0120308,0.019241,0.0166388,52.8051737043,1000.0,0.211161
391000,0.0,338.9964654445648,0.997562750243,2,391,-0.0179304,0.00978265,0.0197384,52.9821286851,1000.0,0.231782
393000,0.0,340.7552421092987,0.996714547276,2,393,-0.00955029,0.0166103,0.0206054,53.0796804804,1000.0,0.24903
395000,0.0,342.52229356765747,0.997264504666,2,395,-0.0176485,0.0116962,0.0174255,53.2840911843,1000.0,0.242503
397000,0.0,344.28674840927124,0.994015861768,2,397,-0.019713,0.0125617,0.0171933,53.4659566889,1000.0,0.23333
399000,0.0,346.1304786205292,0.992815289181,2,399,-0.0122853,0.00573725,0.0340615,53.3813441871,1000.0,0.221886
401000,0.0,347.89723896980286,0.995980050415,2,401,-0.0167817,0.0195465,0.0171176,53.6529950862,1000.0,0.232733
403000,0.0,349.661648273468,0.998770104838,2,403,-0.0166248,0.0191441,0.0136071,53.7855983065,1000.0,0.205062
405000,0.0,351.4273211956024,0.994299630169,2,405,-0.0196424,0.0108866,0.0172894,53.8515833468,1000.0,0.202496
407000,0.0,353.1933982372284,0.99680124782,2,407,-0.00822784,0.0294745,0.0201997,53.8775587431,1000.0,0.215439
409000,0.0,354.9589641094208,0.995456339326,2,409,-0.0184193,0.0108786,0.0144694,54.0055632672,1000.0,0.202773
411000,0.0,356.7395689487457,0.996593288146,2,411,-0.0230016,0.019383,0.0159432,54.0442970188,1000.0,0.205483
413000,0.0,358.5055887699127,0.99666315061,2,413,-0.0243766,0.0124026,0.0192731,53.9485925013,1000.0,0.208628
415000,0.0,360.2706243991852,0.998465716373,2,415,-0.0128534,0.00832894,0.0114054,54.0431980568,1000.0,0.210529
417000,0.0,362.05249190330505,0.998449739185,2,417,-0.0136304,0.020775,0.0134866,54.191426167,1000.0,0.215146
419000,0.0,363.8181800842285,0.998532141792,2,419,-0.011725,0.0513861,0.0120427,54.2979983475,1000.0,0.224947
421000,0.0,365.5786280632019,0.991532609798,2,421,-0.0220948,0.0218815,0.0196223,54.4069580435,1000.0,0.23145
423000,0.0,367.3644721508026,0.997646519216,2,423,-0.016754,0.0103733,0.0115961,54.5192549214,1000.0,0.227993
425000,0.0,369.13054728507996,0.997153135249,2,425,0.00395417,0.0280208,0.0158696,54.6786007971,1000.0,0.203174
428000,0.0,370.89600253105164,0.996710202191,3,428,-0.0240261,0.0128654,0.0256003,54.9378372991,1000.0,0.174173
430000,0.0,372.6616315841675,0.99796833843,2,430,-0.0167594,0.0251275,0.0128121,55.1118599935,1000.0,0.192783
432000,0.0,374.44258213043213,0.998283681809,2,432,-0.0199407,0.0150541,0.0109377,55.1973516365,1000.0,0.17449
434000,0.0,376.20824456214905,0.998853494413,2,434,-0.0179382,0.0136865,0.00987443,55.2654322833,1000.0,0.18067
436000,0.0,377.97383522987366,0.998664060025,2,436,-0.0124658,0.0229174,0.0130542,55.3683180875,1000.0,0.173192
438000,0.0,379.73939752578735,0.999027113954,2,438,-0.0181521,0.0337415,0.0108847,55.4281339101,1000.0,0.172835
440000,0.0,381.52107095718384,0.998635908472,2,440,-0.0152406,0.0213545,0.00752257,55.5581443664,1000.0,0.16851
442000,0.0,383.2863540649414,0.999017488095,2,442,-0.0157242,0.0143666,0.00920352,55.6198110475,1000.0,0.140158
444000,0.0,385.05301690101624,0.998784039286,2,444,-0.0151251,0.0168359,0.00780183,55.6342683893,1000.0,0.106283
446000,0.0,386.81757283210754,0.998151374748,2,446,-0.0214959,0.0343854,0.0118543,55.6500872975,1000.0,0.0950166
448000,0.0,388.5845603942871,0.998976295698,2,448,-0.0181863,0.012131,0.00776097,55.7971400633,1000.0,0.0709382
450000,0.0,390.348769903183,0.998791059013,2,450,-0.017658,0.0122066,0.0100603,55.8769885415,1000.0,0.0625283
452000,0.0,392.1300437450409,0.998345035361,2,452,-0.0182291,0.0154201,0.0144396,55.8782024263,1000.0,0.0380604
