loss_pol_surr,loss_pol_entpen,EpRewMean,EpThisIter,EpLenMean,TimestepsSoFar,loss_kl,loss_ent,TimeElapsed,loss_vf_loss,EpisodesSoFar,ev_tdlam_before
-0.0419012,0.0,1430.99831293,6,404.07,483211,0.0277436,1.23672,533.3124043941498,9.35085,2319,0.995480707381
-0.0380288,0.0,1417.14603155,5,399.65,485371,0.0244338,1.24305,535.395349740982,8.01693,2324,0.995740548242
-0.0222994,0.0,1436.49543056,2,405.51,486862,0.0377544,1.24849,537.5152542591095,450.286,2326,0.710380226374
-0.020878,0.0,1463.62661105,4,414.01,489325,0.0302898,1.25499,539.6249742507935,643.744,2330,0.690452754498
-0.039323,0.0,1463.60858202,5,414.03,491415,0.0222994,1.23915,541.7835469245911,30.2829,2335,0.979418318719
-0.0273418,0.0,1462.17855702,5,413.0,493332,0.0227229,1.2107,543.8819417953491,13.8544,2340,0.98447093647
-0.0362279,0.0,1443.9997684,5,407.51,495453,0.0206531,1.18828,546.0531902313232,10.8093,2345,0.985065286979
-0.0338329,0.0,1426.45822328,6,401.74,497430,0.0220201,1.14126,548.2349791526794,15.5232,2351,0.993343304377
-0.0308204,0.0,1428.59092247,6,401.87,499671,0.0255176,1.16361,550.5624778270721,8.36458,2357,0.995087248739
-0.0321622,0.0,1425.47970756,6,400.26,501489,0.0293249,1.17499,552.8511810302734,13.5371,2363,0.994390611071
-0.0222222,0.0,1420.3122111,5,398.21,503511,0.0236945,1.17715,555.1170217990875,71.0476,2368,0.975848739967
-0.0323436,0.0,1425.69144945,5,399.33,505486,0.0215821,1.17003,557.3977520465851,13.6044,2373,0.994316737633
-0.0381219,0.0,1438.64204442,5,403.08,507584,0.0180952,1.15572,559.7256832122803,33.0565,2378,0.98742324207
-0.0365406,0.0,1464.31948134,5,409.8,509722,0.0207454,1.14026,562.1862757205963,11.6396,2383,0.989844969474
-0.0377718,0.0,1436.16916495,7,401.54,511994,0.0188204,1.14668,564.6568336486816,22.9329,2390,0.989203278907
-0.0308863,0.0,1416.97308877,6,396.28,513927,0.025502,1.12919,567.0642549991608,64.3582,2396,0.979878567159
-0.0350366,0.0,1420.82352253,5,397.15,515927,0.0292212,1.13932,569.4686951637268,10.2033,2401,0.994535256177
-0.0227473,0.0,1411.08211949,6,394.51,518009,0.0234383,1.15206,571.9305229187012,51.751,2407,0.980901801959
-0.0324175,0.0,1405.59327942,5,392.86,520011,0.0232593,1.11744,574.4393570423126,11.9577,2412,0.986771882512
-0.0364344,0.0,1408.5770923,6,393.6,522230,0.0190331,1.12935,577.0099647045135,15.6495,2418,0.992778323125
