EpLenMean,loss_vf_loss,loss_kl,ev_tdlam_before,loss_ent,TimestepsSoFar,loss_pol_surr,EpRewMean,EpisodesSoFar,TimeElapsed,EpThisIter,loss_pol_entpen
616.59,4016.1,0.00951744,0.551600962877,-0.40187,296771,-0.0107603,5739.40261498,4754,258.96334052085876,2,0.0
612.75,6238.78,0.0250804,0.367561101913,-0.385169,298812,-0.00907557,5703.77014054,4757,260.73447465896606,3,0.0
613.07,4071.89,0.0110099,0.468786120415,-0.397047,300734,-0.0120012,5706.84280074,4759,262.5000967979431,2,0.0
613.07,5591.68,0.0280904,-0.0778158903122,-0.397192,302734,-0.00664575,5706.85402393,4761,264.26540541648865,2,0.0
613.07,5590.53,0.00927532,-0.00323879718781,-0.40019,304734,-0.00500771,5706.9082566,4763,266.0311830043793,2,0.0
613.07,5619.62,0.0190913,-0.000578284263611,-0.392693,306734,-0.0028328,5706.99044209,4765,267.8126645088196,2,0.0
618.72,5645.36,0.0191749,-0.0351669788361,-0.391188,308734,-0.00704575,5759.63201647,4767,269.5779118537903,2,0.0
610.31,2619.59,0.018187,0.638285011053,-0.392896,311075,-0.0157507,5681.32767474,4772,271.37502360343933,5,0.0
618.08,5737.19,0.0177917,-0.0877456665039,-0.396044,313075,-0.00999391,5753.82017827,4774,273.1403338909149,2,0.0
618.08,5724.78,0.0147295,-0.0539218187332,-0.40579,315075,-0.00700241,5753.8944683,4776,274.9066700935364,2,0.0
626.52,5710.26,0.0209426,-0.00840854644775,-0.384252,317075,-0.00592214,5832.64356014,4778,276.68761682510376,2,0.0
640.25,5383.95,0.0209141,0.00312662124634,-0.388067,319075,-0.00511836,5960.67854608,4780,278.45331621170044,2,0.0
649.53,7201.81,0.0450709,0.368435382843,-0.402911,321231,0.00328865,6047.31167385,4784,280.23434710502625,4,0.0
645.47,6166.26,0.0121772,0.58899897337,-0.392895,323045,-0.0142788,6009.59264146,4788,281.99967885017395,4,0.0
658.92,4520.29,0.0281486,0.116217076778,-0.392055,325045,-0.0160962,6134.9136551,4790,283.7652986049652,2,0.0
659.11,6352.24,0.0122796,0.414176046848,-0.395334,327640,-0.0126167,6136.85983173,4794,285.5465443134308,4,0.0
662.53,6021.43,0.0177127,-0.192674994469,-0.391282,329640,-0.00931617,6168.83526688,4796,287.32778906822205,2,0.0
