TimestepsSoFar,EpThisIter,loss_ent,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,EpRewMean,loss_kl,EpisodesSoFar,loss_vf_loss,TimeElapsed,EpLenMean
397062,2,-0.430833,0.0,0.515082746744,-0.00738246,7219.98040711,0.0210631,4881,4122.83,340.7042167186737,775.07
398848,2,-0.416189,0.0,0.516958922148,-0.00997978,7260.99258115,0.00989924,4883,3452.55,342.45300483703613,779.47
401405,4,-0.441214,0.0,0.356535077095,-0.0158878,7315.74331251,0.00935497,4887,9440.86,344.2030007839203,785.34
402593,2,-0.452086,0.0,0.474450051785,-0.0100179,7240.09803187,0.0207454,4889,4151.42,345.9419758319855,777.22
404593,2,-0.44869,0.0,0.0102625489235,-0.009317,7289.84257534,0.0144081,4891,5721.33,347.7028863430023,782.55
406585,3,-0.447584,0.0,0.370363473892,-0.0104852,7294.02142265,0.0154313,4894,6201.16,349.452880859375,783.0
409585,3,-0.439878,0.0,-0.027755856514,-0.00816767,7359.06510258,0.0185102,4897,8501.41,351.20287704467773,789.96
411250,2,-0.463997,0.0,0.362760961056,-0.00591341,7370.97418042,0.0268969,4899,5051.04,352.9528703689575,791.23
413250,2,-0.462357,0.0,0.359081029892,-0.0120524,7439.56159174,0.0145668,4901,5047.4,354.7028660774231,798.57
414832,2,-0.448874,0.0,0.323997199535,-0.0109415,7400.76416898,0.0226267,4903,3685.02,356.45285964012146,794.39
416832,2,-0.445475,0.0,-0.0174201726913,-0.0089626,7400.97341615,0.0127103,4905,5822.15,358.2028548717499,794.39
419305,3,-0.462488,0.0,0.373561024666,-0.00641682,7352.11241234,0.016248,4908,6231.13,359.95455861091614,789.12
421303,3,-0.465108,0.0,0.609379410744,-0.0110519,7258.8929365,0.00659977,4911,3355.17,361.70324897766113,779.1
423011,5,-0.465672,0.0,0.765735462308,-0.0131611,7169.3191032,0.0141348,4916,2910.5,363.453400850296,769.47
425011,2,-0.492608,0.0,0.0153914093971,-0.00811005,7169.47269151,0.0133615,4918,5774.3,365.2032060623169,769.47
427438,3,-0.494643,0.0,0.452506124973,-0.0100662,7271.69174056,0.00903152,4921,6356.47,366.95498633384705,780.41
429635,3,-0.501081,0.0,0.493870079517,-0.0153135,7322.0247626,0.00979578,4924,6247.85,368.68736696243286,785.79
431635,2,-0.510508,0.0,-0.0489807128906,-0.0110561,7322.16291295,0.0157533,4926,5842.93,370.43736004829407,785.79
433190,2,-0.51768,0.0,0.384714603424,-0.00966199,7280.79752013,0.0165317,4928,4713.11,372.1873552799225,781.34
436190,3,-0.51704,0.0,-0.0106308460236,-0.00249984,7280.94943869,0.0265211,4931,8178.44,373.92172408103943,781.34
438190,2,-0.523683,0.0,-0.0493574142456,0.00279447,7298.28439626,0.0448115,4933,5849.01,375.67258882522583,783.19
440190,2,-0.526462,0.0,0.00497657060623,-0.00645149,7375.35585014,0.00758381,4935,5423.05,377.4152045249939,791.44
442190,2,-0.516826,0.0,-0.0255708694458,-0.0066774,7375.52312827,0.0168808,4937,5821.72,379.1721272468567,791.44
444348,5,-0.54244,0.0,0.582104831934,-0.0076794,7110.83305267,0.0109822,4942,4665.14,380.9219083786011,763.02
445481,3,-0.571502,0.0,0.712368935347,-0.00264926,7014.86460722,0.0106206,4945,4255.23,382.6719033718109,752.71
447583,4,-0.570362,0.0,0.51487916708,-0.00779271,6851.39417568,0.00623353,4949,8146.94,384.40726685523987,735.13
449930,3,-0.573942,0.0,0.446326613426,-0.0112697,6790.92533845,0.0097874,4952,6461.53,386.1562304496765,728.6
