loss_kl,loss_pol_surr,TimeElapsed,ev_tdlam_before,EpThisIter,EpisodesSoFar,EpLenMean,loss_ent,TimestepsSoFar,loss_pol_entpen,EpRewMean,loss_vf_loss
0.0188833,-0.00752991,204.60917687416077,0.736867696047,5,4735,605.39,-0.413521,233422,0.0,5634.77033829,4457.13
0.0222519,-0.011778,206.37479615211487,0.781494885683,4,4739,617.55,-0.408591,235294,0.0,5747.92511559,3552.02
0.0116128,-0.0160215,208.17166566848755,0.696369022131,3,4742,623.05,-0.416815,237275,0.0,5799.06143574,3535.36
0.0223303,-0.00389933,209.9372854232788,0.470537185669,3,4745,623.61,-0.426006,239137,0.0,5804.30498438,4985.06
0.022364,-0.00974027,211.71853017807007,0.692550629377,6,4751,610.35,-0.446094,241647,0.0,5680.80985419,6578.75
0.0151054,-0.00817728,213.48414993286133,-0.0611567497253,2,4753,623.06,-0.441149,243647,0.0,5799.18183681,4802.81
0.0154085,-0.0102154,215.28101992607117,0.758297711611,6,4759,614.88,-0.449039,245755,0.0,5723.07228106,4333.32
0.0168199,-0.0132243,217.0466389656067,0.6825260818,6,4765,582.31,-0.496454,247369,0.0,5419.8646219,7462.62
0.0138657,-0.0121511,218.8278844356537,0.750980660319,4,4769,578.7,-0.506937,249574,0.0,5386.25843427,3790.13
0.0280156,-0.00660637,220.60912823677063,0.308924138546,2,4771,584.67,-0.526072,251292,0.0,5441.85512956,4001.88
0.0113734,-0.00268801,222.38635516166687,0.36008733511,3,4774,594.2,-0.515587,253580,0.0,5530.68171905,5683.96
0.0235756,-0.00766716,224.17174911499023,-0.000583648681641,2,4776,603.82,-0.514137,255580,0.0,5620.31460312,4877.99
0.0315813,0.00221018,225.94427847862244,-0.103495359421,2,4778,613.74,-0.507843,257580,0.0,5712.73539688,5150.82
0.0240585,-0.00496409,227.71919989585876,0.654457867146,4,4782,606.95,-0.498552,259371,0.0,5649.45892812,3927.44
0.0132332,-0.0136216,229.49759483337402,0.50264519453,2,4784,606.14,-0.500338,261290,0.0,5641.86218288,3686.47
