loss_ent,ev_tdlam_before,EpThisIter,loss_pol_entpen,TimeElapsed,loss_vf_loss,loss_kl,EpisodesSoFar,EpLenMean,loss_pol_surr,TimestepsSoFar,EpRewMean
-0.277717,0.351032316685,3,0.0,173.73433327674866,5224.67,0.0183175,4359,661.4,-0.00765511,198465,6159.85397268
-0.272458,-0.079251408577,2,0.0,175.49995255470276,4784.58,0.0262736,4361,674.64,-0.00783,200465,6283.1710556
-0.271977,0.33818757534,2,0.0,177.2811975479126,3320.58,0.0480187,4363,676.64,-0.00166373,201975,6301.78626309
-0.266141,0.25928324461,3,0.0,179.0468168258667,5623.09,0.0135167,4366,691.23,-0.0119981,204352,6437.72676442
-0.262896,-0.154576539993,2,0.0,180.82806301116943,4782.76,0.00951236,4368,701.35,-0.00521089,206352,6532.06212899
-0.249891,0.233662724495,3,0.0,182.59368085861206,4885.14,0.0061523,4371,699.35,-0.0083525,208364,6513.43712497
-0.249248,0.430043816566,3,0.0,184.37492728233337,3751.24,0.0153244,4374,702.92,-0.0127083,210822,6546.72145473
-0.247954,-0.119897484779,2,0.0,186.14054536819458,4585.95,0.0128324,4376,719.21,-0.00524471,212822,6698.5750518
-0.232541,0.16890001297,2,0.0,187.92200207710266,4162.63,0.0109509,4378,721.74,-0.00802336,214822,6722.1276951
-0.246847,0.407763123512,3,0.0,189.7188684940338,4790.78,0.00943631,4381,725.29,-0.00885779,216486,6755.17711444
-0.268481,-0.0181078910828,2,0.0,191.50011444091797,4747.46,0.00526428,4383,741.77,-0.00668143,218486,6908.74879285
-0.285823,0.338679790497,3,0.0,193.25010752677917,5684.24,0.00856547,4386,744.84,-0.00495279,220910,6937.34826237
-0.280703,0.628041595221,4,0.0,195.04028034210205,4442.61,0.00960527,4390,738.37,-0.0110934,222945,6877.01983753
-0.283457,0.476042151451,2,0.0,196.82894778251648,3402.08,0.0184652,4392,738.92,-0.0065336,224397,6882.15753033
-0.271519,0.288548231125,3,0.0,198.59621930122375,5888.72,0.0225752,4395,746.24,-0.0105717,226841,6950.34209455
-0.280213,0.376930475235,3,0.0,200.3594937324524,5892.68,0.00718214,4398,753.67,-0.00850969,229147,7019.61050404
-0.302096,0.491949975491,3,0.0,202.12567162513733,4370.31,0.0129051,4401,746.39,-0.0104737,230835,6951.75420235
-0.313741,0.144140124321,3,0.0,203.9223358631134,6332.02,0.0288148,4404,744.56,-0.00346576,232885,6934.74760863
-0.306657,0.30368578434,3,0.0,205.7030930519104,4265.4,0.0596369,4407,746.32,0.0121411,235396,6951.15220656
-0.320518,-0.203332543373,2,0.0,207.46871089935303,4911.76,0.00818497,4409,746.32,-0.00425859,237396,6951.1424391
-0.31037,-0.00513565540314,2,0.0,209.23433136940002,4853.87,0.00624017,4411,746.32,-0.00545222,239396,6951.12175513
-0.312374,0.640951573849,2,0.0,211.0155749320984,3178.85,0.0119121,4413,750.42,-0.00810261,241078,6989.35756367
-0.314339,-0.0660042762756,2,0.0,212.78119540214539,5058.52,0.0153086,4415,751.65,-0.00734958,243078,7000.90622806
-0.324412,-0.000520467758179,2,0.0,214.5468146800995,4957.87,0.0166169,4417,753.88,-0.0123936,245078,7021.83741965
-0.317168,0.145856916904,3,0.0,216.31243705749512,6388.79,0.0154992,4420,747.39,-0.00338234,247429,6961.52639124
-0.324054,0.204984903336,2,0.0,218.07805347442627,2996.58,0.0213096,4422,760.75,-0.00222558,249422,7086.10535588
-0.308004,0.382957339287,3,0.0,219.84367322921753,5105.19,0.0142033,4425,765.11,-0.00981299,251873,7126.9075378
-0.305032,0.694405734539,3,0.0,221.6249177455902,2595.51,0.0106497,4428,756.48,-0.0178826,253764,7046.65773317
-0.312523,0.693851470947,5,0.0,223.39467597007751,4588.52,0.0164069,4433,748.06,-0.00874882,255652,6968.3730334
