loss_ent,EpisodesSoFar,TimeElapsed,EpThisIter,loss_vf_loss,ev_tdlam_before,loss_kl,EpLenMean,loss_pol_surr,EpRewMean,TimestepsSoFar,loss_pol_entpen
5.79022,1528,225.92973804473877,8,70.1843,0.973843308166,0.0197173,233.21,-0.0597988,717.406217215,225136,0.0
5.77926,1535,227.97573709487915,7,74.5321,0.967055119574,0.0201114,235.49,-0.0608193,730.711191255,227136,0.0
5.78476,1543,230.0204315185547,8,84.52,0.963955756277,0.0192223,239.57,-0.0582475,746.355550815,229328,0.0
5.78421,1550,232.05536127090454,7,97.6581,0.966622594744,0.020623,245.83,-0.0575956,768.143627232,231376,0.0
5.76739,1556,234.0980498790741,6,94.502,0.960977874696,0.0288525,253.69,-0.0548603,797.688311442,233191,0.0
5.73583,1564,236.14328956604004,8,73.5159,0.974190274253,0.0205151,258.82,-0.0634789,822.866783436,235439,0.0
5.70688,1571,238.179044008255,7,93.6982,0.940220251679,0.0206662,260.04,-0.0593246,820.975449169,237304,0.0
5.69041,1578,240.22577452659607,7,82.3913,0.971161670983,0.0188608,264.58,-0.0614021,839.660475548,239307,0.0
5.67605,1585,242.28807640075684,7,87.2209,0.972973147407,0.0197017,270.89,-0.0616981,867.292468071,241599,0.0
5.66035,1593,244.33531022071838,8,91.9082,0.97352617979,0.0199142,272.29,-0.0604167,874.240992984,243553,0.0
5.63904,1601,246.38196921348572,8,70.8078,0.980217818171,0.021391,271.58,-0.0617865,871.257420076,245557,0.0
5.60241,1609,248.41303157806396,8,73.7481,0.971211746335,0.0223724,275.76,-0.063669,890.928114631,247771,0.0
5.56094,1617,250.45997500419617,8,116.66,0.964986264706,0.0265828,274.67,-0.0632991,895.032023616,249773,0.0
5.55612,1625,252.4930100440979,8,72.0633,0.974951028824,0.0234165,272.07,-0.066582,883.968553311,251739,0.0
5.51156,1633,254.54180121421814,8,124.853,0.948932107538,0.0189703,272.82,-0.0607122,882.534705325,253856,0.0
5.49905,1640,256.57822823524475,7,89.5618,0.965694107115,0.0204288,275.77,-0.0654758,894.636151747,255981,0.0
5.50012,1645,258.6178777217865,5,75.7245,0.96328042075,0.021303,278.79,-0.0608389,905.087380359,257856,0.0
5.4943,1651,260.6502275466919,6,91.3539,0.975056467578,0.0192651,281.97,-0.0614935,921.408259193,259812,0.0
5.47943,1659,262.68599939346313,8,55.5133,0.974682515487,0.0209054,280.55,-0.0626518,916.38181825,262065,0.0
5.47963,1665,264.7339518070221,6,122.472,0.964941285551,0.0222506,281.6,-0.0615833,927.632231574,264129,0.0
5.44818,1671,266.781081199646,6,73.6525,0.976739987731,0.0255214,286.16,-0.0646132,948.997733316,265920,0.0
5.44011,1677,268.81944251060486,6,109.617,0.956742275506,0.0200954,288.94,-0.0573477,960.599665078,267886,0.0
5.43137,1682,270.8349642753601,5,67.4011,0.967833831906,0.0207385,295.4,-0.0583967,988.891956506,270109,0.0
5.40179,1688,272.88165974617004,6,123.46,0.961723193526,0.0215501,296.79,-0.0619901,996.912544044,272072,0.0
5.38428,1694,274.9596838951111,6,79.5038,0.977378036827,0.0216084,304.31,-0.0609632,1029.5853071,274211,0.0
5.35474,1701,276.9911103248596,7,115.88,0.970975352451,0.0210526,306.82,-0.0650393,1042.10069466,276239,0.0
5.34868,1706,279.03876280784607,5,85.3137,0.973962156102,0.0177335,312.09,-0.0578433,1068.86849725,278266,0.0
5.32864,1713,281.0728597640991,7,107.471,0.963100526482,0.0211203,319.28,-0.0588747,1098.02117373,280561,0.0
5.31705,1717,283.10927271842957,4,101.48,0.971589120105,0.0200299,325.79,-0.0573348,1125.14692524,282352,0.0
5.31651,1722,285.1408088207245,5,98.7898,0.966652952135,0.0231309,333.88,-0.0665236,1163.54032765,284433,0.0
5.33324,1728,287.17854595184326,6,104.707,0.97490279749,0.0210547,336.17,-0.0614959,1172.56253174,286340,0.0
5.32231,1734,289.21053171157837,6,74.1001,0.976806323975,0.0223031,344.45,-0.0595771,1206.81162523,288470,0.0
5.29997,1739,291.2573118209839,5,71.9253,0.98031135276,0.0213106,350.58,-0.0628912,1231.70783346,290791,0.0
5.29597,1746,293.3044230937958,7,83.3159,0.976562289521,0.0214187,347.0,-0.0659864,1221.83015415,292861,0.0
5.31053,1751,295.32223773002625,5,67.0981,0.97528247349,0.0258816,350.86,-0.0650002,1240.08125034,294898,0.0
5.29436,1755,297.3589301109314,4,91.2912,0.969874069095,0.0238829,359.32,-0.0590745,1277.03498446,296804,0.0
5.30519,1760,299.38987970352173,5,119.759,0.959767244756,0.0225845,363.7,-0.061383,1292.7491975,298791,0.0
5.28439,1766,301.42197132110596,6,92.0505,0.9714392405,0.0233396,362.06,-0.0634359,1284.72975891,300682,0.0
5.19605,1771,303.4954717159271,5,81.5691,0.977464951575,0.0222776,371.64,-0.0626007,1325.22347679,303084,0.0
5.16237,1775,305.5153865814209,4,118.357,0.96792043373,0.0249717,380.07,-0.0612572,1360.75476673,304960,0.0
5.13963,1779,307.5741174221039,4,86.9178,0.973178265616,0.0236805,378.37,-0.059367,1353.71285392,306798,0.0
5.10103,1783,309.6012842655182,4,120.166,0.958409309387,0.0254021,386.7,-0.0676265,1389.00164096,309068,0.0
5.08545,1787,311.63165187835693,4,95.6518,0.941010903567,0.0306365,389.57,-0.0673825,1395.41145202,310638,0.0
5.05772,1791,313.67860770225525,4,63.3451,0.982547374442,0.0241265,400.08,-0.059568,1439.30766451,313165,0.0
5.05662,1797,315.72556829452515,6,164.085,0.954577099532,0.0208152,403.42,-0.0609286,1452.6448415,315292,0.0
