ev_tdlam_before,EpisodesSoFar,loss_ent,loss_pol_entpen,EpLenMean,TimestepsSoFar,loss_pol_surr,EpRewMean,EpThisIter,loss_kl,TimeElapsed,loss_vf_loss
0.86948813498,1182,0.771959,0.0,947.32,403435,-0.0158196,947.32,5,0.0132666,309.4847459793091,25.501
0.70665794611,1184,0.784733,0.0,947.32,405435,-0.0088577,947.32,2,0.00995107,311.04758739471436,38.0867
-0.0169289112091,1186,0.812655,0.0,950.52,407435,-0.00776312,950.52,2,0.0101904,312.625723361969,72.357
-0.0123109817505,1188,0.816091,0.0,950.52,409435,-0.00567276,950.52,2,0.00535202,314.19644498825073,71.6588
-0.00728750228882,1190,0.816124,0.0,950.52,411435,-0.00483501,950.52,2,0.00436437,315.7658987045288,71.1212
-0.00253808498383,1192,0.81493,0.0,950.52,413435,-0.00671227,950.52,2,0.0119597,317.3291120529175,70.7296
0.000290274620056,1194,0.828319,0.0,950.52,415435,-0.0110442,950.52,2,0.00959893,318.89122891426086,69.9162
0.00108563899994,1196,0.834083,0.0,950.52,417435,-0.00685296,950.52,2,0.00729768,320.43915128707886,69.2923
0.0402241945267,1198,0.835054,0.0,950.52,419435,-0.0031971,950.52,2,0.00534954,322.0162389278412,64.339
-0.0144320726395,1200,0.85083,0.0,950.52,421435,-0.00938298,950.52,2,0.0159676,323.5782513618469,70.0358
0.009830057621,1202,0.86758,0.0,950.52,423435,-0.00722181,950.52,2,0.00593314,325.1416141986847,62.2231
0.0377792716026,1204,0.881596,0.0,950.52,425435,-0.00580491,950.52,2,0.00411234,326.7202739715576,68.2125
-0.0488837957382,1206,0.893731,0.0,950.52,427435,-0.00470967,950.52,2,0.00443705,328.2973756790161,68.5438
-0.000417113304138,1208,0.865307,0.0,950.52,429435,-0.00602601,950.52,2,0.00674325,329.87635040283203,67.0956
-0.00483798980713,1210,0.857329,0.0,950.52,431435,-0.00427447,950.52,2,0.0042573,331.4381592273712,68.7158
-0.00169014930725,1212,0.860002,0.0,950.52,433435,-0.00676678,950.52,2,0.0059294,333.0155727863312,67.5635
0.50776129961,1215,0.856878,0.0,951.91,436143,-0.00706871,951.91,3,0.00852782,334.6095287799835,50.2675
-0.0177764892578,1217,0.858457,0.0,960.29,438143,-0.00761849,960.29,2,0.00846522,336.17209029197693,66.8811
0.0215974450111,1219,0.846653,0.0,962.81,440143,-0.0110059,962.81,2,0.00906384,337.76659965515137,64.7642
-0.00238156318665,1221,0.846346,0.0,962.81,442143,-0.00701146,962.81,2,0.00868353,339.3283259868622,68.0716
-0.0110839605331,1223,0.855636,0.0,962.81,444143,-0.00788141,962.81,2,0.00787441,340.8905940055847,54.667
