loss_kl,TimeElapsed,ev_tdlam_before,loss_ent,EpisodesSoFar,loss_pol_surr,EpRewMean,loss_vf_loss,EpLenMean,EpThisIter,TimestepsSoFar,loss_pol_entpen
0.0141965,357.139151096344,0.962247174233,1.83587,1886,-0.0170826,2008.39247761,176.965,551.23,5,325587,0.0
0.0208287,359.3122777938843,0.987737820484,1.80665,1889,-0.0311313,2025.85995857,18.5015,555.67,3,327312,0.0
0.0232815,361.5636796951294,0.991199852899,1.73888,1893,-0.039365,2027.88759542,26.3604,556.01,4,329226,0.0
0.0178791,363.78258061408997,0.995296258479,1.72461,1897,-0.027629,2048.34968271,11.7205,561.45,4,331599,0.0
0.0193542,366.04547810554504,0.994657929987,1.70095,1902,-0.0293921,2030.89714518,18.1762,556.31,5,333491,0.0
0.0153961,368.33910369873047,0.995516800322,1.69206,1905,-0.0298925,2043.77116553,9.82728,559.14,3,335445,0.0
0.0202927,370.72423458099365,0.993873298168,1.69085,1909,-0.0278403,2035.6050346,11.3287,556.53,4,337715,0.0
0.0208219,373.1552879810333,0.996841511689,1.69163,1914,-0.034596,2006.45741296,7.40047,548.28,5,339576,0.0
0.0132756,375.5626554489136,0.995985004585,1.70814,1917,-0.0330824,2011.35344777,8.85733,549.14,3,341642,0.0
0.012644,377.9831795692444,0.985878510401,1.69347,1920,-0.0257643,2035.04936972,4.35296,555.73,3,343502,0.0
0.0154362,380.4621260166168,0.993319261819,1.68214,1924,-0.028762,2059.43918764,13.7111,561.8,4,345928,0.0
0.0196613,383.02298521995544,0.997257619631,1.66788,1927,-0.0297598,2057.06100104,7.35967,560.8,3,347579,0.0
0.025622,385.5769066810608,0.994761992246,1.6328,1931,-0.0200064,2046.05888979,6.94694,556.62,4,349993,0.0
0.0356222,388.1010355949402,0.859937593341,1.62793,1934,-0.0192226,2064.22084101,497.811,561.58,3,351980,0.0
0.0334087,390.1831212043762,0.288378715515,1.64799,1936,-0.0182452,2089.67773623,596.74,568.87,2,353980,0.0
0.0180726,392.28055930137634,0.912993878126,1.65578,1938,-0.0324581,2101.74864502,21.6443,572.1,2,355500,0.0
0.0199754,394.3776025772095,0.110198020935,1.69784,1940,-0.0202556,2138.6161817,1006.88,582.66,2,357500,0.0
0.0163929,396.4604604244232,0.875799901783,1.67934,1943,-0.0217927,2178.92507747,476.22,594.32,3,360230,0.0
0.0367161,398.5301206111908,0.817289635539,1.64987,1945,-0.0231664,2195.69930998,486.027,599.23,2,361784,0.0
0.0167753,400.6081302165985,0.99369878415,1.63649,1949,-0.0356753,2194.78786497,9.60978,598.86,4,364362,0.0
0.0180278,402.7171320915222,0.412653386593,1.6498,1951,-0.0237208,2230.80745071,495.221,609.6,2,366362,0.0
0.0253382,404.84225511550903,0.762852117419,1.66947,1953,-0.0194575,2254.42494534,477.567,616.5,2,368242,0.0
0.0221263,406.9220175743103,0.968137785792,1.65878,1955,-0.0296671,2291.13651313,25.8583,626.55,2,370091,0.0
0.0282573,408.98351788520813,0.647470831871,1.66997,1958,-0.0235833,2308.2904002,801.85,631.83,3,372533,0.0
0.0290662,411.08641052246094,0.726892650127,1.71113,1960,-0.0200301,2337.08732016,476.281,640.11,2,374391,0.0
0.0203917,413.18669629096985,0.750642955303,1.7681,1962,-0.017708,2353.27549534,326.775,645.33,2,376108,0.0
0.0152053,415.37456250190735,0.216373980045,1.76775,1964,-0.019787,2383.67811484,938.453,654.51,2,378108,0.0
0.0215201,417.5144500732422,0.865015029907,1.78956,1967,-0.0136213,2427.41471816,357.958,667.09,3,380626,0.0
0.0179983,419.73495078086853,0.749300390482,1.80585,1969,-0.0199434,2429.81286388,323.791,667.84,2,382154,0.0
0.0143789,422.0006990432739,0.601649463177,1.80653,1972,-0.0228384,2451.85382181,769.62,674.83,3,384311,0.0
0.0228736,424.2942547798157,0.869993820786,1.804,1974,-0.0190173,2481.37735218,186.172,682.95,2,386080,0.0
0.0253071,426.60784006118774,0.797901630402,1.78841,1977,-0.0276865,2511.19959351,364.896,692.08,3,388683,0.0
0.0218874,428.9202709197998,0.846413627267,1.79239,1980,-0.0292835,2500.27253309,468.856,690.1,3,390972,0.0
0.0161413,431.2987141609192,0.80376842618,1.80978,1983,-0.0218157,2482.61287594,462.908,685.83,3,392601,0.0
0.0214597,433.7273061275482,0.1687759161,1.85123,1985,-0.0175119,2505.03979401,900.44,693.11,2,394601,0.0
0.0307014,436.16177225112915,0.593453228474,1.85697,1988,-0.0222749,2545.80418018,878.568,705.17,3,397300,0.0
0.0234872,438.67968249320984,0.128948628902,1.87277,1990,-0.021453,2576.85443905,892.906,714.47,2,399300,0.0
0.0224223,441.17905712127686,0.909884281456,1.86896,1994,-0.0315151,2577.36557209,149.638,716.0,4,401391,0.0
