TimeElapsed,loss_pol_entpen,EpLenMean,loss_kl,EpThisIter,TimestepsSoFar,EpisodesSoFar,loss_vf_loss,loss_pol_surr,EpRewMean,ev_tdlam_before,loss_ent
232.9573791027069,0.0,994.96,0.00501669,2,296453,1021,68.6473,-0.00419989,994.96,-0.00885212421417,0.986349
234.55112504959106,0.0,994.96,0.00561934,2,298453,1023,68.579,-0.00553792,994.96,0.000172913074493,0.982802
236.14487028121948,0.0,994.96,0.00607896,2,300453,1025,66.8909,-0.00413214,994.96,0.00115418434143,0.985678
237.73861575126648,0.0,994.96,0.00737869,2,302453,1027,67.1942,-0.00612409,994.96,-0.000921726226807,0.977935
239.3792359828949,0.0,994.96,0.00679223,2,304453,1029,67.4586,-0.00393488,994.96,-0.0120959281921,0.976967
240.97298049926758,0.0,994.96,0.00270688,2,306453,1031,67.5849,-0.00520697,994.96,-0.0224531888962,0.972084
242.58235001564026,0.0,994.96,0.00633038,2,308453,1033,67.9106,-0.00611384,994.96,-0.00589621067047,0.994329
244.17609667778015,0.0,994.96,0.00731727,2,310453,1035,68.0565,-0.00500474,994.96,-1.72853469849e-05,1.00035
245.78546571731567,0.0,994.96,0.00609734,2,312453,1037,68.1024,-0.00458477,994.96,-0.000146746635437,0.998044
247.3891317844391,0.0,994.96,0.00510985,2,314453,1039,68.2057,-0.00589616,994.96,6.15119934082e-05,0.974684
248.9966425895691,0.0,994.96,0.0118765,2,316453,1041,68.2915,-0.00434195,994.96,-0.000287294387817,0.954677
250.59466528892517,0.0,994.96,0.0019331,3,319453,1044,94.9963,-0.00365802,994.96,-0.000121235847473,0.957621
252.20495128631592,0.0,994.96,0.0082464,2,321453,1046,67.8128,-0.00526716,994.96,3.01599502563e-05,0.948828
253.80147337913513,0.0,994.96,0.00275984,2,323453,1048,67.8505,-0.00285989,994.96,0.000576436519623,0.950363
255.39521837234497,0.0,994.96,0.00584149,2,325453,1050,68.0284,-0.0054958,994.96,0.000398814678192,0.952205
257.0045874118805,0.0,994.96,0.00701848,2,327453,1052,67.7202,-0.00936052,994.96,-0.00748610496521,0.951273
258.5983340740204,0.0,994.96,0.00651872,2,329453,1054,68.1087,-0.00532238,994.96,-0.00462925434113,0.959898
260.2077043056488,0.0,994.96,0.0114868,2,331453,1056,67.839,-0.00407669,994.96,-0.00177323818207,0.967547
261.8014476299286,0.0,994.96,0.00844897,2,333453,1058,64.7443,-0.00740545,994.96,8.20755958557e-05,0.94813
263.4108190536499,0.0,994.96,0.0105244,2,335453,1060,68.3707,-0.0066504,994.96,-0.00864267349243,0.948145
265.0045635700226,0.0,994.96,0.00533759,2,337453,1062,68.4221,-0.0054702,994.96,-0.000158548355103,0.940568
266.6920599937439,0.0,994.96,0.00560087,2,339453,1064,68.2667,-0.00471137,994.96,-0.000768184661865,0.951412
268.28580498695374,0.0,994.96,0.0129771,2,341453,1066,68.2368,-0.00727195,994.96,-0.0081787109375,0.961107
269.8795499801636,0.0,994.96,0.0172463,2,343453,1068,67.712,-0.00919672,994.96,0.00200527906418,0.962883
271.48165369033813,0.0,994.96,0.00643642,2,345453,1070,68.4486,-0.00838,994.96,-0.00370275974274,0.945532
273.07476449012756,0.0,994.96,0.005899,2,347453,1072,68.4247,-0.00536205,994.96,-0.00195014476776,0.965473
274.6801791191101,0.0,994.96,0.0105376,2,349453,1074,68.4737,-0.00641836,994.96,-0.000731945037842,0.965274
276.28563499450684,0.0,994.96,0.00837874,2,351453,1076,68.4812,-0.00854774,994.96,-0.00013267993927,0.951304
277.89500427246094,0.0,994.96,0.0102726,2,353453,1078,68.4852,-0.00517383,994.96,-0.000446438789368,0.946293
279.48334312438965,0.0,994.96,0.00774628,2,355453,1080,68.297,-0.00432157,994.96,-0.000648856163025,0.975601
281.0984456539154,0.0,994.96,0.0104802,2,357453,1082,68.6014,-0.00604556,994.96,-0.000195145606995,0.988058
282.70781540870667,0.0,994.96,0.00384968,2,359453,1084,68.7761,-0.00593915,994.96,-0.000840544700623,0.985733
284.3253319263458,0.0,994.96,0.00629757,3,362453,1087,84.0029,-0.0045093,994.96,0.00204032659531,0.987771
285.92680859565735,0.0,994.96,0.0058323,2,364453,1089,68.2198,-0.00289916,994.96,-0.00807964801788,0.974085
287.5364017486572,0.0,994.96,0.0073364,2,366453,1091,68.2802,-0.005501,994.96,0.000838994979858,0.983807
289.13049578666687,0.0,994.96,0.0111506,2,368453,1093,68.1199,-0.00750032,994.96,0.000103533267975,0.973203
290.7648105621338,0.0,994.96,0.00293998,2,370453,1095,67.4521,-0.00495346,994.96,-0.0135748386383,0.961182
292.36009097099304,0.0,1000.0,0.011698,2,372453,1097,67.305,-0.00526713,1000.0,-0.015007019043,0.978837
293.95765471458435,0.0,998.38,0.00840475,2,374291,1099,49.0318,-0.00954556,998.38,0.0820719003677,0.972389
295.5670247077942,0.0,998.38,0.0103477,2,376291,1101,68.8892,-0.00492932,998.38,-0.0110161304474,0.965431
297.1607701778412,0.0,998.38,0.00535646,2,378291,1103,68.7098,-0.00478501,998.38,-0.00152218341827,0.952992
298.77013993263245,0.0,995.64,0.00870276,2,380017,1105,34.1572,-0.0133123,995.64,0.134741544724,0.960249
300.36388421058655,0.0,995.64,0.00408453,2,382017,1107,69.5971,-0.00588167,995.64,-0.0119285583496,0.937599
301.9732553958893,0.0,995.64,0.00968508,3,385017,1110,91.761,-0.00936978,995.64,0.0597726106644,0.947678
303.5826244354248,0.0,995.64,0.00506392,2,387017,1112,67.6454,-0.00606976,995.64,0.0324246883392,0.935716
305.1832880973816,0.0,995.64,0.0046286,2,389017,1114,68.6165,-0.00534394,995.64,-0.0417261123657,0.913492
306.78563809394836,0.0,995.64,0.00834559,2,391017,1116,68.0909,-0.00960741,995.64,0.0104877948761,0.920498
308.4080708026886,0.0,995.64,0.00561254,2,393017,1118,59.3746,-0.00874708,995.64,0.0648580789566,0.912744
310.0161283016205,0.0,995.64,0.0151456,2,395017,1120,69.873,-0.00479398,995.64,-0.0257629156113,0.917571
311.61774373054504,0.0,995.64,0.013186,2,397017,1122,69.5367,-0.00563654,995.64,-0.00542807579041,0.909693
313.22338581085205,0.0,995.64,0.00877644,2,399017,1124,65.1113,-0.0047518,995.64,3.6358833313e-05,0.904345
314.8171327114105,0.0,995.64,0.00760885,2,401017,1126,68.5178,-0.00699773,995.64,-0.0515768527985,0.888246
316.4265031814575,0.0,995.64,0.00577222,2,403017,1128,68.6987,-0.00387452,995.64,-0.0108745098114,0.892726
318.0199167728424,0.0,995.64,0.00763368,2,405017,1130,68.2848,-0.00566046,995.64,-0.0187187194824,0.893331
319.66053676605225,0.0,995.64,0.00979195,2,407017,1132,68.5154,-0.00709173,995.64,-0.00913989543915,0.888384
321.25428223609924,0.0,995.64,0.00797224,2,409017,1134,67.1479,-0.00462157,995.64,-0.0157462358475,0.885917
322.8636517524719,0.0,995.64,0.00689718,2,411017,1136,63.4604,-0.00808089,995.64,0.0400347709656,0.905161
324.4573965072632,0.0,975.5,0.00525575,4,413003,1140,43.0423,-0.011328,975.5,0.373839557171,0.909485
326.0511426925659,0.0,975.5,0.00841923,2,415003,1142,69.8428,-0.00582606,975.5,-0.00567984580994,0.930915
327.64561700820923,0.0,966.0,0.00593637,3,417053,1145,49.5165,-0.00821093,966.0,0.502120822668,0.947643
329.2561855316162,0.0,966.0,0.0105785,2,419053,1147,68.5767,-0.0111615,966.0,-0.0496995449066,0.929594
330.8768093585968,0.0,966.0,0.00958007,2,421053,1149,69.4117,-0.00779232,966.0,-0.0142033100128,0.919486
332.47336435317993,0.0,966.0,0.00618851,2,423053,1151,63.4882,-0.00712743,966.0,-0.0050185918808,0.918928
334.08273339271545,0.0,966.0,0.00908338,2,425053,1153,65.3656,-0.0090093,966.0,-0.0805892944336,0.922331
335.6801657676697,0.0,966.0,0.0118808,2,427053,1155,67.2385,-0.0051013,966.0,-0.0190335512161,0.925981
337.3007252216339,0.0,966.0,0.00840354,3,430053,1158,99.1271,-0.0062978,966.0,-0.0176601409912,0.930162
338.89668440818787,0.0,966.0,0.0091636,2,432053,1160,66.5374,-0.00854075,966.0,-0.032603263855,0.937057
340.5059564113617,0.0,966.0,0.00692291,2,434053,1162,67.7104,-0.00553792,966.0,-0.026864528656,0.950745
342.09875440597534,0.0,963.52,0.0101811,2,435805,1164,36.7222,-0.00912633,963.52,0.717888712883,0.951946
343.71524143218994,0.0,963.52,0.00739372,2,437805,1166,68.6154,-0.00814303,963.52,0.00150179862976,0.947884
345.31009244918823,0.0,957.11,0.00503191,3,440164,1169,38.5316,-0.0103967,957.11,0.846393197775,0.941368
346.91199231147766,0.0,953.67,0.00938532,2,441820,1171,9.77191,-0.0148216,953.67,0.860418364406,0.950905
348.5206108093262,0.0,953.67,0.0101729,2,443820,1173,70.7386,-0.00791065,953.67,0.000114142894745,0.947786
350.0993354320526,0.0,953.67,0.0096255,2,445820,1175,69.0519,-0.00547919,953.67,-0.0142238140106,0.961624
351.71584010124207,0.0,953.67,0.00602451,2,447820,1177,69.0691,-0.00867264,953.67,-0.00194787979126,0.953642
353.30998277664185,0.0,953.67,0.00734391,2,449820,1179,69.5845,-0.00558073,953.67,-0.0354088544846,0.966435
