EpLenMean,EpThisIter,loss_pol_entpen,EpRewMean,loss_vf_loss,EpisodesSoFar,loss_pol_surr,TimestepsSoFar,loss_ent,loss_kl,TimeElapsed,ev_tdlam_before
1000.0,2,0.0,1072.2186603,132.562,264,-0.0562301,264000,3.08289,0.0206648,231.84267210960388,0.968741375953
1000.0,2,0.0,1079.34177763,157.756,266,-0.0646488,266000,3.06201,0.02515,233.6393802165985,0.88343654573
1000.0,2,0.0,1082.95533515,168.04,268,-0.067371,268000,3.00023,0.0235811,235.43601822853088,0.939298484474
1000.0,2,0.0,1095.40059528,232.436,270,-0.0609094,270000,2.9787,0.0248829,237.21805477142334,0.745687931776
1000.0,2,0.0,1097.95759784,117.15,272,-0.0559725,272000,2.9842,0.024595,239.0310938358307,0.972150621936
1000.0,2,0.0,1099.41274469,173.443,274,-0.0641721,274000,2.96231,0.0258387,240.8122091293335,0.952635042369
1000.0,2,0.0,1109.86123979,208.611,276,-0.0589192,276000,2.96536,0.0217769,242.64022064208984,0.365298807621
1000.0,2,0.0,1118.56002142,209.344,278,-0.0580338,278000,2.95376,0.0248737,244.42020463943481,0.110527396202
1000.0,2,0.0,1144.13228325,197.093,280,-0.0540498,280000,2.90431,0.0249385,246.2175211906433,0.229314863682
1000.0,2,0.0,1145.1152167,153.123,282,-0.0613106,282000,2.85408,0.0280651,248.01567196846008,0.950113553554
1000.0,2,0.0,1149.20993381,158.666,284,-0.0570932,284000,2.79185,0.0240504,249.81139659881592,0.965600840747
1000.0,2,0.0,1157.02672103,241.256,286,-0.0620491,286000,2.76867,0.0234773,251.6080343723297,0.944263856858
1000.0,2,0.0,1160.16102299,159.025,288,-0.0654939,288000,2.73299,0.0289894,253.40564036369324,0.970076872036
1000.0,2,0.0,1155.15933991,140.251,290,-0.0666146,290000,2.66376,0.0275784,255.20202088356018,0.929185524583
1000.0,2,0.0,1165.04093712,256.837,292,-0.0619509,292000,2.65041,0.022786,256.99876523017883,0.193612873554
1000.0,2,0.0,1181.87674725,225.269,294,-0.0549149,294000,2.62081,0.0232422,258.7798402309418,0.311504721642
1000.0,2,0.0,1185.02995034,210.064,296,-0.0603264,296000,2.5932,0.0253239,260.57751655578613,0.960974607617
1000.0,3,0.0,1209.72984591,255.097,299,-0.0555111,299000,2.56386,0.029549,262.38952922821045,0.659312337637
1000.0,2,0.0,1221.26566582,248.724,301,-0.0575676,301000,2.52448,0.0249492,264.20203709602356,0.323760032654
