TimestepsSoFar,loss_pol_entpen,TimeElapsed,ev_tdlam_before,EpThisIter,EpLenMean,loss_pol_surr,EpisodesSoFar,loss_ent,loss_kl,EpRewMean,loss_vf_loss
137161,0.0,227.2563235759735,0.935731843114,26,78.42,-0.142347,2466,21.7853,0.0715113,39.2648849424,0.367028
139199,0.0,230.68028450012207,0.928748749197,26,78.33,-0.140737,2492,21.7502,0.0741676,39.4643163163,0.441343
141310,0.0,234.11784172058105,0.949371002614,26,79.88,-0.138085,2518,21.7353,0.072943,40.3010188113,0.398837
143299,0.0,237.5398063659668,0.931212894619,25,79.08,-0.141727,2543,21.6959,0.0685668,39.9203097689,0.546524
145360,0.0,240.98454928398132,0.940351959318,24,81.23,-0.146663,2567,21.6057,0.0790967,40.8786879011,0.386913
147431,0.0,244.42437148094177,0.914947979152,24,83.02,-0.141078,2591,21.5697,0.0758711,41.7070729459,0.439288
149420,0.0,247.82861590385437,0.935655258596,24,83.61,-0.145802,2615,21.5792,0.0695337,42.067268283,0.383311
151502,0.0,251.25787711143494,0.930208548903,23,85.0,-0.150847,2638,21.507,0.0855124,42.916532,0.310358
153571,0.0,254.66536235809326,0.935507014394,24,86.51,-0.146914,2662,21.4854,0.0797909,43.6688449143,0.325781
155543,0.0,258.10926723480225,0.939663544297,22,86.76,-0.140284,2684,21.4926,0.073281,43.8740879064,0.350727
157672,0.0,261.53113079071045,0.957252431661,25,88.05,-0.147453,2709,21.4668,0.0757638,44.3251036257,0.436767
159713,0.0,264.94916677474976,0.931768000126,26,84.39,-0.14431,2735,21.4078,0.0728404,42.5624906925,0.431129
161662,0.0,268.35948753356934,0.919265381992,21,85.94,-0.145902,2756,21.4052,0.0810513,43.140956286,0.41601
163794,0.0,271.77722215652466,0.938221056014,25,84.96,-0.144779,2781,21.3757,0.079613,42.6565792159,0.351006
165878,0.0,275.2073893547058,0.942341659218,25,84.72,-0.147883,2806,21.319,0.07829,42.7629203511,0.477678
167887,0.0,278.63266801834106,0.94146367535,23,86.98,-0.140476,2829,21.2748,0.0796171,43.698937067,0.356457
169951,0.0,282.0475745201111,0.933837093413,23,86.09,-0.144512,2852,21.2638,0.0762517,43.3398134284,0.491429
172029,0.0,285.48662090301514,0.943208876997,23,87.09,-0.147282,2875,21.2059,0.0778534,43.7427084122,0.443719
174012,0.0,288.93061423301697,0.938603073359,22,88.54,-0.147219,2897,21.1797,0.0780383,44.5469532108,0.552908
176095,0.0,292.37524342536926,0.92833480984,23,90.02,-0.142321,2920,21.1326,0.0886814,45.339309095,0.594913
178112,0.0,295.809113740921,0.937664609402,23,89.8,-0.142286,2943,21.1126,0.0827874,45.0853805568,0.422444
180222,0.0,299.2112846374512,0.931862778962,25,87.89,-0.143544,2968,21.0761,0.0795364,44.3460653332,0.422853
182207,0.0,302.6560547351837,0.938876736909,21,88.84,-0.145059,2989,21.0562,0.0892305,44.7160419167,0.385997
184264,0.0,306.0622947216034,0.955423220992,25,87.52,-0.14452,3014,21.0725,0.0819159,44.015898761,0.44681
186339,0.0,309.495192527771,0.938491869718,24,86.49,-0.14416,3038,20.9825,0.0764241,43.5401713038,0.404147
188381,0.0,312.92928981781006,0.937074817717,21,89.28,-0.148397,3059,20.9731,0.0894893,44.6542634269,0.300896
190422,0.0,316.3595576286316,0.93824980408,24,87.48,-0.140218,3083,20.9533,0.0785872,43.5820177018,0.471812
192490,0.0,319.7966103553772,0.931988067925,26,86.2,-0.143781,3109,20.931,0.088177,42.8685698679,0.407782
194513,0.0,323.21847462654114,0.954510506243,24,86.19,-0.145337,3133,20.9234,0.0902946,42.8905317393,0.345105
196535,0.0,326.6559867858887,0.9379167445,24,84.19,-0.139395,3157,20.9288,0.0866317,41.7933468519,0.341807
198630,0.0,330.0863378047943,0.938050702214,23,84.71,-0.143361,3180,20.9196,0.0875842,42.2094715887,0.338917
200648,0.0,333.51605224609375,0.943334992975,26,83.6,-0.147061,3206,20.892,0.0848083,41.7333183777,0.379704
202689,0.0,336.93714714050293,0.930533632636,24,84.09,-0.144911,3230,20.8279,0.0871816,41.7505757494,0.492673
204747,0.0,340.39026403427124,0.910703167319,23,85.2,-0.141299,3253,20.8208,0.0893816,42.3080739269,0.311023
206809,0.0,343.8463797569275,0.939342040569,25,84.47,-0.14101,3278,20.7732,0.0915911,41.5252568887,0.464506
208809,0.0,347.2920141220093,0.946463286877,24,84.84,-0.143654,3302,20.7728,0.0948788,41.7888776874,0.319501
210932,0.0,350.7384247779846,0.940290603787,23,86.11,-0.146417,3325,20.7389,0.0888228,42.4704433024,0.40969
212971,0.0,354.1676025390625,0.953733555973,23,86.85,-0.148197,3348,20.6746,0.0859237,42.8884201052,0.376481
215036,0.0,357.60985589027405,0.948281068355,22,89.42,-0.152165,3370,20.6434,0.0875189,44.3903923753,0.354521
217071,0.0,361.02355790138245,0.946110028774,24,89.67,-0.142254,3394,20.5972,0.0858453,44.7149267744,0.327578
219094,0.0,364.478089094162,0.943864744157,23,89.35,-0.14983,3417,20.5658,0.0937281,44.5338061826,0.347877
221181,0.0,367.9227600097656,0.944489832968,24,88.14,-0.140422,3441,20.5606,0.091007,43.8252169689,0.314446
223174,0.0,371.3439860343933,0.931997172534,24,85.69,-0.139183,3465,20.5088,0.092953,42.3379849092,0.476716
225211,0.0,374.77339148521423,0.928876057267,22,87.04,-0.143174,3487,20.5217,0.0961458,43.0924596262,0.253971
227314,0.0,378.2347409725189,0.948900010437,24,87.08,-0.144961,3511,20.4636,0.095776,42.9693163947,0.305154
229375,0.0,381.6490707397461,0.92277033627,23,87.89,-0.144174,3534,20.3895,0.095222,43.5430668426,0.50525
231416,0.0,385.07776975631714,0.938572220504,23,89.12,-0.149455,3557,20.3886,0.114289,44.2882544385,0.344229
233467,0.0,388.5081663131714,0.95271589607,24,89.25,-0.147487,3581,20.3277,0.100992,44.4515405936,0.257874
235502,0.0,391.9410071372986,0.937003441155,22,87.94,-0.140487,3603,20.308,0.0875652,43.8978591288,0.453155
237503,0.0,395.35897994041443,0.950800720602,24,87.35,-0.144898,3627,20.2735,0.0909021,43.5012133111,0.353984
239582,0.0,398.79646944999695,0.952935650945,24,87.25,-0.144852,3651,20.2434,0.0974863,43.4167484434,0.334999
241621,0.0,402.2339599132538,0.938917800784,22,88.26,-0.141821,3673,20.2723,0.101244,43.8578448866,0.37928
243645,0.0,405.65582513809204,0.944212753326,21,90.43,-0.148312,3694,20.2747,0.0987726,44.897051252,0.300459
245705,0.0,409.0896396636963,0.941866669804,23,90.47,-0.147492,3717,20.2642,0.0925676,44.6486303721,0.460083
247781,0.0,412.53102111816406,0.938278865069,23,91.12,-0.146728,3740,20.2305,0.104182,45.0062158705,0.397273
249827,0.0,416.1560101509094,0.934021875262,24,90.59,-0.14533,3764,20.1909,0.103922,44.4663886554,0.402957
251841,0.0,419.5778112411499,0.937286935747,24,88.02,-0.14852,3788,20.1491,0.0988347,43.6301871067,0.346049
253872,0.0,422.9996757507324,0.938756160438,23,86.98,-0.141939,3811,20.1472,0.0975947,43.4008286576,0.417073
255952,0.0,426.4527907371521,0.947247672826,21,89.13,-0.149866,3832,20.1133,0.106,44.4626021798,0.365866
257972,0.0,429.9059054851532,0.94795646891,22,89.28,-0.145484,3854,20.0412,0.0999713,44.6621400668,0.309575
259982,0.0,433.37464427948,0.92607409507,20,94.01,-0.1472,3874,20.0194,0.098483,46.8304089903,0.46777
262089,0.0,436.81213426589966,0.93771552667,23,94.36,-0.141271,3897,20.0133,0.0965898,46.6439170706,0.424053
264175,0.0,440.2496235370636,0.923974335194,22,95.46,-0.143637,3919,19.9972,0.0991229,47.4240683537,0.530262
266182,0.0,443.6714882850647,0.932675741613,22,94.1,-0.141986,3941,19.968,0.0942319,46.9240080685,0.434893
268253,0.0,447.0864074230194,0.951834406704,22,92.78,-0.144805,3963,19.9885,0.097746,46.5776582098,0.369876
270323,0.0,450.50245475769043,0.949622899294,23,91.43,-0.139059,3986,19.9182,0.110518,46.3313699716,0.484291
272314,0.0,453.94268131256104,0.951271288097,23,91.11,-0.144861,4009,19.8706,0.102263,46.1913895922,0.350221
274363,0.0,457.391943693161,0.959340859205,21,91.26,-0.147975,4030,19.7416,0.0998922,46.0033006176,0.293178
276405,0.0,460.8433926105499,0.959422618151,22,92.4,-0.148726,4052,19.7172,0.101566,46.6603121417,0.311821
278464,0.0,464.29650831222534,0.955007173121,22,91.8,-0.141044,4074,19.6597,0.0978725,46.1658307805,0.327954
280504,0.0,467.71837162971497,0.941175241023,20,94.93,-0.150257,4094,19.614,0.110758,47.9895421548,0.290918
282543,0.0,471.14023661613464,0.944369543344,21,96.94,-0.143221,4115,19.5799,0.0997643,49.0660697445,0.34657
284579,0.0,474.57772612571716,0.957383420318,23,94.53,-0.14621,4138,19.5277,0.109002,47.701741088,0.305222
286671,0.0,477.99522972106934,0.95316387713,23,94.3,-0.147461,4161,19.5268,0.102678,47.7269019433,0.408695
288705,0.0,481.45009779930115,0.955444503576,22,93.2,-0.142197,4183,19.5047,0.111451,47.3723220723,0.279387
290764,0.0,484.94580841064453,0.952472072095,22,91.97,-0.145799,4205,19.5068,0.114285,46.3808130932,0.248629
292840,0.0,488.3917019367218,0.945934131742,25,89.65,-0.150957,4230,19.4814,0.103579,45.4424830382,0.352687
294847,0.0,491.8434281349182,0.947651840746,22,90.46,-0.140153,4252,19.4736,0.102539,45.6040060089,0.264431
