loss_kl,TimestepsSoFar,ev_tdlam_before,loss_pol_surr,EpisodesSoFar,loss_ent,EpLenMean,EpThisIter,loss_pol_entpen,loss_vf_loss,TimeElapsed,EpRewMean
0.013801,173850,0.948042854667,-0.0544099,1220,6.3481,242.16,8,0.0,106.599,174.09670090675354,695.660473331
0.0163449,176056,0.95183487609,-0.0555315,1228,6.36668,248.9,8,0.0,76.6241,176.13782501220703,715.612887618
0.0196049,178019,0.947369076312,-0.0569875,1236,6.32611,249.1,8,0.0,107.888,178.15497303009033,718.030645174
0.0193572,180101,0.956580456346,-0.062043,1243,6.29033,254.84,7,0.0,60.2108,180.1943941116333,742.037571312
0.0239865,182089,0.962073948234,-0.0537124,1250,6.26315,257.99,7,0.0,92.9834,182.2405514717102,751.83912411
0.0176681,184093,0.96795867011,-0.0618465,1257,6.26507,260.56,7,0.0,80.8206,184.27215266227722,764.934060174
0.0191139,186304,0.955164819956,-0.0578865,1265,6.21616,263.4,8,0.0,107.088,186.30577158927917,777.116798077
0.0177407,188071,0.951122038066,-0.0587058,1272,6.20653,264.44,7,0.0,111.821,188.34212636947632,782.581110992
0.0207862,190385,0.951269242913,-0.061237,1279,6.14136,271.35,7,0.0,120.682,190.37356233596802,806.124608746
0.0187282,192410,0.959182795137,-0.0593567,1285,6.09122,273.66,6,0.0,74.1629,192.39802193641663,821.029897004
0.0162482,194261,0.926789797843,-0.0583828,1293,6.0531,272.44,8,0.0,184.086,194.44372391700745,819.512228886
0.0169891,196457,0.958029724658,-0.0607544,1300,5.99928,275.88,7,0.0,101.892,196.45902919769287,834.862255346
0.0188285,198442,0.936093620956,-0.055593,1307,5.97331,277.05,7,0.0,157.411,198.49010610580444,841.566225686
0.0238959,200570,0.940915312618,-0.0639314,1314,5.96573,282.74,7,0.0,130.149,200.52825736999512,871.913710322
0.017816,202491,0.959387369454,-0.0597388,1320,5.92823,286.41,6,0.0,96.9314,202.55956649780273,888.952205375
0.0195304,204529,0.955328792334,-0.0570946,1328,5.91238,284.73,8,0.0,134.003,204.59197807312012,889.131951853
0.0215518,206669,0.959524791688,-0.0598891,1336,5.89631,286.5,8,0.0,106.35,206.6238250732422,897.664964596
0.0231091,208582,0.950161103159,-0.067233,1341,5.89525,290.84,5,0.0,74.9161,208.65544152259827,915.235909373
0.0188704,210725,0.953644156456,-0.0602745,1348,5.82804,293.35,7,0.0,145.666,210.67841506004333,924.842375193
0.0190436,212813,0.945161122829,-0.0556294,1354,5.81989,295.9,6,0.0,143.71,212.71264028549194,939.069586819
0.0197566,214911,0.94447273761,-0.0623552,1360,5.80824,299.72,6,0.0,117.268,214.77998733520508,956.607868662
0.016183,217009,0.943472843617,-0.058961,1367,5.7973,302.8,7,0.0,116.913,216.82701969146729,966.957700393
0.0218662,218924,0.970053251833,-0.0623342,1373,5.79084,304.69,6,0.0,75.9242,218.84943008422852,978.873776835
0.0177807,220799,0.956605348736,-0.0607852,1378,5.80106,306.37,5,0.0,111.167,220.8813977241516,985.96210193
0.0170211,223004,0.966573759913,-0.0584601,1384,5.78165,308.96,6,0.0,83.3851,222.89922404289246,1000.3927338
0.0180205,225153,0.970461905003,-0.0595119,1390,5.72901,313.77,6,0.0,88.0648,224.94320511817932,1020.7834645
