EpisodesSoFar,ev_tdlam_before,EpThisIter,loss_pol_entpen,loss_pol_surr,loss_vf_loss,EpLenMean,loss_ent,TimestepsSoFar,TimeElapsed,loss_kl,EpRewMean
1635,0.979571809992,8,0.0,-0.0583587,42.8709,243.02,5.80708,243539,245.78007197380066,0.019471,741.701645295
1643,0.976834854111,8,0.0,-0.0524841,60.3172,243.97,5.78634,245591,247.8437020778656,0.0168362,747.920987653
1651,0.985634286888,8,0.0,-0.0568243,37.0204,244.11,5.70885,247605,249.8980770111084,0.0181908,750.566476917
1659,0.986090159975,8,0.0,-0.0478664,42.7146,244.87,5.68026,249725,251.9625391960144,0.020156,755.476412084
1667,0.983642244712,8,0.0,-0.058619,33.14,245.19,5.68213,251737,254.01548719406128,0.0197878,759.199045827
1675,0.980947066098,8,0.0,-0.0596059,46.8466,246.02,5.64852,253752,256.0626013278961,0.0191494,766.541364131
1683,0.983390951529,8,0.0,-0.0569309,49.7528,247.95,5.62663,255771,258.11677956581116,0.0170753,774.154166365
1691,0.987876523286,8,0.0,-0.0538434,21.5181,247.64,5.60136,257831,260.1658570766449,0.0190971,775.019292238
1699,0.986365215853,8,0.0,-0.056102,29.5196,248.29,5.56119,259867,262.2213830947876,0.0184713,778.686620523
1708,0.989171240479,9,0.0,-0.0531577,31.5231,249.04,5.52036,262136,264.2570757865906,0.0189051,786.075023521
1715,0.989786911756,7,0.0,-0.0600548,25.968,252.2,5.50228,264048,266.3053753376007,0.0225574,797.608480991
1723,0.983623350039,8,0.0,-0.0512271,38.7488,254.17,5.51274,266037,268.3699779510498,0.0194546,804.221842062
1731,0.987644021399,8,0.0,-0.0557278,29.4301,256.01,5.50093,268161,270.42057251930237,0.0192725,812.420875248
1739,0.988098184578,8,0.0,-0.0548177,29.4749,256.52,5.49968,270217,272.46787786483765,0.0214023,815.267787292
1747,0.977902267128,8,0.0,-0.0515735,54.7778,256.9,5.50513,272282,274.5148777961731,0.0169367,818.252702263
1755,0.983108690009,8,0.0,-0.0607299,32.4725,257.26,5.48146,274409,276.561580657959,0.0211463,823.084260908
1763,0.987872289494,8,0.0,-0.0596558,24.2954,256.81,5.46587,276445,278.6091904640198,0.0181133,822.108816296
1771,0.988824566826,8,0.0,-0.0565974,29.0918,256.58,5.4234,278323,280.65545296669006,0.0252658,823.903343432
