EpisodesSoFar,TimestepsSoFar,ev_tdlam_before,EpThisIter,loss_vf_loss,TimeElapsed,loss_kl,loss_pol_surr,EpRewMean,loss_ent,EpLenMean,loss_pol_entpen
1834,259982,0.96125183627,10,42.8839,260.32492327690125,0.0184769,-0.0445894,579.681198683,5.1617,199.64,0.0
1844,262071,0.983171697706,10,36.7421,262.37419080734253,0.0231726,-0.0516052,588.747850385,5.11598,200.69,0.0
1854,264188,0.98360016942,10,28.3936,264.411274433136,0.0251681,-0.0502383,596.468588962,5.08273,201.28,0.0
1863,266069,0.977761523798,9,49.5354,266.45731472969055,0.0204146,-0.0507084,609.432022252,5.03278,204.11,0.0
1873,268121,0.975627388805,10,38.5959,268.489709854126,0.0203615,-0.0495243,616.1812162,5.00992,205.25,0.0
1883,270306,0.972328564152,10,60.942,270.5368287563324,0.0183594,-0.0500677,625.695145402,4.9632,206.88,0.0
1893,272343,0.976416915655,10,53.7887,272.55915808677673,0.0234806,-0.0519754,628.27940177,4.93369,207.38,0.0
1903,274432,0.979955228046,10,60.561,274.5911774635315,0.0223698,-0.0512195,632.267253131,4.9052,207.78,0.0
1912,276457,0.988501568325,9,27.4269,276.6415455341339,0.02364,-0.0586806,640.07505046,4.9001,210.12,0.0
1921,278346,0.96133216843,9,76.6732,278.6613943576813,0.0224956,-0.0518753,642.810051057,4.88098,210.65,0.0
1930,280362,0.978874454275,9,58.762,280.7232434749603,0.0188829,-0.0461103,649.738073857,4.82541,212.5,0.0
1939,282451,0.982934607193,9,33.4855,282.75360131263733,0.0203241,-0.0572161,661.633146505,4.77667,214.06,0.0
1948,284632,0.979076130316,9,46.7821,284.77038049697876,0.0303424,-0.0513955,674.792765673,4.74966,217.65,0.0
1956,286574,0.96941783838,8,59.2541,286.8058431148529,0.0297514,-0.0350597,685.788875241,4.73535,219.76,0.0
1965,288617,0.981050049886,9,43.6913,288.82497930526733,0.0257275,-0.0475546,693.188336036,4.71574,221.33,0.0
1974,290686,0.977201126516,9,73.2444,290.8726818561554,0.0219029,-0.0474083,701.424678669,4.72307,223.12,0.0
1983,292854,0.980660380796,9,55.8572,292.9027602672577,0.0239715,-0.0545939,711.972291464,4.68852,225.48,0.0
1991,294831,0.981523601338,8,54.1392,294.9499440193176,0.0243383,-0.0504783,726.389941263,4.68623,229.11,0.0
1999,296847,0.979193417355,8,60.9523,296.966765165329,0.0246706,-0.0567858,743.030855324,4.65292,232.81,0.0
2008,298998,0.963097259402,9,107.291,298.99673199653625,0.0194737,-0.0468038,750.409784873,4.63869,234.63,0.0
2017,301043,0.972886787727,9,76.2237,301.0361044406891,0.0215335,-0.0546274,754.666745699,4.57121,235.23,0.0
2025,303050,0.986125577241,8,46.5804,303.06766176223755,0.0215147,-0.0525968,767.611149183,4.5645,237.78,0.0
2032,304951,0.976016324013,7,64.3186,305.09919834136963,0.0273406,-0.0484354,783.88915337,4.50635,241.42,0.0
2040,307070,0.967267245054,8,96.7962,307.1311044692993,0.0237794,-0.0493955,797.900276487,4.46228,244.06,0.0
2047,309055,0.982921203598,7,54.766,309.1685450077057,0.0323443,-0.0494068,812.494507435,4.40674,246.81,0.0
2054,311157,0.983092945069,7,63.0447,311.18452525138855,0.0333366,-0.053294,828.742903054,4.36479,250.88,0.0
2061,313185,0.980361789465,7,69.161,313.2156414985657,0.0228688,-0.0531005,844.633859727,4.36127,254.52,0.0
2068,315272,0.972489608452,7,86.7336,315.23979353904724,0.0258664,-0.0487564,863.915397581,4.32847,259.39,0.0
2075,317300,0.978363007307,7,67.7269,317.27823543548584,0.0257702,-0.0443256,883.394787665,4.319,263.5,0.0
2082,319314,0.986107074656,7,52.7625,319.3091950416565,0.0263396,-0.0543059,897.429977428,4.32615,266.73,0.0
2089,321448,0.981130510569,7,73.2763,321.3283808231354,0.0285792,-0.0466446,920.495608476,4.29136,271.91,0.0
2095,323410,0.980199400336,6,65.7198,323.364394903183,0.0289951,-0.0616734,937.619272476,4.29771,275.67,0.0
2102,325275,0.980306133628,7,73.052,325.39584159851074,0.0301706,-0.051682,940.410867163,4.28415,276.14,0.0
2109,327623,0.985074212775,7,67.8719,327.42678141593933,0.0235283,-0.0525041,977.030606463,4.25866,284.03,0.0
2115,329475,0.969107402489,6,100.283,329.4564154148102,0.0300635,-0.046157,1000.31509568,4.24052,289.41,0.0
2121,331603,0.977975219488,6,60.1956,331.4894585609436,0.0240467,-0.0528319,1027.92156101,4.22627,295.99,0.0
2127,333491,0.971122788265,6,99.143,333.5206525325775,0.0236195,-0.0538954,1041.48950795,4.20824,299.35,0.0
2133,335722,0.948208406568,6,97.1807,335.5360598564148,0.0222545,-0.0579725,1062.56647186,4.20208,304.64,0.0
2139,337740,0.97415711917,6,103.458,337.5661792755127,0.0342373,-0.0513993,1078.38314675,4.18194,308.6,0.0
2145,339780,0.963726822287,6,83.2759,339.60216450691223,0.0259117,-0.0556705,1097.06486827,4.1741,313.15,0.0
2151,341612,0.973085070029,6,114.834,341.63730096817017,0.0269531,-0.0644252,1101.43948099,4.14349,314.13,0.0
2156,343928,0.973776683211,5,65.5157,343.6642038822174,0.0353523,-0.0507945,1135.49899765,4.10735,321.81,0.0
2161,346109,0.957018978894,5,142.944,345.68477964401245,0.024095,-0.0613641,1165.9859879,4.09776,329.24,0.0
2167,347907,0.943254861981,6,199.57,347.71927785873413,0.0302952,-0.0593491,1163.38661462,4.06709,328.96,0.0
2172,349728,0.976565482095,5,55.9971,349.7387013435364,0.0292521,-0.0583172,1173.29147527,4.0294,331.87,0.0
2177,352197,0.970402693376,5,99.708,351.7707145214081,0.038474,-0.0518099,1223.3146104,3.9687,343.37,0.0
2183,354283,0.967494294047,6,121.803,353.7866532802582,0.0262121,-0.0654933,1238.55502287,3.95187,346.96,0.0
2188,356291,0.9589689821,5,162.066,355.80989837646484,0.0263266,-0.0545032,1259.73952992,3.91366,352.03,0.0
