loss_ent,TimeElapsed,EpLenMean,loss_kl,EpThisIter,loss_vf_loss,EpisodesSoFar,ev_tdlam_before,TimestepsSoFar,loss_pol_entpen,EpRewMean,loss_pol_surr
19.6783,503.0932722091675,96.79,0.0935669,22,0.217484,3504,0.97130455263,253885,0.0,47.5281096459,-0.14703
19.654,506.99128794670105,97.1,0.102656,21,0.248963,3525,0.969128035009,255961,0.0,47.535020309,-0.149284
19.637,510.835027217865,98.0,0.0984506,21,0.267072,3546,0.961363110691,258009,0.0,48.3509162349,-0.148674
19.5517,514.6488552093506,98.76,0.0961403,19,0.254864,3565,0.965794302523,260000,0.0,48.6773695229,-0.145226
19.5045,518.4997882843018,99.24,0.0959876,21,0.303374,3586,0.960602920502,262110,0.0,48.5995702962,-0.147798
19.4904,522.7032141685486,100.61,0.113457,20,0.281723,3606,0.951968103647,264145,0.0,49.1606088683,-0.138726
19.4644,527.0418381690979,100.57,0.106268,21,0.217262,3627,0.957791119814,266227,0.0,49.3288054599,-0.142515
19.433,531.6245176792145,99.58,0.103001,21,0.185178,3648,0.96234928444,268208,0.0,48.3004671772,-0.139036
19.3852,535.9601409435272,97.86,0.107697,21,0.256319,3669,0.95016124472,270268,0.0,47.7493861422,-0.146319
19.3198,539.7815270423889,101.01,0.108499,18,0.226186,3687,0.956843018532,272302,0.0,49.6045398363,-0.145638
19.2812,543.6321206092834,100.3,0.0973556,21,0.267334,3708,0.965500235558,274377,0.0,49.1742697542,-0.141802
19.2523,547.4049978256226,102.03,0.112236,19,0.281226,3727,0.951471548527,276430,0.0,50.1006921368,-0.1528
19.1934,551.2884113788605,102.51,0.0980472,21,0.278494,3748,0.948171224445,278459,0.0,50.4780638283,-0.143689
19.1746,555.5232462882996,103.25,0.114142,20,0.325669,3768,0.955338232219,280524,0.0,50.7507323212,-0.146912
19.2072,559.8917186260223,103.3,0.113312,18,0.283572,3786,0.959027789533,282548,0.0,50.9580362808,-0.149769
19.1703,564.5069606304169,103.86,0.113651,21,0.323248,3807,0.96499845013,284647,0.0,51.5929082802,-0.145393
19.1829,568.5676968097687,100.44,0.109833,22,0.319735,3829,0.961025770754,286712,0.0,50.007669544,-0.149879
19.1994,572.3681004047394,102.46,0.116149,19,0.287639,3848,0.954609908164,288705,0.0,51.187852332,-0.144428
19.2091,576.2177474498749,103.52,0.101776,19,0.425282,3867,0.945786844939,290777,0.0,51.9667579681,-0.140186
19.1961,579.9911975860596,101.19,0.106805,20,0.44097,3887,0.95257915929,292744,0.0,50.6304304447,-0.143541
19.1854,583.9528193473816,101.15,0.102148,21,0.318912,3908,0.945599477738,294856,0.0,50.6772742826,-0.140862
19.1551,588.1944065093994,101.23,0.100643,22,0.481023,3930,0.951952636242,296954,0.0,50.7226659147,-0.147862
19.138,592.6268503665924,97.7,0.0970809,22,0.540073,3952,0.952905472368,298964,0.0,49.0353372019,-0.140726
19.1497,597.2927877902985,97.01,0.113594,21,0.46079,3973,0.937704771757,301038,0.0,48.3838320706,-0.146198
19.0895,601.3279886245728,96.74,0.11734,20,0.388924,3993,0.943782672286,303064,0.0,48.2520850609,-0.148124
18.9948,605.1324608325958,96.76,0.107923,20,0.292764,4013,0.958783660084,305048,0.0,48.3599648247,-0.147623
