loss_ent,ev_tdlam_before,EpThisIter,TimestepsSoFar,loss_kl,loss_pol_entpen,EpisodesSoFar,loss_vf_loss,TimeElapsed,loss_pol_surr,EpLenMean,EpRewMean
0.882315,-0.000170350074768,2,353974,0.0071878,0.0,1116,68.3451,277.6167936325073,-0.00607211,990.05,990.05
0.871521,0.00277101993561,2,355974,0.00571994,0.0,1118,67.926,279.23728823661804,-0.00228044,990.05,990.05
0.873212,-0.0104171037674,2,357974,0.00525742,0.0,1120,68.3927,280.8199076652527,-0.00458977,990.05,990.05
0.889992,-0.000882148742676,2,359974,0.00464729,0.0,1122,68.543,282.4605276584625,-0.00438884,990.05,990.05
0.885052,-0.00263726711273,2,361974,0.00723559,0.0,1124,68.4935,284.06989669799805,-0.00756537,990.05,990.05
0.879425,0.000123202800751,2,363974,0.00502163,0.0,1126,68.4894,285.6792664527893,-0.00456434,990.05,990.05
0.8652,0.000612854957581,2,365974,0.00453977,0.0,1128,65.0755,287.2886381149292,-0.00690155,990.05,990.05
0.865192,0.11762458086,2,367821,0.0059101,0.0,1130,55.6324,288.8980085849762,-0.00793346,988.52,988.52
0.857973,-0.00890815258026,2,369821,0.00904736,0.0,1132,68.571,290.4994933605194,-0.0106613,988.52,988.52
0.872446,0.012618303299,2,371821,0.00696373,0.0,1134,66.603,292.13459968566895,-0.00862743,998.47,998.47
0.896213,-0.0286116600037,2,373821,0.00537753,0.0,1136,68.4657,293.72641253471375,-0.00449635,998.47,998.47
0.878537,0.00413066148758,3,376821,0.00680204,0.0,1139,99.6161,295.33578515052795,-0.00846323,998.47,998.47
0.869841,-0.0198136568069,2,378821,0.0059713,0.0,1141,67.6895,296.9346978664398,-0.00273396,998.47,998.47
0.87491,0.00329256057739,2,380821,0.00659616,0.0,1143,67.4061,298.5180814266205,-0.00362438,998.47,998.47
0.865478,-0.00665438175201,2,382821,0.00737974,0.0,1145,67.8933,300.1218822002411,-0.00459433,998.47,998.47
0.871042,-0.000924706459045,2,384821,0.00211526,0.0,1147,68.0739,301.7237341403961,-0.00331044,998.47,998.47
0.870758,-0.0109626054764,2,386821,0.00892683,0.0,1149,68.0132,303.33585715293884,-0.00594764,998.47,998.47
0.866732,-0.00137805938721,2,388821,0.00414273,0.0,1151,68.1734,304.9232256412506,-0.00565097,998.47,998.47
0.872037,0.0107344388962,2,390821,0.0105379,0.0,1153,65.8585,306.53897404670715,-0.00699762,998.47,998.47
0.86137,0.00295913219452,2,392821,0.00558205,0.0,1155,67.3911,308.13271737098694,-0.00651628,998.47,998.47
0.849384,-0.0176522731781,2,394821,0.00655572,0.0,1157,67.9551,309.7264633178711,-0.00644215,998.47,998.47
0.856185,0.00046843290329,2,396821,0.00823102,0.0,1159,67.663,311.33721923828125,-0.00852587,998.47,998.47
0.854843,-0.00413525104523,2,398821,0.0125469,0.0,1161,68.1061,312.9289982318878,-0.00759831,998.47,998.47
0.875607,-0.0216184854507,2,400821,0.00760075,0.0,1163,68.2163,314.5227417945862,-0.00611962,998.47,998.47
0.875568,-0.00486791133881,2,402821,0.00818598,0.0,1165,66.3399,316.11648654937744,-0.00702974,998.47,998.47
