EpRewMean,EpThisIter,ev_tdlam_before,loss_kl,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,loss_vf_loss,EpisodesSoFar,loss_ent,EpLenMean,TimeElapsed
928.34,2,-0.0194491147995,0.0070024,-0.00511975,0.0,187938,68.3723,961,0.938072,928.34,148.97751665115356
928.34,2,-0.00609171390533,0.0085144,-0.00467093,0.0,189938,68.384,963,0.960241,928.34,150.58682918548584
928.34,2,0.0238391160965,0.00841458,-0.00596214,0.0,191938,66.3302,965,0.944818,928.34,152.20550346374512
928.34,2,-0.00496709346771,0.00341452,-0.00393852,0.0,193938,68.4458,967,0.944836,928.34,153.82956957817078
935.56,2,-0.00358915328979,0.00951575,-0.00607643,0.0,195938,68.3896,969,0.94278,935.56,155.45364832878113
935.56,2,-0.00751662254333,0.00386932,-0.00420844,0.0,197938,68.3657,971,0.967138,935.56,157.07115864753723
935.56,2,-0.00508415699005,0.00563614,-0.00457285,0.0,199938,68.2803,973,0.970812,935.56,158.6807222366333
935.56,2,-0.0014261007309,0.00685913,-0.00393958,0.0,201938,68.3327,975,0.968262,935.56,160.29659414291382
935.56,2,-0.00305211544037,0.00917827,-0.00532927,0.0,203938,68.3441,977,0.948103,935.56,161.90596532821655
932.24,3,0.211212933064,0.00550705,-0.00763349,0.0,206392,63.8898,980,0.949015,932.24,163.51533389091492
935.19,2,-0.045881986618,0.00698393,-0.00710557,0.0,208392,68.6059,982,0.960762,935.19,165.14032864570618
941.79,2,-0.00296628475189,0.00678582,-0.00625722,0.0,210392,68.2532,984,0.96612,941.79,166.76532411575317
958.97,2,0.0393154025078,0.00935281,-0.0090575,0.0,212392,58.5721,986,0.963054,958.97,168.37469363212585
966.42,2,-0.0168089866638,0.0152046,-0.00722746,0.0,214392,68.4084,988,0.949402,966.42,169.98406386375427
969.88,2,-0.0730408430099,0.0125436,-0.0135741,0.0,216392,71.3254,990,0.896444,969.88,171.59343671798706
973.37,2,-0.0382078886032,0.0134618,-0.00380665,0.0,218392,67.1783,992,0.873759,973.37,173.21843099594116
973.37,2,0.00838834047318,0.007856,-0.00824334,0.0,220392,59.8118,994,0.881062,973.37,174.83938670158386
973.37,2,-0.0108622312546,0.00381898,-0.00281301,0.0,222392,67.754,996,0.885139,973.37,176.4573049545288
973.37,2,0.017566382885,0.00399495,-0.00395644,0.0,224392,66.6663,998,0.863163,973.37,178.08713102340698
