loss_vf_loss,loss_ent,loss_pol_entpen,EpLenMean,ev_tdlam_before,EpisodesSoFar,loss_kl,EpThisIter,loss_pol_surr,TimeElapsed,TimestepsSoFar,EpRewMean
50.6742,2.56126,0.0,1000.0,0.278033018112,202,0.0259934,2,-0.041537,172.34305787086487,202000,524.035310432
45.8823,2.54243,0.0,1000.0,0.212252795696,204,0.0255893,2,-0.0424268,174.06225895881653,204000,536.148070733
45.122,2.50787,0.0,1000.0,0.202700197697,206,0.0228651,2,-0.0441114,175.8120822906494,206000,548.824277357
50.5327,2.46961,0.0,1000.0,0.115069031715,208,0.0221846,2,-0.0451259,177.5305233001709,208000,560.026234548
51.4033,2.4265,0.0,1000.0,0.106887817383,210,0.0239786,2,-0.0435967,179.26575922966003,210000,573.004362066
54.6149,2.42429,0.0,1000.0,0.207680165768,212,0.0204718,2,-0.0461631,180.98373746871948,212000,584.559195812
70.1931,2.4417,0.0,1000.0,0.198897778988,215,0.0219249,3,-0.0441317,182.71740818023682,215000,601.644320065
56.1722,2.37371,0.0,1000.0,0.184078454971,217,0.0276025,2,-0.0438093,184.4517924785614,217000,611.114332218
53.1774,2.33754,0.0,1000.0,0.20896422863,219,0.0221851,2,-0.0463274,186.17078518867493,219000,621.704578069
54.9673,2.30133,0.0,1000.0,0.0702005624771,221,0.0263252,2,-0.038271,187.92063164710999,221000,634.726526975
55.8731,2.28938,0.0,1000.0,0.151173174381,223,0.0233417,2,-0.0424616,189.65533900260925,223000,646.065607586
54.9625,2.25446,0.0,1000.0,0.149685025215,225,0.0262052,2,-0.0451187,191.3903877735138,225000,654.622844154
57.2469,2.24006,0.0,1000.0,0.169296383858,227,0.0284212,2,-0.0411918,193.12463927268982,227000,663.792595757
58.983,2.20305,0.0,1000.0,0.223151147366,229,0.0270265,2,-0.0415321,194.8589107990265,229000,670.777146614
51.5661,2.19052,0.0,1000.0,0.177679777145,231,0.0255965,2,-0.0418297,196.60891699790955,231000,678.679519678
60.8399,2.16534,0.0,1000.0,0.171691656113,233,0.0238214,2,-0.0433075,198.34267377853394,233000,687.741725662
59.4863,2.10459,0.0,1000.0,0.172900974751,235,0.0384445,2,-0.0375062,200.0778419971466,235000,696.605595707
57.5528,2.07716,0.0,1000.0,0.176925063133,237,0.0230336,2,-0.0437903,201.82680869102478,237000,705.788070892
53.9562,2.07167,0.0,1000.0,0.121389448643,239,0.0327335,2,-0.0372289,203.55246090888977,239000,714.077147977
56.8705,2.06658,0.0,1000.0,0.258768737316,241,0.0195445,2,-0.0457954,205.29685640335083,241000,721.451218287
63.7794,2.0243,0.0,1000.0,0.19228976965,243,0.0264935,2,-0.0401801,207.03000020980835,243000,729.367866841
62.6887,1.99846,0.0,1000.0,0.138898789883,245,0.019847,2,-0.0432581,208.7653956413269,245000,737.000853859
61.3584,1.97495,0.0,1000.0,0.172380149364,247,0.0240629,2,-0.0415721,210.4987668991089,247000,743.012452457
64.5218,1.9808,0.0,1000.0,0.257582366467,249,0.0220431,2,-0.0458149,212.23460626602173,249000,750.282926989
62.432,1.98989,0.0,1000.0,0.225805401802,251,0.0271946,2,-0.0379037,213.95359325408936,251000,757.153470043
64.5992,1.94166,0.0,1000.0,0.1563128829,253,0.0271009,2,-0.0397,215.68677949905396,253000,764.240692671
94.1924,1.93191,0.0,1000.0,0.246958017349,256,0.0328368,3,-0.0402169,217.43761277198792,256000,774.109376741
65.9939,1.92931,0.0,1000.0,0.35006827116,258,0.0257398,2,-0.0421041,219.1549997329712,258000,780.438676343
64.1535,1.88495,0.0,1000.0,0.163191795349,260,0.0221649,2,-0.0410098,220.87523412704468,260000,786.750396782
67.7747,1.84958,0.0,1000.0,0.171840846539,262,0.0273805,2,-0.0399649,222.64816069602966,262000,792.463276019
64.9599,1.83225,0.0,1000.0,0.0949401259422,264,0.0345048,2,-0.0351849,224.38238835334778,264000,798.661835973
63.3128,1.84286,0.0,1000.0,0.140378236771,266,0.0233385,2,-0.0368807,226.10802102088928,266000,804.645191637
67.835,1.80591,0.0,1000.0,0.205484032631,268,0.0283277,2,-0.0423538,227.84260320663452,268000,810.121422532
68.3116,1.80361,0.0,1000.0,0.0667958855629,270,0.0258047,2,-0.0395892,229.5929057598114,270000,814.836113106
65.4842,1.76094,0.0,1000.0,0.134115636349,272,0.0286497,2,-0.0369725,231.33846068382263,272000,820.135038028
65.3234,1.74586,0.0,1000.0,0.127125144005,274,0.0299546,2,-0.0360636,233.0771996974945,274000,824.8564162
65.1579,1.70596,0.0,1000.0,0.2103266716,276,0.0311003,2,-0.0407346,234.82727909088135,276000,829.317447735
69.0717,1.6868,0.0,1000.0,0.140116751194,278,0.0309139,2,-0.0380107,236.54601979255676,278000,833.789695207
