loss_vf_loss,EpLenMean,EpisodesSoFar,TimeElapsed,ev_tdlam_before,loss_kl,EpRewMean,TimestepsSoFar,loss_pol_surr,loss_pol_entpen,loss_ent,EpThisIter
71.116,907.95,908,156.89032316207886,-0.00953125953674,0.0015735,907.95,194063,-0.00232019,0.0,0.971197,2
70.6375,907.95,910,158.55499815940857,0.000697612762451,0.00569033,907.95,196063,-0.00376208,0.0,0.985533,2
70.6037,907.95,912,160.18084001541138,-0.00616526603699,0.00336463,907.95,198063,-0.00389597,0.0,0.963263,2
70.178,907.95,914,161.83451294898987,-0.00637173652649,0.00515265,907.95,200063,-0.00402619,0.0,0.973244,2
69.7519,907.95,916,163.46177983283997,-0.00836718082428,0.0080942,907.95,202063,-0.00426935,0.0,0.97896,2
69.3487,907.95,918,165.09339666366577,7.52806663513e-05,0.00532751,907.95,204063,-0.00480106,0.0,0.977597,2
44.7772,907.95,920,166.74964141845703,0.197711229324,0.00812857,907.95,206063,-0.00967448,0.0,0.982508,2
70.2195,907.95,922,168.39026188850403,-0.0133439302444,0.00726948,907.95,208063,-0.00347995,0.0,0.967358,2
70.7573,907.95,924,170.04650735855103,0.045190513134,0.00618521,907.95,210063,-0.00475102,0.0,0.968135,2
69.1232,907.95,926,171.68712615966797,0.00127774477005,0.0107374,907.95,212063,-0.0030293,0.0,0.972639,2
67.173,907.95,928,173.34337306022644,-0.00168859958649,0.00482426,907.95,214063,-0.00430995,0.0,0.979599,2
99.7039,907.95,931,174.98399138450623,0.00753808021545,0.00716047,907.95,217063,-0.00627072,0.0,0.976188,3
66.5156,913.14,933,176.64763259887695,0.0158861279488,0.003314,913.14,219063,-0.00445829,0.0,0.97613,2
67.1923,913.14,935,178.29014444351196,-0.00935757160187,0.00642106,913.14,221063,-0.00581935,0.0,0.985058,2
65.0805,919.06,937,179.95340013504028,-0.0061103105545,0.00542863,919.06,223063,-0.00513377,0.0,0.993847,2
68.261,923.49,939,181.5949444770813,0.000806748867035,0.00649281,923.49,225063,-0.00397424,0.0,0.98852,2
44.7538,921.81,942,183.23599648475647,0.611385166645,0.00370707,921.81,227185,-0.00853676,0.0,0.969136,3
55.926,916.44,944,184.86912965774536,0.282392859459,0.0111459,916.44,228648,-0.010892,0.0,0.954325,2
65.0279,916.44,946,186.51074957847595,0.0381129980087,0.00469101,916.44,230648,-0.00562674,0.0,0.970127,2
