EpisodesSoFar,TimestepsSoFar,loss_vf_loss,EpRewMean,loss_pol_surr,TimeElapsed,loss_pol_entpen,EpThisIter,loss_kl,loss_ent,ev_tdlam_before,EpLenMean
2131,517395,693.247,3616.39511149,-0.0315998,519.8212051391602,0.0,2,0.0291746,3.49364,0.825948894024,824.38
2135,520130,868.589,3598.67688676,-0.0459236,521.8673079013824,0.0,4,0.0279997,3.45092,0.865843981504,819.37
2139,521910,106.042,3498.65542178,-0.0699142,523.9125640392303,0.0,4,0.0359227,3.46869,0.974449509755,798.25
2141,523910,1348.61,3532.69260058,-0.0437296,525.9532504081726,0.0,2,0.0306111,3.47139,0.548609048128,805.14
2143,525910,1011.22,3547.13585882,-0.0392769,528.0163164138794,0.0,2,0.0310422,3.44115,0.501022487879,808.0
2145,527784,864.679,3575.64494244,-0.0411473,530.0498561859131,0.0,2,0.030247,3.44107,0.790273815393,813.94
2147,529533,798.271,3589.23973909,-0.035873,532.1109681129456,0.0,2,0.0405337,3.42006,0.776556521654,816.76
2150,532086,1093.83,3605.04110258,-0.0383808,534.1597678661346,0.0,3,0.0364519,3.45156,0.757915169001,819.21
2152,534086,1584.63,3648.84687104,-0.0397749,536.1962525844574,0.0,2,0.0340332,3.44092,0.319366931915,828.17
2155,536137,868.747,3665.28754252,-0.0426764,538.258852481842,0.0,3,0.0287631,3.47161,0.866344198585,831.37
2158,538356,875.161,3649.30959762,-0.0386772,540.2974915504456,0.0,3,0.0512955,3.49288,0.711419582367,828.47
2160,540131,685.597,3639.21478223,-0.0453003,542.354522228241,0.0,2,0.0470399,3.46745,0.777364850044,826.22
2162,542131,1623.53,3679.21280962,-0.0383092,544.3911831378937,0.0,2,0.0280147,3.45128,0.428907692432,834.4
2164,544131,855.809,3686.94663711,-0.0341573,546.453049659729,0.0,2,0.0357889,3.42319,0.60488563776,835.64
2166,546131,1348.59,3687.02451554,-0.0316057,548.5006721019745,0.0,2,0.035483,3.478,0.512323826551,835.98
2168,547928,854.623,3701.77870817,-0.036373,550.546788930893,0.0,2,0.0545822,3.49769,0.715410619974,838.99
2171,550399,1212.19,3722.78054062,-0.0435954,552.5938899517059,0.0,3,0.02762,3.4903,0.683106333017,842.22
2174,552717,174.942,3708.2855933,-0.0571211,554.6409323215485,0.0,3,0.0290706,3.52174,0.952376037836,838.46
2177,554924,732.171,3674.80417661,-0.0366596,556.6879696846008,0.0,3,0.0347443,3.51262,0.865584328771,830.53
2179,556924,919.813,3676.79630196,-0.0359437,558.7255756855011,0.0,2,0.0304143,3.50039,0.442598223686,830.53
2181,558635,849.652,3673.30561703,-0.0432694,560.774270772934,0.0,2,0.0326037,3.47417,0.77385930717,828.89
2183,560537,880.912,3700.99281737,-0.0412325,562.836635351181,0.0,2,0.0311127,3.45929,0.800730317831,833.61
2186,562815,1599.86,3714.86523919,-0.0413246,564.8834457397461,0.0,3,0.0322893,3.42957,0.660919815302,835.71
2188,564815,1085.19,3718.68346164,-0.0324466,566.93084025383,0.0,2,0.070583,3.39921,0.434089004993,835.71
2191,567088,1631.53,3707.21252336,-0.0365681,568.9689981937408,0.0,3,0.0337127,3.43964,0.728193253279,832.97
2193,568682,933.384,3725.36079088,-0.0424626,571.016087770462,0.0,2,0.0370018,3.49493,0.77035202086,836.53
2196,570759,805.791,3737.0367011,-0.0470156,573.0631122589111,0.0,3,0.0284898,3.49448,0.876659296453,837.98
2198,572759,1033.26,3748.20503205,-0.0344093,575.1101608276367,0.0,2,0.0285399,3.48585,0.499123215675,840.04
2201,574922,1672.48,3752.34723547,-0.0440487,577.159503698349,0.0,3,0.0449404,3.49053,0.631049275398,840.67
2203,576573,879.221,3736.95887149,-0.0452029,579.2103404998779,0.0,2,0.033286,3.48854,0.782194361091,837.18
2206,579573,1754.31,3766.77008559,-0.0360041,581.2579636573792,0.0,3,0.0354758,3.4691,0.398634910583,843.26
2208,581573,1439.62,3768.83510617,-0.0340846,583.2895295619965,0.0,2,0.0384135,3.47083,0.45859503746,843.26
2211,582906,675.58,3691.95320272,-0.0446045,585.3371794223785,0.0,3,0.0329787,3.51809,0.893818572164,827.27
2215,585575,871.159,3632.69028358,-0.0464945,587.3914380073547,0.0,4,0.0305714,3.49857,0.878634989262,815.92
2218,587086,97.9455,3589.80981593,-0.064859,589.4417881965637,0.0,3,0.0327436,3.4683,0.972200449556,807.11
2220,589086,1602.97,3592.76474926,-0.028695,591.4933986663818,0.0,2,0.0398614,3.45887,0.43997502327,807.11
2222,591038,871.723,3629.38405262,-0.0321429,593.5318746566772,0.0,2,0.0264906,3.44763,0.821079343557,814.95
2224,593038,1632.56,3636.42804043,-0.0380905,595.6254377365112,0.0,2,0.0283479,3.42076,0.442880034447,816.14
2227,595575,882.616,3619.9715547,-0.0422139,597.6814427375793,0.0,3,0.0305173,3.39631,0.862891018391,812.15
2229,597340,571.18,3631.53991613,-0.0345811,599.7624909877777,0.0,2,0.0329677,3.38362,0.817695498466,814.02
2231,599188,876.737,3651.32404655,-0.0396183,601.8128614425659,0.0,2,0.0348883,3.34732,0.812861308455,817.93
2235,601714,562.441,3643.07743049,-0.0452555,603.8597159385681,0.0,4,0.040935,3.34429,0.893190182745,815.84
2238,603416,174.379,3650.77508302,-0.0568486,605.8990921974182,0.0,3,0.035118,3.31093,0.94489364326,816.79
2241,606134,640.272,3679.74141435,-0.0413849,607.9461243152618,0.0,3,0.0341244,3.31717,0.891025476158,822.24
2244,607929,705.677,3628.81522123,-0.0368327,609.9921555519104,0.0,3,0.0316485,3.30695,0.879714034498,811.45
2246,609742,189.05,3624.17305032,-0.0523103,612.0401949882507,0.0,2,0.0373673,3.26872,0.930394589901,809.58
2249,612240,1688.87,3634.11708142,-0.0421647,614.0784339904785,0.0,3,0.0226554,3.28362,0.735257327557,811.54
2252,613718,102.823,3563.9214248,-0.0598608,616.1254575252533,0.0,3,0.0393338,3.30327,0.96781443432,796.32
2256,616173,232.225,3538.60514481,-0.062184,618.1564972400665,0.0,4,0.0303145,3.30881,0.969318980351,790.36
2260,618311,846.951,3500.53793823,-0.0402771,620.2075262069702,0.0,4,0.0270277,3.33872,0.891105480492,781.8
2263,619889,885.177,3430.4400353,-0.0416193,622.258141040802,0.0,3,0.0283184,3.34311,0.875125966966,767.58
2266,621736,782.765,3374.49815674,-0.0392055,624.2885627746582,0.0,3,0.0312596,3.32611,0.892684191465,756.05
2270,623956,884.116,3322.11780283,-0.0494127,626.3522202968597,0.0,4,0.034824,3.29034,0.889912351966,745.57
2276,626394,923.847,3195.16966417,-0.0505269,628.3843309879303,0.0,6,0.0330281,3.28717,0.920075513422,719.89
2279,628704,1522.81,3185.50002379,-0.0393978,630.4379842281342,0.0,3,0.0578644,3.28085,0.612537592649,717.8
2282,630503,947.903,3145.20249889,-0.0514959,632.4849171638489,0.0,3,0.0348046,3.25336,0.7922206074,709.66
2285,632033,842.298,3107.54389506,-0.0394006,634.5163452625275,0.0,3,0.0234477,3.23547,0.891768053174,702.18
2289,634582,199.174,3033.92521869,-0.0637597,636.5789637565613,0.0,4,0.0447428,3.21176,0.962414558977,687.67
2291,636333,52.9872,3058.01314257,-0.0620612,638.610328912735,0.0,2,0.0397914,3.21526,0.979680448771,692.45
