ev_tdlam_before,EpThisIter,TimeElapsed,loss_pol_surr,EpisodesSoFar,EpRewMean,loss_vf_loss,TimestepsSoFar,loss_pol_entpen,loss_ent,loss_kl,EpLenMean
0.980335153639,11,192.28147220611572,-0.0516322,1439,463.705851685,28.5084,190307,0.0,6.06029,0.0167952,174.03
0.974153108895,12,194.36201310157776,-0.0509159,1451,468.589330926,29.5787,192451,0.0,5.96912,0.0216591,174.86
0.982798006386,11,196.41462349891663,-0.0479996,1462,474.970490679,29.8772,194413,0.0,5.92212,0.0163682,176.03
0.982608478516,11,198.48386883735657,-0.046564,1473,482.132998058,21.1654,196560,0.0,5.91422,0.0216236,177.66
0.984388506971,11,200.53082752227783,-0.0520216,1484,487.083218493,18.621,198504,0.0,5.92441,0.0195343,178.62
0.982075721025,12,202.5934135913849,-0.0484733,1496,490.309065165,22.172,200641,0.0,5.93734,0.0208324,179.01
0.982568766922,12,204.64864683151245,-0.0472362,1508,492.075608031,33.2475,202733,0.0,5.94281,0.0193418,179.3
0.978227186948,11,206.69556617736816,-0.0464853,1519,499.595252477,23.3391,204737,0.0,5.95874,0.0206362,180.88
0.974026560783,11,208.76799964904785,-0.0520821,1530,502.61436165,34.6887,206767,0.0,5.96853,0.0215932,181.26
0.979597683996,11,210.82763361930847,-0.0450397,1541,505.753898615,29.5834,208861,0.0,5.95899,0.0148613,181.97
0.975969620049,11,212.90592002868652,-0.0490991,1552,506.940044473,35.7317,210805,0.0,5.9516,0.0195524,181.97
0.980396576226,12,214.93689846992493,-0.0555255,1564,503.126806752,31.2749,212888,0.0,5.90056,0.0200245,180.67
0.980263214558,12,217.0158326625824,-0.0526323,1576,499.566371097,32.7717,215012,0.0,5.86245,0.0197364,179.02
0.97210800834,12,219.05076360702515,-0.0541899,1588,499.196135915,38.1425,217048,0.0,5.86492,0.0222746,178.98
0.977963184938,10,221.11929297447205,-0.046629,1598,501.931947421,31.763,218971,0.0,5.83574,0.0196569,180.02
0.984722290188,12,223.16022086143494,-0.0546112,1610,504.821078661,22.4626,221177,0.0,5.81401,0.0220804,181.08
0.986480763182,11,225.21116495132446,-0.0515151,1621,502.549034075,22.1435,223180,0.0,5.78794,0.0199731,180.32
