EpisodesSoFar,loss_vf_loss,loss_ent,EpRewMean,ev_tdlam_before,EpThisIter,loss_kl,TimeElapsed,TimestepsSoFar,loss_pol_surr,loss_pol_entpen,EpLenMean
3317,0.403895,-1.57194,-10.310572749,0.907526008785,41,0.0148603,142.18718218803406,165850,-0.013945,0.0,50.0
3358,0.516035,-1.59672,-10.5682302356,0.875945813954,41,0.0176174,143.93087911605835,167900,-0.0229051,0.0,50.0
3399,0.314144,-1.60717,-10.4147242412,0.910102285445,41,0.0224275,145.70217990875244,169950,-0.0177032,0.0,50.0
3440,0.298416,-1.6336,-10.1957006249,0.901029929519,41,0.0143768,147.43666553497314,172000,-0.0239746,0.0,50.0
3481,0.452667,-1.67054,-10.3155578437,0.85219116509,41,0.0160285,149.19478178024292,174050,-0.0151788,0.0,50.0
3522,0.229255,-1.68539,-10.2746310302,0.923182964325,41,0.0169442,150.9284598827362,176100,-0.0190267,0.0,50.0
3563,0.198364,-1.6849,-10.0121180037,0.937166556716,41,0.018054,152.69517970085144,178150,-0.0123963,0.0,50.0
3604,0.298194,-1.71422,-9.96078346844,0.894866295159,41,0.0171104,154.4370458126068,180200,-0.0177031,0.0,50.0
3645,0.249717,-1.75418,-9.5676945947,0.880131877959,41,0.031517,156.1950068473816,182250,-0.000560814,0.0,50.0
3686,0.257965,-1.76243,-9.60952301531,0.893691010773,41,0.0322354,157.9438831806183,184300,-0.00983207,0.0,50.0
3727,0.239112,-1.79029,-9.54702332668,0.913317263126,41,0.0192059,159.69526410102844,186350,-0.0197145,0.0,50.0
3768,0.280969,-1.83174,-9.51995242774,0.89324696362,41,0.0182029,161.43690848350525,188400,-0.0209258,0.0,50.0
3809,0.249761,-1.85026,-9.21139661184,0.91467846185,41,0.0134356,163.1868019104004,190450,-0.0200009,0.0,50.0
3850,0.21047,-1.8762,-9.2331206756,0.919322431087,41,0.0222355,164.9366159439087,192500,-0.014203,0.0,50.0
3891,0.230071,-1.88605,-9.55389927777,0.919959895313,41,0.0140285,166.67138147354126,194550,-0.0142813,0.0,50.0
