EpThisIter,TimeElapsed,EpisodesSoFar,EpRewMean,ev_tdlam_before,loss_ent,loss_pol_surr,loss_vf_loss,loss_pol_entpen,TimestepsSoFar,EpLenMean,loss_kl
2,227.69795107841492,1041,1000.0,-0.0100545883179,0.91187,-0.00596527,69.0641,0.0,288129,1000.0,0.00889073
2,229.3075761795044,1043,1000.0,-0.00631296634674,0.914961,-0.00390883,65.9441,0.0,290129,1000.0,0.00507645
2,230.91659593582153,1045,1000.0,-0.0276561975479,0.900694,-0.00282247,68.2293,0.0,292129,1000.0,0.00775743
2,232.5266396999359,1047,1000.0,-0.00866770744324,0.892683,-0.00496161,68.4404,0.0,294129,1000.0,0.00966591
2,234.13519096374512,1049,1000.0,0.00200819969177,0.883604,-0.00225317,65.8199,0.0,296129,1000.0,0.00224734
2,235.7602469921112,1051,1000.0,0.018059015274,0.885379,-0.0040716,65.9966,0.0,298129,1000.0,0.00590905
2,237.36988258361816,1053,1000.0,0.0431212186813,0.881032,-0.00830134,65.4518,0.0,300129,1000.0,0.0117601
2,238.9790961742401,1055,1000.0,-0.00479161739349,0.881243,-0.00361144,68.5142,0.0,302129,1000.0,0.0112729
3,240.58831119537354,1058,1000.0,0.0162681937218,0.862125,-0.00440959,96.5173,0.0,305129,1000.0,0.00339946
2,242.19848322868347,1060,1000.0,0.00836378335953,0.873863,-0.00179469,68.1468,0.0,307129,1000.0,0.00297993
2,243.8234589099884,1062,1000.0,0.0228189229965,0.882263,-0.00385898,67.9942,0.0,309129,1000.0,0.00748575
2,245.45134449005127,1064,1000.0,-0.0518612861633,0.88492,-0.00973025,66.9181,0.0,311129,1000.0,0.00958199
2,247.0586395263672,1066,1000.0,0.00692147016525,0.863471,-0.00576312,65.3591,0.0,313129,1000.0,0.00953777
2,248.6669545173645,1068,1000.0,0.0009765625,0.870144,-0.0022381,68.7264,0.0,315129,1000.0,0.00832231
2,250.2614243030548,1070,1000.0,0.0178798437119,0.858105,-0.00578985,66.6038,0.0,317129,1000.0,0.0106102
2,251.88238739967346,1072,1000.0,-4.2200088501e-05,0.86857,-0.00207351,67.7317,0.0,319129,1000.0,0.00262679
2,253.4791922569275,1074,1000.0,-0.00836884975433,0.881166,-0.008562,66.9264,0.0,321129,1000.0,0.0139788
2,255.0729033946991,1076,1000.0,0.00267535448074,0.870388,-0.00415182,68.0255,0.0,323129,1000.0,0.0102072
2,256.72945380210876,1078,1000.0,-0.0230745077133,0.854083,-0.00668628,67.5364,0.0,325129,1000.0,0.0114671
2,258.3228192329407,1080,1000.0,0.00804543495178,0.864898,-0.00305868,67.3417,0.0,327129,1000.0,0.00859836
2,259.9480402469635,1082,1000.0,-0.0273523330688,0.858872,-0.00627702,63.3637,0.0,329129,1000.0,0.00932911
4,261.5440969467163,1086,983.82,0.917949847877,0.863226,-0.0137998,19.8506,0.0,331511,983.82,0.0203864
2,263.15230774879456,1088,983.82,0.0645388364792,0.867289,-0.00482124,65.1303,0.0,333511,983.82,0.00643815
2,264.76094031333923,1090,983.82,-0.0184972286224,0.867554,-0.00535783,70.4655,0.0,335511,983.82,0.00579121
2,266.3707764148712,1092,983.82,-0.0033837556839,0.861618,-0.00504148,69.2193,0.0,337511,983.82,0.00692765
2,267.9945707321167,1094,983.82,-0.0087023973465,0.866377,-0.00290711,69.2761,0.0,339511,983.82,0.00420225
2,269.60392689704895,1096,983.82,-0.00832033157349,0.861935,-0.00193499,68.5836,0.0,341511,983.82,0.00267532
2,271.2143521308899,1098,983.82,-0.0034396648407,0.868395,-0.0057694,68.7276,0.0,343511,983.82,0.00754479
2,272.82410049438477,1100,983.82,0.00765734910965,0.862917,-0.00464012,68.4446,0.0,345511,983.82,0.00739265
2,274.43247842788696,1102,983.82,0.0950090289116,0.87958,-0.00528795,39.3641,0.0,347511,983.82,0.00427017
2,276.041485786438,1104,983.82,-0.0182785987854,0.882877,-0.00243887,70.4878,0.0,349511,983.82,0.0131198
2,277.65117168426514,1106,983.82,0.00383770465851,0.871164,-0.00278432,69.0321,0.0,351511,983.82,0.00508344
2,279.2915017604828,1108,983.82,-0.0285223722458,0.842922,-0.00496545,67.6688,0.0,353511,983.82,0.00633244
2,280.9023869037628,1110,983.82,0.480185389519,0.818077,-0.00463375,61.8386,0.0,355511,983.82,0.00806221
2,282.5417549610138,1112,983.82,0.0362090468407,0.808285,-0.00404108,66.9861,0.0,357511,983.82,0.0050611
2,284.15145111083984,1114,983.82,0.042817234993,0.820127,-0.00619049,67.9832,0.0,359511,983.82,0.0115203
2,285.7682476043701,1116,983.82,0.0588907599449,0.822395,-0.00728926,68.0358,0.0,361511,983.82,0.0126613
3,287.38613200187683,1119,983.82,0.00349402427673,0.828566,-0.00422852,100.18,0.0,364511,983.82,0.00700389
2,288.9949243068695,1121,983.82,0.00183391571045,0.833024,-0.00308873,70.4221,0.0,366511,983.82,0.0053296
2,290.60504174232483,1123,983.82,0.0233288407326,0.834461,-0.00471487,68.6022,0.0,368511,983.82,0.00758398
2,292.2131779193878,1125,983.82,-0.0153746604919,0.813015,-0.00815855,69.1779,0.0,370511,983.82,0.00648543
2,293.80890345573425,1127,983.82,-0.012442111969,0.832838,-0.0018351,69.4744,0.0,372511,983.82,0.00351171
2,295.43227791786194,1129,983.82,0.0138533115387,0.853265,-0.00351034,68.1659,0.0,374511,983.82,0.00554133
2,297.0577392578125,1131,983.82,0.0176970362663,0.842736,-0.00551241,69.5507,0.0,376511,983.82,0.00696167
2,298.6548569202423,1133,983.82,0.00827008485794,0.833042,-0.00277292,69.1347,0.0,378511,983.82,0.0275019
2,300.2602610588074,1135,983.82,-0.00134134292603,0.834645,-0.00615912,69.5899,0.0,380511,983.82,0.0134147
2,301.8540072441101,1137,983.82,-0.0106638669968,0.825218,-0.00281505,70.0855,0.0,382511,983.82,0.00268972
2,303.46317410469055,1139,983.82,-0.010328412056,0.818771,-0.00540035,68.7606,0.0,384511,983.82,0.00549948
2,305.0588459968567,1141,983.82,0.0230149030685,0.810255,-0.00305395,68.7613,0.0,386511,983.82,0.00305545
2,306.67384099960327,1143,983.82,0.00540351867676,0.813271,-0.00421157,69.2957,0.0,388511,983.82,0.00993526
2,308.2758822441101,1145,983.82,0.0385820269585,0.800835,-0.00999314,60.0209,0.0,390511,983.82,0.00733283
2,309.88640570640564,1147,983.82,0.0129700899124,0.792669,-0.0102646,67.9275,0.0,392511,983.82,0.0106637
2,311.52599239349365,1149,983.82,-0.0148363113403,0.79355,-0.00224822,70.0559,0.0,394511,983.82,0.00440723
2,313.1375663280487,1151,983.82,-0.014293551445,0.795786,-0.00501708,68.399,0.0,396511,983.82,0.00723113
2,314.74557161331177,1153,983.82,0.0149276852608,0.80869,-0.00425986,67.496,0.0,398511,983.82,0.0068811
2,316.33928322792053,1155,983.82,-0.016415476799,0.808763,-0.00560913,68.4472,0.0,400511,983.82,0.00898018
2,317.9493944644928,1157,983.82,0.00589925050735,0.798384,-0.00285295,68.4497,0.0,402511,983.82,0.0053258
2,319.5577688217163,1159,983.82,0.041409432888,0.802857,-0.00574955,64.9611,0.0,404511,983.82,0.00923725
3,321.151221036911,1162,983.82,0.0261504650116,0.79304,-0.00342302,87.4981,0.0,407511,983.82,0.0055905
2,322.76031947135925,1164,983.82,0.00814461708069,0.779314,-0.00459739,68.8782,0.0,409511,983.82,0.00749093
2,324.3701069355011,1166,983.82,0.0300425887108,0.780605,-0.00492517,68.0963,0.0,411511,983.82,0.00596159
2,325.9794600009918,1168,983.82,0.019522190094,0.787804,-0.00199811,69.1832,0.0,413511,983.82,0.00603071
2,327.58825635910034,1170,983.82,-0.0296452045441,0.798676,-0.00533421,69.7369,0.0,415511,983.82,0.0094218
2,329.2232162952423,1172,983.82,0.000276565551758,0.79763,-0.00302461,68.842,0.0,417511,983.82,0.00522332
2,330.8348937034607,1174,983.82,0.0101145505905,0.813385,-0.00413606,68.9513,0.0,419511,983.82,0.00720522
2,332.43304991722107,1176,983.82,-0.0106720924377,0.810244,-0.00402285,68.8075,0.0,421511,983.82,0.00745591
2,334.04146432876587,1178,983.82,0.00698381662369,0.818979,-0.00377262,68.7822,0.0,423511,983.82,0.00527246
2,335.6352026462555,1180,983.82,-0.016414642334,0.814349,-0.0027707,69.0155,0.0,425511,983.82,0.0052647
2,337.245313167572,1182,983.82,-0.00305211544037,0.807834,-0.00243238,68.6098,0.0,427511,983.82,0.0063192
2,338.8556578159332,1184,991.1,-0.0135773420334,0.804535,-0.00382338,68.2528,0.0,429511,991.1,0.00550154
2,340.47894525527954,1186,1000.0,-0.00904905796051,0.79833,-0.0068605,67.0215,0.0,431511,1000.0,0.00573949
2,342.08854508399963,1188,1000.0,0.00506848096848,0.792074,-0.00388801,68.7267,0.0,433511,1000.0,0.0133228
2,343.69892382621765,1190,1000.0,-0.00834155082703,0.800755,-0.00203678,68.6417,0.0,435511,1000.0,0.00238999
2,345.30859375,1192,1000.0,-0.0109626054764,0.829588,-0.00461923,68.1861,0.0,437511,1000.0,0.00766943
2,346.9021270275116,1194,1000.0,0.0216514468193,0.837461,-0.00690785,67.5384,0.0,439511,1000.0,0.0120558
2,348.51083302497864,1196,1000.0,-0.0319262742996,0.843029,-0.00367238,69.0976,0.0,441511,1000.0,0.012961
2,350.1044101715088,1198,1000.0,0.00209099054337,0.857927,-0.0026636,69.3315,0.0,443511,1000.0,0.0202274
2,351.714111328125,1200,1000.0,-0.0099675655365,0.86393,-0.00313942,69.6183,0.0,445511,1000.0,0.00673447
3,353.323228597641,1203,1000.0,0.00325894355774,0.878895,-0.00422212,101.252,0.0,448511,1000.0,0.00786033
2,354.9479308128357,1205,1000.0,0.0310690999031,0.89155,-0.00295829,64.4824,0.0,450511,1000.0,0.00485948
2,356.5419626235962,1207,1000.0,-0.0598381757736,0.883001,-0.00401467,69.7965,0.0,452511,1000.0,0.00341051
2,358.1511414051056,1209,1000.0,-0.00456035137177,0.895121,-0.00367796,69.1221,0.0,454511,1000.0,0.0057275
2,359.7605125904083,1211,1000.0,-0.0161669254303,0.908028,-0.00396578,68.7171,0.0,456511,1000.0,0.0165285
2,361.36981749534607,1213,1000.0,-0.00193190574646,0.900604,-0.00384629,68.483,0.0,458511,1000.0,0.00375748
2,362.97889947891235,1215,1000.0,-0.0268810987473,0.882916,-0.00520052,65.7086,0.0,460511,1000.0,0.00790017
2,364.5888502597809,1217,1000.0,-0.0111286640167,0.895447,-0.00519724,66.7896,0.0,462511,1000.0,0.00623318
2,366.2306797504425,1219,1000.0,0.00746488571167,0.863557,-0.0080071,65.9451,0.0,464511,1000.0,0.00780058
2,367.8390808105469,1221,1000.0,-0.0095306634903,0.871002,-0.00700212,68.5459,0.0,466511,1000.0,0.00753281
2,369.4649546146393,1223,1000.0,-0.0182970762253,0.863532,-0.00505238,69.1837,0.0,468511,1000.0,0.00745196
