EpisodesSoFar,TimestepsSoFar,loss_kl,TimeElapsed,loss_pol_surr,loss_pol_entpen,loss_vf_loss,EpRewMean,EpThisIter,ev_tdlam_before,EpLenMean,loss_ent
2127,304969,0.0226103,308.6851181983948,-0.0345459,0.0,4.32322,705.274520392,9,0.996966601117,206.96,1.91278
2137,307057,0.0211996,310.75286841392517,-0.0350887,0.0,3.33151,710.712467867,10,0.998809847748,207.96,1.89861
2147,309187,0.0189406,312.7991273403168,-0.024933,0.0,10.5751,713.423124687,10,0.996915754862,208.43,1.90119
2156,311116,0.0208987,314.8461482524872,-0.0359575,0.0,4.64416,717.202509501,9,0.998002037406,209.27,1.88869
2166,313239,0.019794,316.87775182724,-0.0394283,0.0,4.32108,718.695374557,10,0.998590182513,209.56,1.8517
2175,315205,0.0135859,318.9393880367279,-0.0362754,0.0,5.75479,724.129244926,9,0.998198852292,210.49,1.83247
2185,317358,0.0184263,321.00471782684326,-0.0312713,0.0,4.85735,730.246194278,10,0.998364718282,211.68,1.80565
2194,319399,0.0141412,323.04203391075134,-0.0381641,0.0,7.30261,737.177229469,9,0.997244408121,213.46,1.79081
2203,321402,0.0184938,325.07231974601746,-0.0316872,0.0,9.82552,742.696783755,9,0.996418935247,215.08,1.79284
2212,323504,0.0143074,327.10500383377075,-0.0372029,0.0,12.4384,752.1425149,9,0.996256684186,217.73,1.79348
2221,325571,0.0199908,329.15505719184875,-0.0352088,0.0,5.44467,759.223525575,9,0.996900620172,219.68,1.78138
2230,327667,0.0176253,331.2056670188904,-0.0366147,0.0,3.88923,764.355929222,9,0.997682546498,221.0,1.76025
2238,329696,0.0160762,333.285028219223,-0.0312672,0.0,8.82847,774.00610349,8,0.99360284023,224.27,1.7864
2246,331629,0.0168979,335.32369112968445,-0.0405122,0.0,7.29303,781.502173978,8,0.996969896602,226.32,1.74216
2255,333748,0.0183895,337.3569583892822,-0.0380457,0.0,8.69978,787.834407709,9,0.996223889524,228.46,1.72701
2263,335832,0.0216577,339.40257024765015,-0.0353324,0.0,6.68759,799.664319554,8,0.996559456922,232.23,1.69143
2271,337653,0.0162772,341.4643077850342,-0.0373878,0.0,11.0389,801.580211881,8,0.994901400525,233.23,1.69454
2279,339849,0.0213165,343.5332441329956,-0.0349628,0.0,6.74223,816.285481361,8,0.996758298017,238.01,1.6637
2287,341971,0.0218538,345.5800235271454,-0.0336417,0.0,8.8209,826.50205145,8,0.994799480774,241.37,1.65085
2294,343847,0.0203953,347.62939858436584,-0.0366705,0.0,10.2091,835.823785204,7,0.996102816425,244.48,1.6305
2303,346039,0.0151758,349.71390891075134,-0.0370062,0.0,9.02228,842.335464529,9,0.994954924565,246.37,1.60978
2310,347948,0.0163869,351.7922713756561,-0.0371047,0.0,6.01271,849.649266888,7,0.996865464374,248.4,1.58903
2317,349880,0.0200493,353.8402330875397,-0.0313703,0.0,13.4706,863.211800516,7,0.995154336561,252.56,1.5813
