loss_ent,TimeElapsed,TimestepsSoFar,EpRewMean,loss_pol_entpen,loss_pol_surr,loss_vf_loss,loss_kl,ev_tdlam_before,EpLenMean,EpThisIter,EpisodesSoFar
4.89432,271.13032031059265,268218,638.160370853,0.0,-0.0563474,21.5702,0.0206969,0.986825063825,220.68,9,1756
4.89021,273.1846842765808,270235,634.166135085,0.0,-0.0514655,26.5781,0.0192444,0.984432575293,219.91,9,1765
4.86128,275.2629020214081,272330,637.381896402,0.0,-0.0544301,16.4675,0.0228745,0.992375712842,220.72,9,1774
4.8562,277.309606552124,274231,645.420906087,0.0,-0.0557679,15.6194,0.023951,0.990834486671,223.13,8,1782
4.82626,279.3718228340149,276311,648.758988406,0.0,-0.0563708,20.0979,0.0238661,0.989421073347,223.97,9,1791
4.79575,281.4340569972992,278497,657.988126273,0.0,-0.0531707,12.7382,0.0227382,0.992120762356,226.92,9,1800
4.76258,283.48088908195496,280440,666.522837093,0.0,-0.0610647,11.281,0.0235338,0.989649454132,228.76,8,1808
4.74793,285.55968141555786,282622,679.650200321,0.0,-0.0631905,27.907,0.0237544,0.983133289963,232.47,9,1817
4.74088,287.60605001449585,284482,681.820769572,0.0,-0.0567104,37.8399,0.0231267,0.970244759694,233.37,8,1825
4.69354,289.68397641181946,286479,686.569148853,0.0,-0.0581928,32.9266,0.0232568,0.979058206081,235.41,8,1833
4.68854,291.73796343803406,288646,679.535118377,0.0,-0.0594734,42.1627,0.0200372,0.974952971563,234.51,10,1843
4.63467,293.8173713684082,290619,686.564745511,0.0,-0.0610038,23.2787,0.0228401,0.984818252735,236.26,8,1851
4.65582,295.87181401252747,292709,682.872914829,0.0,-0.0563839,33.7964,0.0222282,0.980716176331,235.07,9,1860
4.65124,297.92091822624207,294882,689.056364498,0.0,-0.0564499,26.5404,0.0196047,0.98186920397,236.8,9,1869
4.62521,299.98969411849976,296781,689.701830901,0.0,-0.0584594,25.9688,0.0237159,0.984654187225,236.82,8,1877
4.61434,302.04324316978455,298959,694.908079347,0.0,-0.0540187,36.9584,0.0213033,0.978024832904,237.72,9,1886
4.60617,304.1101756095886,301025,693.490482486,0.0,-0.0612826,33.4275,0.0208683,0.976325344294,237.67,9,1895
4.5702,306.1608009338379,303075,688.189025325,0.0,-0.0609217,35.2341,0.0249514,0.97824809514,236.24,9,1904
4.5567,308.2380425930023,304948,686.655492715,0.0,-0.0580318,37.9491,0.022489,0.97589350678,235.65,8,1912
4.5124,310.2862403392792,307051,687.284978897,0.0,-0.0466368,72.6329,0.0210551,0.922697752714,235.75,9,1921
4.46388,312.3402433395386,309183,686.37194339,0.0,-0.056932,39.1267,0.0238635,0.972511468455,234.86,9,1930
4.41692,314.4029576778412,311129,691.848623318,0.0,-0.063065,30.4246,0.0243192,0.980677492917,235.79,8,1938
4.38251,316.4500935077667,313261,683.291083316,0.0,-0.0596758,94.7126,0.0219036,0.959108516574,233.51,10,1948
4.31936,318.52849769592285,315302,692.465989092,0.0,-0.059069,36.433,0.0243927,0.974763676524,235.46,8,1956
4.30543,320.56782364845276,317328,685.502677892,0.0,-0.0497164,99.4986,0.0196881,0.941454675049,233.8,9,1965
4.26755,322.63700461387634,319344,691.777126136,0.0,-0.0532033,43.7633,0.0227436,0.969351550564,234.79,8,1973
4.23071,324.68402433395386,321284,692.462504221,0.0,-0.0587795,43.6884,0.026589,0.969162285328,234.86,8,1981
4.16388,326.7623944282532,323339,702.062447289,0.0,-0.0574983,37.6802,0.0257888,0.97859187983,236.77,8,1989
4.12748,328.80978417396545,325572,713.276159505,0.0,-0.0570237,57.9255,0.0244807,0.960506655276,238.84,9,1998
4.09502,330.8599338531494,327521,721.626889083,0.0,-0.0419066,145.305,0.023176,0.916529349983,240.53,8,2006
4.08046,332.9264831542969,329537,725.51284594,0.0,-0.063577,50.9055,0.0230408,0.967746455222,241.02,8,2014
4.03485,334.9734318256378,331594,736.66869586,0.0,-0.0575682,47.1564,0.0239314,0.975127687678,243.53,8,2022
3.98828,337.05152320861816,333586,740.266487342,0.0,-0.0598247,66.4187,0.0211966,0.970788951963,244.03,8,2030
3.98879,339.0983843803406,335870,746.2995471,0.0,-0.0563476,35.4542,0.034164,0.98614194151,244.92,9,2039
3.97109,341.1686553955078,337709,760.376590954,0.0,-0.0586635,34.3969,0.0237684,0.982954978943,248.56,7,2046
3.96701,343.2156867980957,339896,773.649674303,0.0,-0.0592225,35.9009,0.0224576,0.981125077233,251.62,8,2054
3.9779,345.26264333724976,341876,783.682740228,0.0,-0.0638,37.9567,0.0267353,0.97816211544,254.2,7,2061
3.95177,347.30969977378845,343953,803.648463521,0.0,-0.0633526,48.251,0.0292007,0.972064249218,259.29,7,2068
3.94884,349.37229180336,345943,806.935158518,0.0,-0.0576085,77.7008,0.0230477,0.960010703653,260.81,7,2075
3.94746,351.4432444572449,347940,807.006243376,0.0,-0.0604859,70.2645,0.0248854,0.958844151348,261.31,8,2083
