ev_tdlam_before,loss_pol_surr,TimeElapsed,loss_ent,loss_vf_loss,EpThisIter,EpRewMean,EpisodesSoFar,TimestepsSoFar,loss_pol_entpen,loss_kl,EpLenMean
0.982016138732,-0.052317,256.0912446975708,5.56952,33.9716,8,677.624842383,1528,249688,0.0,0.018706,228.76
0.983902750537,-0.0506543,258.1646349430084,5.56186,38.676,9,691.529540098,1537,251844,0.0,0.0212151,231.82
0.98764047306,-0.0489251,260.2345132827759,5.55327,31.2928,8,706.162841218,1545,253871,0.0,0.0231878,234.27
0.986957425252,-0.053412,262.3277630805969,5.55977,25.9464,7,723.334630168,1552,255794,0.0,0.0215914,237.5
0.979398842901,-0.0548505,264.40760684013367,5.58326,49.2499,9,735.351560946,1561,257969,0.0,0.0193127,239.49
0.976143226027,-0.0515461,266.5170636177063,5.56735,48.1054,8,741.966787885,1569,259896,0.0,0.0218638,240.56
0.978506410494,-0.0531781,268.5818064212799,5.55795,59.6928,9,753.820037926,1578,262133,0.0,0.0206537,243.37
0.981084942818,-0.0511954,270.695547580719,5.55155,38.7704,8,763.875517664,1586,264051,0.0,0.0176826,245.07
0.978353474289,-0.0486605,272.77354288101196,5.5375,58.3685,8,779.892444073,1594,266200,0.0,0.018244,249.33
0.983716726303,-0.0513312,274.86702966690063,5.49371,43.6101,7,788.274446321,1601,268028,0.0,0.0227395,250.31
0.981152860448,-0.0560813,276.9458677768707,5.482,45.126,8,798.87588354,1609,270126,0.0,0.0207874,253.22
0.987792389467,-0.0533101,279.0321726799011,5.47713,35.2818,7,810.595485793,1616,272179,0.0,0.0216314,255.66
0.978547237813,-0.0515044,281.1104609966278,5.42275,58.4429,7,827.231186262,1623,274402,0.0,0.0233272,259.65
0.985783141106,-0.0521874,283.18737983703613,5.38452,38.1232,6,847.711015763,1629,276355,0.0,0.0250207,264.31
0.970441564918,-0.0522402,285.2963614463806,5.37666,72.4732,7,854.762710049,1636,278182,0.0,0.022643,265.93
0.977838866413,-0.041933,287.3745698928833,5.36342,67.257,7,879.58011383,1643,280554,0.0,0.0186213,272.19
0.980151431635,-0.0524941,289.4701359272003,5.32575,51.2208,6,896.749321225,1649,282577,0.0,0.0215046,276.29
0.975425133482,-0.051309,291.53347849845886,5.27872,72.938,6,912.437891833,1655,284612,0.0,0.020978,280.49
0.986841129139,-0.0539221,293.6333701610565,5.24073,39.252,4,935.288308249,1659,286318,0.0,0.0202422,286.67
0.980114845559,-0.0500194,295.7190296649933,5.18114,57.2452,6,979.91071773,1665,288640,0.0,0.0183833,297.41
0.988147671334,-0.0499838,297.81190156936646,5.16737,43.6123,6,1002.89804787,1671,290573,0.0,0.0244667,302.24
0.978724386543,-0.0508901,299.89088320732117,5.13372,60.473,5,1040.39442058,1676,292680,0.0,0.0231762,310.99
0.98124313727,-0.049604,301.9529550075531,5.13067,59.0781,4,1079.04159747,1680,294529,0.0,0.0242829,320.2
0.962189216167,-0.0458787,304.0378770828247,5.14532,143.139,4,1120.64462519,1684,296501,0.0,0.0199556,330.11
0.97871414572,-0.0472536,306.11631178855896,5.11803,68.4376,5,1156.10478939,1689,298683,0.0,0.019511,339.05
0.965091057122,-0.0383736,308.19554257392883,5.09708,192.524,5,1196.73995797,1694,301037,0.0,0.0229809,348.37
0.985230449587,-0.0445649,310.2667467594147,5.1063,52.1382,4,1230.1609033,1698,302892,0.0,0.0192737,355.98
0.981817267835,-0.0489393,312.35895586013794,5.04801,77.0391,5,1266.82220596,1703,305019,0.0,0.0220791,364.5
0.985708252527,-0.0512574,314.4369111061096,5.00684,49.9711,5,1292.80657591,1708,306862,0.0,0.0200862,370.24
0.96437837556,-0.0402855,316.52219581604004,5.00423,117.578,4,1323.52793796,1712,308663,0.0,0.0177548,377.07
0.977793527767,-0.0501412,318.5865023136139,4.98218,106.616,5,1367.79746857,1717,311122,0.0,0.0225715,386.91
0.96081553027,-0.0474167,320.6562922000885,4.98516,96.7174,3,1388.03441994,1720,312615,0.0,0.0320169,391.36
0.964993692935,-0.0430697,322.73460721969604,4.98791,144.584,4,1449.31777446,1724,315254,0.0,0.0186385,405.28
