loss_pol_surr,loss_kl,EpRewMean,EpLenMean,loss_vf_loss,EpisodesSoFar,EpThisIter,loss_ent,TimestepsSoFar,loss_pol_entpen,ev_tdlam_before,TimeElapsed
-0.00588391,0.00526776,945.65,945.65,68.5825,1049,2,0.891544,366057,0.0,-0.000216484069824,287.22497820854187
-0.00618179,0.00625966,945.65,945.65,67.5326,1051,2,0.90333,368057,0.0,0.00961273908615,288.8190088272095
-0.00413722,0.00574883,945.65,945.65,69.2063,1053,2,0.925556,370057,0.0,0.00711977481842,290.40893602371216
-0.00837576,0.0048136,938.81,938.81,71.4936,1056,3,0.930582,372373,0.0,0.10153311491,292.018306016922
-0.0051684,0.00583833,938.81,938.81,52.6413,1058,2,0.935314,374373,0.0,0.160027801991,293.6120502948761
-0.00669221,0.00459531,938.81,938.81,71.6971,1060,2,0.929714,376373,0.0,0.0144929885864,295.22142124176025
-0.00586938,0.00835873,938.81,938.81,72.3274,1062,2,0.901852,378373,0.0,-0.0396583080292,296.83079171180725
-0.00966119,0.0063113,938.81,938.81,71.4272,1064,2,0.894473,380373,0.0,-0.0105603933334,298.4401626586914
-0.00406736,0.00346026,938.81,938.81,71.0997,1066,2,0.892876,382373,0.0,-0.00208353996277,300.03390526771545
-0.00229978,0.00349867,938.81,938.81,67.9845,1068,2,0.897521,384373,0.0,-0.00376093387604,301.6276514530182
-0.00637601,0.00542516,938.81,938.81,69.2214,1070,2,0.893669,386373,0.0,-0.00238680839539,303.23702239990234
-0.00647285,0.0089027,938.81,938.81,68.5776,1072,2,0.916165,388373,0.0,-0.00848758220673,304.8307671546936
-0.00694622,0.0125453,938.81,938.81,69.6244,1074,2,0.927824,390373,0.0,-0.00284743309021,306.4401378631592
-0.0126843,0.0103173,943.07,943.07,68.7468,1077,3,0.916854,392819,0.0,0.0754972696304,308.033882856369
-0.0078164,0.0101216,943.07,943.07,69.3116,1079,2,0.92113,394819,0.0,-0.0109405517578,309.6322531700134
-0.00641144,0.0104148,943.07,943.07,68.4101,1081,2,0.932655,396819,0.0,-0.0328586101532,311.22185611724854
-0.00699845,0.00614534,952.87,952.87,65.546,1083,2,0.940882,398819,0.0,0.0179895758629,312.8273026943207
-0.00885171,0.0063946,952.87,952.87,68.4805,1085,2,0.922654,400819,0.0,-0.0118989944458,314.4200186729431
-0.00385909,0.00560285,952.87,952.87,57.3629,1087,2,0.921719,402819,0.0,-0.00850439071655,316.02300572395325
-0.0113012,0.0118497,952.87,952.87,65.7534,1089,2,0.893106,404819,0.0,0.10404497385,317.63149666786194
-0.00488993,0.00633511,952.87,952.87,68.6653,1091,2,0.912489,406819,0.0,-0.0453971624374,319.2334318161011
-0.00795167,0.00587133,952.87,952.87,67.116,1093,2,0.900782,408819,0.0,-0.00544631481171,320.83093547821045
-0.00725087,0.0120273,952.87,952.87,68.2667,1095,2,0.904037,410819,0.0,0.00173431634903,322.43286871910095
-0.00723348,0.00817716,952.87,952.87,67.8543,1097,2,0.895723,412819,0.0,0.000602126121521,324.03563714027405
-0.00566886,0.00500442,952.87,952.87,59.5974,1099,2,0.895077,414819,0.0,0.17343968153,325.6286199092865
-0.00730906,0.00715022,952.87,952.87,66.7675,1101,2,0.90709,416819,0.0,0.0175632238388,327.2388665676117
