EpLenMean,loss_kl,loss_vf_loss,loss_pol_entpen,EpThisIter,EpRewMean,TimestepsSoFar,loss_pol_surr,loss_ent,ev_tdlam_before,TimeElapsed,EpisodesSoFar
932.57,0.00994689,67.7022,0.0,2,932.57,304398,-0.00983893,1.06475,0.00199240446091,239.10914063453674,1081
932.57,0.00687836,61.6843,0.0,2,932.57,306398,-0.00568604,1.06627,0.0113232135773,240.7187099456787,1083
932.57,0.00450704,69.3241,0.0,2,932.57,308398,-0.00648931,1.05636,-0.0358645915985,242.31353998184204,1085
932.57,0.00779257,59.2703,0.0,2,932.57,310398,-0.0103767,1.04671,0.0357555747032,243.9291684627533,1087
932.57,0.0108895,69.0823,0.0,2,932.57,312398,-0.00581684,1.05414,-0.008380651474,245.5313377380371,1089
934.54,0.0126416,66.2177,0.0,2,934.54,314398,-0.00909951,1.04524,0.00301730632782,247.12540292739868,1091
934.54,0.00295907,84.8931,0.0,3,934.54,317398,-0.00298452,1.06471,0.000900447368622,248.7184338569641,1094
939.33,0.00455784,64.6991,0.0,2,939.33,319398,-0.00610469,1.05614,0.0140510201454,250.3291096687317,1096
939.33,0.00704225,68.2308,0.0,2,939.33,321398,-0.00855032,1.04781,-0.0547708272934,251.9217026233673,1098
939.33,0.00734064,68.4585,0.0,2,939.33,323398,-0.00653768,1.06125,-0.00355291366577,253.51515865325928,1100
941.06,0.0064649,68.4734,0.0,2,941.06,325398,-0.00715051,1.05713,-0.00215232372284,255.12517046928406,1102
934.23,0.00491046,62.1325,0.0,2,934.23,326715,-0.0093955,1.0603,0.00614666938782,256.7201566696167,1104
934.23,0.00720807,96.6518,0.0,3,934.23,329715,-0.00895303,1.06072,0.0101833939552,258.3277163505554,1107
934.23,0.00777069,66.5567,0.0,2,934.23,331715,-0.00769589,1.05855,0.0221413969994,259.9213659763336,1109
934.23,0.008287,64.744,0.0,2,934.23,333715,-0.00645255,1.09312,0.0243030786514,261.51683926582336,1111
934.23,0.0054114,65.7463,0.0,2,934.23,335715,-0.0054125,1.09342,0.0469027161598,263.1647238731384,1113
934.23,0.00760051,63.2528,0.0,2,934.23,337715,-0.00468885,1.12412,0.0899142622948,264.78079748153687,1115
934.23,0.00514972,66.1337,0.0,2,934.23,339715,-0.00654645,1.1225,0.0644971728325,266.3744366168976,1117
934.23,0.00870806,69.1972,0.0,2,934.23,341715,-0.00510529,1.11519,0.020756483078,268.00027298927307,1119
950.93,0.00375639,69.1861,0.0,2,950.93,343715,-0.00325973,1.11023,-0.0285294055939,269.60934925079346,1121
960.42,0.010941,58.9295,0.0,2,960.42,345715,-0.00858614,1.12915,0.116906285286,271.2037465572357,1123
960.42,0.00651497,67.045,0.0,2,960.42,347715,-0.0068242,1.12951,0.0504231452942,272.79697585105896,1125
965.75,0.0124911,70.5028,0.0,2,965.75,349715,-0.00573065,1.13763,-0.000234961509705,274.39806294441223,1127
965.75,0.00961821,67.06,0.0,2,965.75,351715,-0.00771055,1.14931,0.0256589651108,276.00014305114746,1129
965.75,0.00546615,68.0212,0.0,2,965.75,353715,-0.00385717,1.15336,0.0273585915565,277.6100490093231,1131
965.75,0.0105736,68.3256,0.0,2,965.75,355715,-0.00812412,1.17771,0.0162087082863,279.20456981658936,1133
965.75,0.00638359,69.2832,0.0,2,965.75,357715,-0.00511361,1.17981,-0.00776743888855,280.81263518333435,1135
965.75,0.00775161,68.2229,0.0,2,965.75,359715,-0.00686793,1.18192,0.0157136321068,282.423033952713,1137
965.75,0.0063866,65.8874,0.0,2,965.75,361715,-0.00568826,1.17191,0.0331076979637,284.0151913166046,1139
965.75,0.00495008,66.6104,0.0,2,965.75,363715,-0.00466518,1.18351,0.0291298031807,285.62504506111145,1141
969.99,0.00427066,71.5604,0.0,3,969.99,366186,-0.00993566,1.14648,0.0951600074768,287.203754901886,1144
977.27,0.00524398,68.988,0.0,2,977.27,368186,-0.00599971,1.14172,-0.0147360563278,288.8120458126068,1146
977.27,0.0114346,68.294,0.0,2,977.27,370186,-0.00729132,1.14961,0.0209388136864,290.4326114654541,1148
977.27,0.00268036,67.402,0.0,2,977.27,372186,-0.00401433,1.13624,0.0497508049011,292.0310869216919,1150
977.27,0.00659844,69.7032,0.0,2,977.27,374186,-0.00419198,1.13082,-0.0487061738968,293.6408050060272,1152
983.3,0.00644193,68.4406,0.0,2,983.3,376186,-0.00946168,1.11876,0.0206023454666,295.2186269760132,1154
983.3,0.00482869,68.9192,0.0,2,983.3,378186,-0.0035715,1.12806,0.0110172629356,296.827764749527,1156
983.3,0.00673559,68.6099,0.0,2,983.3,380186,-0.00593969,1.13131,0.00290274620056,298.42252564430237,1158
983.3,0.00178585,67.8482,0.0,2,983.3,382186,-0.00263846,1.13941,0.00942355394363,300.03183698654175,1160
983.3,0.0074118,67.6076,0.0,2,983.3,384186,-0.00671254,1.14522,0.0424771904945,301.62587547302246,1162
983.3,0.0160306,69.3684,0.0,2,983.3,386186,-0.00444173,1.15861,0.0307609438896,303.2363791465759,1164
983.3,0.0163087,69.763,0.0,2,983.3,388186,-0.0117824,1.17752,0.0146619677544,304.8285162448883,1166
987.88,0.00708825,71.3136,0.0,2,987.88,390186,-0.00328084,1.18499,0.00911831855774,306.4297790527344,1168
987.88,0.00914843,99.7595,0.0,3,987.88,393186,-0.00990883,1.21506,-0.0328299999237,308.03092098236084,1171
987.88,0.00939325,69.1094,0.0,2,987.88,395186,-0.00624177,1.22345,0.00877392292023,309.6417005062103,1173
987.88,0.00684857,55.7324,0.0,2,987.88,397186,-0.00777575,1.23613,-0.0776216983795,311.23412013053894,1175
987.88,0.00732185,68.5193,0.0,2,987.88,399186,-0.00449634,1.22662,-0.00257802009583,312.8285298347473,1177
985.23,0.0102546,68.3339,0.0,2,985.23,400921,-0.0116394,1.21938,0.010766685009,314.4225072860718,1179
985.23,0.00552891,68.4769,0.0,2,985.23,402921,-0.00501429,1.2271,-0.0042736530304,316.02334666252136,1181
985.23,0.0089251,68.6332,0.0,2,985.23,404921,-0.00684404,1.24811,-0.0207898616791,317.6250379085541,1183
