ev_tdlam_before,EpisodesSoFar,loss_vf_loss,EpLenMean,loss_pol_surr,EpRewMean,loss_ent,EpThisIter,loss_pol_entpen,TimestepsSoFar,TimeElapsed,loss_kl
-0.0228773355484,923,68.2313,875.8,-0.00426978,875.8,0.856123,2,0.0,194493,152.59776210784912,0.00256246
-0.00916254520416,925,68.2951,880.5,-0.00677131,880.5,0.888617,2,0.0,196493,154.1861753463745,0.00980972
0.000111222267151,927,68.3133,880.5,-0.00632633,880.5,0.897234,2,0.0,198493,155.78014540672302,0.0102209
0.0177207589149,929,57.9632,884.74,-0.00759678,884.74,0.891346,2,0.0,200493,157.38164234161377,0.0091072
-0.046151638031,931,68.4789,884.74,-0.00356197,884.74,0.901632,2,0.0,202493,158.9756519794464,0.00405926
0.0016713142395,933,67.4085,884.74,-0.00602184,884.74,0.915857,2,0.0,204493,160.59375309944153,0.0088671
-0.00724756717682,935,68.917,884.74,-0.00460774,884.74,0.924478,2,0.0,206493,162.19054293632507,0.00738711
-0.0130926370621,937,68.4848,891.21,-0.00502556,891.21,0.919925,2,0.0,208493,163.78428840637207,0.00587802
0.000169694423676,939,68.4274,891.21,-0.00869303,891.21,0.922547,2,0.0,210493,165.3780336380005,0.0155399
-0.00131821632385,941,68.5636,894.35,-0.00766627,894.35,0.914267,2,0.0,212493,166.98740243911743,0.0118649
-0.0193237066269,943,68.4383,909.19,-0.0051407,909.19,0.939375,2,0.0,214493,168.58114862442017,0.00506189
-0.000761151313782,945,68.4583,923.93,-0.00576002,923.93,0.946644,2,0.0,216493,170.19306826591492,0.0133647
-0.00758540630341,947,68.082,938.19,-0.00484276,938.19,0.965088,2,0.0,218493,171.79215240478516,0.00780131
-0.000123858451843,949,68.2219,945.42,-0.00526107,945.42,0.954224,2,0.0,220493,173.3957278728485,0.0086091
0.221750020981,954,58.7425,926.27,-0.0123706,926.27,0.969562,5,0.0,223180,174.98730874061584,0.00465486
0.00179988145828,956,66.8167,926.27,-0.00678723,926.27,0.969477,2,0.0,225180,176.58105492591858,0.00567986
