loss_kl,TimeElapsed,loss_ent,EpLenMean,loss_pol_surr,EpisodesSoFar,loss_pol_entpen,EpThisIter,loss_vf_loss,EpRewMean,ev_tdlam_before,TimestepsSoFar
0.0212727,283.8861975669861,2.26182,1000.0,-0.0541457,325,0.0,2,192.556,1361.78238326,0.949915375561,325000
0.0380878,285.66801023483276,2.24974,1000.0,-0.0503413,327,0.0,2,325.986,1378.20644692,0.259724080563,327000
0.025996,287.46199321746826,2.23887,1000.0,-0.0469509,329,0.0,2,182.255,1391.33108752,0.961039178073,329000
0.0260934,289.21399903297424,2.23218,1000.0,-0.0461318,331,0.0,2,289.594,1403.64839517,0.14673435688,331000
0.025569,291.00773787498474,2.2047,1000.0,-0.0462904,333,0.0,2,294.465,1420.89586514,0.118896782398,333000
0.0255729,292.75788402557373,2.19584,1000.0,-0.0409396,335,0.0,2,299.873,1433.16464489,0.0543481111526,335000
0.0308149,294.5544285774231,2.16234,1000.0,-0.0529199,337,0.0,2,211.467,1449.04099411,0.701323062181,337000
0.0229797,296.3281891345978,2.08918,1000.0,-0.0478228,339,0.0,2,213.489,1459.49827542,0.929624192417,339000
0.0292618,298.1091380119324,2.04385,1000.0,-0.0485705,342,0.0,3,457.153,1491.91672563,0.0560432672501,342000
0.0236537,299.87519097328186,2.01373,1000.0,-0.04083,344,0.0,2,326.572,1513.83639506,0.0226266384125,344000
0.0377834,301.6586127281189,1.98239,1000.0,-0.0418876,346,0.0,2,333.292,1530.09359416,0.0770941972733,346000
0.0262318,303.4172394275665,1.97078,1000.0,-0.0417075,348,0.0,2,341.344,1550.54447266,0.0981383323669,348000
0.032018,305.1995747089386,1.93879,1000.0,-0.0437422,350,0.0,2,354.573,1565.68305295,0.134435772896,350000
0.0271664,306.9576950073242,1.91404,1000.0,-0.0444222,352,0.0,2,326.348,1578.69451578,0.121588289738,352000
0.029469,308.74140906333923,1.91264,1000.0,-0.0446093,354,0.0,2,347.577,1604.02754422,0.167562603951,354000
0.0283527,310.5078468322754,1.89697,1000.0,-0.0564555,356,0.0,2,389.381,1616.76693269,0.868305623531,356000
0.0221863,312.3128354549408,1.87106,1000.0,-0.0452651,358,0.0,2,192.333,1615.91627604,0.97173887305,358000
0.0263562,314.06284737586975,1.85113,1000.0,-0.0449001,360,0.0,2,366.765,1644.86476093,0.180643081665,360000
0.0306463,315.8593838214874,1.81883,1000.0,-0.0431692,362,0.0,2,358.8,1669.73052447,0.168188273907,362000
0.0320665,317.6238193511963,1.81684,1000.0,-0.0457591,364,0.0,2,362.493,1684.80298352,0.178673863411,364000
0.0219904,319.3978645801544,1.83021,1000.0,-0.0473775,366,0.0,2,242.751,1699.44728113,0.711830675602,366000
0.0240154,321.18043851852417,1.80213,1000.0,-0.0503624,368,0.0,2,341.226,1723.70747785,0.1830072999,368000
0.0319927,322.96017122268677,1.75623,1000.0,-0.0446376,370,0.0,2,264.337,1741.27292907,0.90541601181,370000
0.0295158,324.7262032032013,1.72319,1000.0,-0.0427565,372,0.0,2,363.03,1753.50067664,0.180872917175,372000
0.0322192,326.51033425331116,1.67148,1000.0,-0.0551397,374,0.0,2,235.905,1769.51987976,0.948940299451,374000
0.0289557,328.29870533943176,1.64905,1000.0,-0.0570219,376,0.0,2,483.309,1783.54753822,0.871755212545,376000
0.0286165,330.09184288978577,1.59415,1000.0,-0.04905,378,0.0,2,227.667,1801.08424852,0.906978979707,378000
0.0366393,331.8579058647156,1.54636,1000.0,-0.0462579,380,0.0,2,443.02,1834.75145979,0.896294116974,380000
0.02887,333.64026141166687,1.48197,1000.0,-0.045224,382,0.0,2,202.029,1849.89592024,0.843606024981,382000
0.0337661,335.41335129737854,1.45136,1000.0,-0.0419858,385,0.0,3,579.37,1868.92211325,0.10858643055,385000
0.0252556,337.2110323905945,1.45189,1000.0,-0.0473558,387,0.0,2,262.952,1876.86074221,0.959035493433,387000
0.0339229,338.97628378868103,1.4299,1000.0,-0.0442519,389,0.0,2,312.803,1889.86400366,0.122580766678,389000
0.0347401,340.7572810649872,1.40385,1000.0,-0.0470526,391,0.0,2,425.501,1904.82798353,-0.0096675157547,391000
0.0301864,342.5422558784485,1.41486,1000.0,-0.0396071,393,0.0,2,392.423,1918.63416583,0.095779299736,393000
0.0303031,344.32375860214233,1.38422,1000.0,-0.050711,395,0.0,2,318.169,1931.36918319,0.878036178648,395000
0.0274759,346.1208996772766,1.3558,1000.0,-0.0420923,397,0.0,2,392.423,1945.56200943,0.122099161148,397000
0.0333328,347.90155720710754,1.3224,1000.0,-0.0524263,399,0.0,2,465.433,1977.83842666,0.125931918621,399000
0.0270648,349.6794514656067,1.2905,1000.0,-0.0416725,401,0.0,2,444.28,1993.98080604,0.0325234532356,401000
0.0353388,351.4757571220398,1.28588,1000.0,-0.0398584,403,0.0,2,440.45,2007.85289663,0.130302131176,403000
0.0264376,353.2404525279999,1.26978,1000.0,-0.0437128,405,0.0,2,425.806,2030.06278028,0.11017793417,405000
0.0307688,355.0233919620514,1.24553,1000.0,-0.0441105,407,0.0,2,437.562,2052.53303893,0.104352593422,407000
0.0561792,356.80885672569275,1.23843,1000.0,-0.0301446,409,0.0,2,450.858,2087.82894883,0.0481848120689,409000
0.0268591,358.5745015144348,1.21267,1000.0,-0.0394479,411,0.0,2,440.888,2113.75462364,0.107648134232,411000
0.0297918,360.36387038230896,1.20191,1000.0,-0.0427446,413,0.0,2,456.444,2126.29025316,0.0769762992859,413000
0.0312074,362.13938093185425,1.16153,1000.0,-0.0380222,415,0.0,2,463.943,2141.65814723,0.0996121764183,415000
0.0298898,363.9208700656891,1.13926,1000.0,-0.0442211,417,0.0,2,305.94,2149.72996238,0.95613199845,417000
0.0287414,365.6863889694214,1.10682,1000.0,-0.0457068,419,0.0,2,408.017,2162.67872633,0.249961853027,419000
0.0288038,367.4762454032898,1.07789,1000.0,-0.0499769,421,0.0,2,421.981,2180.92386842,0.377640843391,421000
0.0424686,369.24280405044556,1.0526,1000.0,-0.0370394,423,0.0,2,480.608,2204.84370404,0.119932472706,423000
0.0309785,371.02600026130676,1.03673,1000.0,-0.0420774,425,0.0,2,489.253,2222.36510056,0.0808882117271,425000
0.0351608,372.82393765449524,1.01843,1000.0,-0.0472752,428,0.0,3,670.942,2240.36222098,0.150918900967,428000
0.031974,374.6052083969116,1.02663,1000.0,-0.0391188,430,0.0,2,464.756,2263.77607657,0.0807633399963,430000
0.0368586,376.36767506599426,0.995556,1000.0,-0.0442865,432,0.0,2,486.124,2272.55494543,0.122637450695,432000
0.0367913,378.1480407714844,0.987707,1000.0,-0.0367165,434,0.0,2,495.52,2284.82840011,0.0967977046967,434000
0.0319991,379.9059808254242,0.968939,1000.0,-0.0438356,436,0.0,2,517.477,2295.46518685,0.169373512268,436000
0.0301389,381.6719448566437,0.944355,1000.0,-0.0389729,438,0.0,2,481.364,2307.32942002,0.104386150837,438000
0.0258788,383.43035650253296,0.932012,1000.0,-0.0394029,440,0.0,2,498.945,2320.4099107,0.058138012886,440000
0.0521579,385.23077607154846,0.9023,1000.0,-0.0345836,442,0.0,2,502.143,2331.38370522,0.0715333819389,442000
0.0263535,386.9807856082916,0.906328,1000.0,-0.0408931,444,0.0,2,508.941,2341.9855871,0.0877425074577,444000
0.0275839,388.76511001586914,0.865572,1000.0,-0.0426808,446,0.0,2,452.788,2348.54549229,0.144692480564,446000
0.030245,390.523734331131,0.855237,1000.0,-0.0441646,448,0.0,2,520.282,2356.35914421,0.0806882977486,448000
0.0399838,392.3106596469879,0.822981,1000.0,-0.0385084,450,0.0,2,520.084,2366.84735472,0.142437040806,450000
0.0542236,394.0626745223999,0.803507,1000.0,-0.0331421,452,0.0,2,482.044,2376.22778572,0.150151073933,452000
0.0318071,395.84371161460876,0.790991,1000.0,-0.0387653,454,0.0,2,514.786,2387.5280231,0.0330969691277,454000
0.0300407,397.5927917957306,0.769125,1000.0,-0.0393157,456,0.0,2,520.801,2397.72518281,0.139156103134,456000
0.0241164,399.366446018219,0.774057,1000.0,-0.0411729,458,0.0,2,489.861,2424.07489826,0.11615729332,458000
0.0405325,401.13202452659607,0.769144,1000.0,-0.0438324,460,0.0,2,524.74,2431.35392623,0.240036606789,460000
0.0332152,402.8985342979431,0.743239,1000.0,-0.0477744,462,0.0,2,520.05,2440.3232163,0.933461651206,462000
