TimestepsSoFar,EpisodesSoFar,loss_pol_surr,EpRewMean,TimeElapsed,EpThisIter,loss_ent,loss_kl,EpLenMean,loss_pol_entpen,ev_tdlam_before,loss_vf_loss
317400,6348,-0.0139288,-7.03119277549,268.5236840248108,41,-3.03335,0.0261274,50.0,0.0,0.949430197477,0.0770055
319450,6389,0.00519369,-6.85407937041,270.25782775878906,41,-3.0682,0.0420524,50.0,0.0,0.953759580851,0.0654224
321500,6430,-0.0121906,-6.70634176496,271.9765729904175,41,-3.05078,0.0225391,50.0,0.0,0.78495568037,0.115752
323550,6471,-0.0111873,-6.54947396925,273.71094274520874,41,-3.04934,0.0358631,50.0,0.0,0.943404965103,0.0687255
325600,6512,-0.0148305,-6.71689776185,275.4302875995636,41,-3.04806,0.0391457,50.0,0.0,0.939730446786,0.0761231
327650,6553,-0.0163311,-6.47595668862,277.1727740764618,41,-3.07527,0.0247948,50.0,0.0,0.929988093674,0.0782011
329700,6594,-0.0210457,-6.8938803775,278.8910562992096,41,-3.09279,0.0239384,50.0,0.0,0.91901473701,0.0912179
331750,6635,-0.0210946,-6.90967677345,280.6256709098816,41,-3.08869,0.0246723,50.0,0.0,0.93766952306,0.0710666
333800,6676,-0.00259867,-6.7085886622,282.34141659736633,41,-3.10236,0.0335312,50.0,0.0,0.930388025939,0.0680143
335850,6717,-0.0102391,-6.2324576995,284.0756995677948,41,-3.11511,0.0422965,50.0,0.0,0.90697029233,0.0922315
337900,6758,-0.0161545,-6.21082815385,285.7937614917755,41,-3.1052,0.0190177,50.0,0.0,0.932948566973,0.0790387
339950,6799,-0.00749793,-6.36431109929,287.5273380279541,41,-3.11891,0.0320837,50.0,0.0,0.939620602876,0.080998
342000,6840,-0.00848356,-6.62363820264,289.23753118515015,41,-3.12241,0.0384216,50.0,0.0,0.929524175823,0.0726826
344050,6881,-0.0224235,-6.69159496807,290.9769766330719,41,-3.14562,0.0277566,50.0,0.0,0.943158600479,0.0558523
346100,6922,-0.00758293,-6.50783811645,292.6972186565399,41,-3.1852,0.0332282,50.0,0.0,0.928911522031,0.0720557
348150,6963,-0.0241407,-6.48838967039,294.4616873264313,41,-3.18793,0.0150431,50.0,0.0,0.955468345433,0.0574687
350200,7004,-0.0137938,-6.79970873247,296.17292380332947,41,-3.19479,0.0344081,50.0,0.0,0.918118864298,0.0626901
352250,7045,-0.0183385,-6.99842720671,297.907399892807,41,-3.19939,0.0321468,50.0,0.0,0.913614906371,0.0904811
354300,7086,-0.00178398,-6.78579153955,299.6260392665863,41,-3.20072,0.0379353,50.0,0.0,0.887741319835,0.0942585
356350,7127,-0.0130212,-6.40296692022,301.35189056396484,41,-3.18951,0.0335114,50.0,0.0,0.902253642678,0.0718205
358400,7168,-0.00738411,-6.58899570394,303.07143926620483,41,-3.21929,0.0393357,50.0,0.0,0.917565464973,0.0841303
360400,7208,-0.0179022,-6.66173955743,304.80411291122437,40,-3.22723,0.020655,50.0,0.0,0.946054719388,0.0616711
362450,7249,0.00711709,-6.69861268629,306.53357100486755,41,-3.24756,0.0469116,50.0,0.0,0.935892306268,0.0873294
364500,7290,-0.00640803,-6.91180927209,308.2462902069092,41,-3.24466,0.0344173,50.0,0.0,0.910100795329,0.10445
366550,7331,-0.0261447,-7.04291356334,309.9808657169342,41,-3.25538,0.123489,50.0,0.0,0.894707091153,0.0829667
368600,7372,-0.0165525,-7.14620156393,311.7000024318695,41,-3.27033,0.0211796,50.0,0.0,0.943299237639,0.0985082
370650,7413,-0.0171216,-6.98469527221,313.4149878025055,41,-3.29408,0.0200405,50.0,0.0,0.926933184266,0.0729511
372700,7454,-0.00670639,-6.65007008425,315.1449692249298,41,-3.30147,0.0341269,50.0,0.0,0.91335888207,0.108251
374750,7495,-0.0200085,-6.27846608004,316.862988948822,41,-3.32605,0.0237216,50.0,0.0,0.916019596159,0.0763807
376800,7536,-0.0153774,-6.65078518092,318.5845639705658,41,-3.34409,0.0270377,50.0,0.0,0.920751258731,0.114169
378850,7577,-0.020153,-7.09863169404,320.304669380188,41,-3.33816,0.023699,50.0,0.0,0.952702216804,0.0713595
380900,7618,-0.00250797,-7.32262469317,322.02341532707214,41,-3.31978,0.0615928,50.0,0.0,0.942318167537,0.075256
382950,7659,-0.00654689,-7.10285369278,323.7577841281891,41,-3.30535,0.034132,50.0,0.0,0.942972533405,0.0801851
385000,7700,-0.0135691,-7.31549746954,325.4765295982361,41,-3.29919,0.0363298,50.0,0.0,0.924307025969,0.10906
387050,7741,-0.00675687,-6.81508344902,327.19528555870056,41,-3.33016,0.0295027,50.0,0.0,0.920732662082,0.0882674
389100,7782,-0.019277,-6.57534155676,328.91401839256287,41,-3.33169,0.0204354,50.0,0.0,0.912453621626,0.11674
391150,7823,-0.0118928,-6.49867303201,330.66401410102844,41,-3.33239,0.0260962,50.0,0.0,0.949014239013,0.0600351
393200,7864,-0.0163775,-6.50052160687,332.3744287490845,41,-3.34191,0.0205197,50.0,0.0,0.930164046586,0.0804231
395250,7905,-0.0196292,-6.19540653511,334.1174883842468,41,-3.37639,0.0228522,50.0,0.0,0.930413775146,0.0645492
397300,7946,-0.0227558,-5.98071343828,335.851979970932,41,-3.41647,0.0189148,50.0,0.0,0.933041930199,0.0749269
399350,7987,-0.00338849,-6.19719194692,337.5871877670288,41,-3.41587,0.0384954,50.0,0.0,0.936811253428,0.0774759
401400,8028,0.0124718,-6.30416088142,339.3286461830139,41,-3.44122,0.0652342,50.0,0.0,0.937023833394,0.0595125
403450,8069,-0.0247155,-6.44602368569,341.063059091568,41,-3.4499,0.0221326,50.0,0.0,0.920663572848,0.0709039
405500,8110,-0.0214361,-6.70489689444,342.78189182281494,41,-3.44559,0.0221452,50.0,0.0,0.925730139017,0.0904518
407550,8151,-0.0293549,-6.43365887362,344.51667881011963,41,-3.45061,0.0343704,50.0,0.0,0.941156703979,0.0755189
409600,8192,-0.0149605,-6.16836229318,346.2220377922058,41,-3.46134,0.017409,50.0,0.0,0.927970431745,0.0774013
411600,8232,-0.00958738,-6.1323916733,347.9417824745178,40,-3.46044,0.0333091,50.0,0.0,0.926331795752,0.0730914
413650,8273,-0.00698915,-6.36841283539,349.6683678627014,41,-3.49578,0.0390562,50.0,0.0,0.943062856793,0.0965521
415700,8314,-0.0254747,-6.58540319161,351.39895033836365,41,-3.49991,0.0227084,50.0,0.0,0.91946669668,0.102333
417750,8355,-0.0283117,-6.80208506105,353.11428022384644,41,-3.51655,0.0252767,50.0,0.0,0.898270465434,0.0922055
419800,8396,-0.0230657,-6.83671328482,354.8524823188782,41,-3.52223,0.0299956,50.0,0.0,0.930026873946,0.102643
421850,8437,-0.0176232,-6.72565172362,356.5555303096771,41,-3.51918,0.0330882,50.0,0.0,0.927795000374,0.0856863
423900,8478,-0.0134848,-6.58979719345,358.28138256073,41,-3.53454,0.0352615,50.0,0.0,0.934466548264,0.0737848
425950,8519,-0.0127307,-6.24465524254,360.00105690956116,41,-3.55402,0.0304045,50.0,0.0,0.943094756454,0.080953
428000,8560,-0.0144693,-6.31340794992,361.73546504974365,41,-3.56772,0.0334338,50.0,0.0,0.932308092713,0.0731057
430050,8601,-0.00600779,-6.36949106881,363.4541804790497,41,-3.58939,0.0476393,50.0,0.0,0.925412289798,0.0590233
432100,8642,-0.0185507,-6.57929291441,365.1813757419586,41,-3.58547,0.0247592,50.0,0.0,0.957458287477,0.0564486
434150,8683,-0.0133923,-6.66208452457,366.89912033081055,41,-3.60084,0.049505,50.0,0.0,0.933075457811,0.0867725
436200,8724,-0.00724966,-6.32542846769,368.6575536727905,41,-3.6103,0.0352268,50.0,0.0,0.952251452953,0.0505151
438250,8765,-0.0245931,-6.40254747107,370.36847376823425,41,-3.61821,0.0429321,50.0,0.0,0.919120080769,0.0667735
440300,8806,-0.013842,-6.4661725408,372.1020040512085,41,-3.61035,0.0284749,50.0,0.0,0.928637593985,0.0712644
442350,8847,-0.00283692,-6.73377086709,373.80526423454285,41,-3.59418,0.0459988,50.0,0.0,0.901008538902,0.088195
