TimestepsSoFar,ev_tdlam_before,EpisodesSoFar,EpRewMean,loss_pol_surr,loss_pol_entpen,EpThisIter,loss_ent,loss_kl,TimeElapsed,EpLenMean,loss_vf_loss
231401,0.00241136550903,950,905.67,-0.00783492,0.0,4,0.985091,0.00380169,182.51152992248535,905.67,120.895
233401,-0.0514168739319,952,905.67,-0.00522324,0.0,2,0.981678,0.0040689,184.1209008693695,905.67,67.2499
235401,-0.00360357761383,954,905.67,-0.00512943,0.0,2,0.980465,0.00791843,185.71464586257935,905.67,68.1367
237401,-0.00463366508484,956,916.03,-0.00393827,0.0,2,0.988886,0.00982811,187.32401657104492,916.03,68.35
239401,-0.0047390460968,958,926.93,-0.00384305,0.0,2,0.994039,0.00799002,188.93444752693176,926.93,68.3327
241401,-0.00212919712067,960,926.93,-0.00611489,0.0,2,1.01859,0.00768774,190.52794861793518,926.93,67.5893
243401,0.0110830664635,962,926.93,-0.00805919,0.0,2,1.00815,0.00615103,192.14542293548584,926.93,58.4629
245401,-0.0168657302856,964,926.93,-0.00309405,0.0,2,1.01164,0.00577556,193.75458431243896,926.93,65.8992
247401,-0.042777299881,966,926.93,-0.0102514,0.0,2,1.0279,0.0104456,195.37334322929382,926.93,68.9445
249401,-0.0306066274643,968,926.93,-0.00568043,0.0,2,1.03858,0.00485506,196.95429110527039,926.93,65.4315
251401,-0.00530314445496,970,926.93,-0.0069012,0.0,2,1.05308,0.00601059,198.5586314201355,926.93,66.9807
253401,0.00796592235565,972,926.93,-0.00415337,0.0,2,1.05124,0.00576544,200.18362665176392,926.93,67.7613
255680,-0.0140528678894,975,919.72,-0.00797216,0.0,3,1.04017,0.0167263,201.79299807548523,919.72,94.3785
257680,-0.0151631832123,977,920.46,-0.00907636,0.0,2,1.04147,0.0105071,203.4023666381836,920.46,67.2083
259420,-0.00719356536865,979,917.86,-0.00712642,0.0,2,1.03001,0.0107462,205.0117383003235,917.86,59.9323
261420,-0.00164747238159,981,917.86,-0.00453328,0.0,2,1.02896,0.00771353,206.6367325782776,917.86,67.6564
263420,-0.0270848274231,983,923.78,-0.00802481,0.0,2,1.02877,0.00725056,208.23898077011108,923.78,67.4968
265420,-0.00354063510895,985,923.78,-0.00529302,0.0,2,1.04881,0.00711367,209.84826254844666,923.78,68.1153
267420,-0.00262272357941,987,926.45,-0.00471174,0.0,2,1.06366,0.00649091,211.44335961341858,926.45,68.2267
269420,-0.000602960586548,989,926.45,-0.00295188,0.0,2,1.07394,0.00465648,213.05999875068665,926.45,68.302
271420,-3.44514846802e-05,991,926.45,-0.00636706,0.0,2,1.10529,0.00689817,214.6838743686676,926.45,68.3707
274420,-0.000330448150635,994,933.68,-0.00409422,0.0,3,1.11164,0.00787979,216.30035829544067,933.68,101.045
275831,0.0093839764595,996,927.79,-0.00448027,0.0,2,1.12469,0.00580571,217.8950936794281,927.79,63.2822
277831,-0.0248061418533,998,929.41,-0.00431552,0.0,2,1.12528,0.00501511,219.50488305091858,929.41,67.8606
279831,-0.000314712524414,1000,940.04,-0.00709748,0.0,2,1.11946,0.00665051,221.11399364471436,940.04,67.2443
282178,0.0386772155762,1003,933.51,-0.00620367,0.0,3,1.11414,0.00738784,222.7224462032318,933.51,82.4206
284178,-0.0458385944366,1005,933.51,-0.00475226,0.0,2,1.10555,0.00400056,224.34013628959656,933.51,67.1255
286178,0.0792922377586,1007,933.51,-0.00683546,0.0,2,1.10916,0.00815657,225.96531867980957,933.51,52.4404
288178,-0.00272130966187,1009,941.63,-0.00422278,0.0,2,1.12055,0.0130545,227.57485604286194,941.63,68.3961
290178,-0.038193821907,1011,941.63,-0.00639054,0.0,2,1.12903,0.00662513,229.1923439502716,941.63,68.4745
292178,0.115009963512,1013,941.63,-0.00934651,0.0,2,1.10135,0.012112,230.80836081504822,941.63,68.6089
294178,-0.0034145116806,1015,941.63,-0.00367411,0.0,2,1.09424,0.00234126,232.40322399139404,941.63,67.1923
296178,0.0098689198494,1017,941.63,-0.00662526,0.0,2,1.08587,0.00484033,234.0206868648529,941.63,63.0685
