loss_kl,EpRewMean,EpisodesSoFar,TimeElapsed,EpLenMean,loss_vf_loss,TimestepsSoFar,loss_pol_entpen,EpThisIter,loss_pol_surr,loss_ent,ev_tdlam_before
0.0249206,782.350523867,217,190.18692255020142,1000.0,82.3603,217000,0.0,2,-0.0386568,2.22128,0.229160666466
0.026584,793.31972736,219,191.96877598762512,1000.0,78.8044,219000,0.0,2,-0.0402436,2.19621,0.191660881042
0.021199,804.310810119,221,193.76552939414978,1000.0,76.5742,221000,0.0,2,-0.0389764,2.13152,0.176107645035
0.0253967,815.50284866,223,195.54645228385925,1000.0,84.0543,223000,0.0,2,-0.039292,2.14903,0.145261049271
0.0235916,825.490438749,225,197.34341168403625,1000.0,80.7078,225000,0.0,2,-0.0483656,2.11711,0.348839521408
0.0248077,834.226218078,227,199.12566232681274,1000.0,82.3419,227000,0.0,2,-0.0403652,2.07335,0.292324841022
0.024174,845.24704863,229,200.92186880111694,1000.0,90.0901,229000,0.0,2,-0.0434537,2.05369,0.402768194675
0.0215545,852.868102593,231,202.70282769203186,1000.0,81.5394,231000,0.0,2,-0.0403525,2.00796,0.16693687439
0.0303488,863.399327179,233,204.48459911346436,1000.0,84.6671,233000,0.0,2,-0.0326591,2.02758,0.27295166254
0.0206886,872.531245412,235,206.27610325813293,1000.0,86.7527,235000,0.0,2,-0.0388031,1.98309,0.11288613081
0.0330003,881.237322784,237,208.06272411346436,1000.0,86.5719,237000,0.0,2,-0.0341985,1.95242,0.17406898737
0.032906,889.33303857,239,209.8432912826538,1000.0,84.566,239000,0.0,2,-0.0335492,1.93153,0.0971322655678
0.0248679,897.367812081,241,211.62523770332336,1000.0,93.1176,241000,0.0,2,-0.0408788,1.90666,0.197780072689
0.0284421,904.35635256,243,213.40604519844055,1000.0,91.5264,243000,0.0,2,-0.038512,1.86626,0.158104598522
0.0333894,911.473155948,245,215.20337557792664,1000.0,86.3898,245000,0.0,2,-0.0431358,1.86732,0.501400381327
0.0243035,915.750070278,247,216.98444652557373,1000.0,92.4624,247000,0.0,2,-0.0388648,1.85279,0.333292663097
0.0230406,922.969893981,249,218.76498579978943,1000.0,93.0306,249000,0.0,2,-0.0369392,1.84297,0.273881733418
0.0279632,929.192858345,251,220.54625988006592,1000.0,96.3638,251000,0.0,2,-0.0382028,1.83465,0.431376516819
0.0255201,934.80285326,253,222.32822394371033,1000.0,101.673,253000,0.0,2,-0.0451292,1.84083,0.626745611429
0.0252917,943.733566763,256,224.10876941680908,1000.0,135.874,256000,0.0,3,-0.0392909,1.80589,0.200957596302
0.0230914,953.132078221,258,225.89083003997803,1000.0,91.2114,258000,0.0,2,-0.0387608,1.76711,0.206852376461
0.0236317,960.112572863,260,227.67172002792358,1000.0,98.6033,260000,0.0,2,-0.035696,1.74606,0.118421494961
0.0259515,967.096006353,262,229.46830582618713,1000.0,98.3175,262000,0.0,2,-0.0338694,1.71476,0.131018280983
0.030552,972.596901856,264,231.24969911575317,1000.0,98.4089,264000,0.0,2,-0.0356137,1.7368,0.152498662472
0.0286981,977.881865907,266,233.03141236305237,1000.0,102.0,266000,0.0,2,-0.039613,1.68615,0.377298533916
0.0262204,983.88330342,268,234.81181740760803,1000.0,100.847,268000,0.0,2,-0.039133,1.70062,0.14606487751
0.023957,991.079409541,270,236.59392786026,1000.0,97.8709,270000,0.0,2,-0.0377225,1.65935,0.10085952282
0.0335057,997.63706046,272,238.39042735099792,1000.0,107.191,272000,0.0,2,-0.0309226,1.62731,0.131177008152
0.0242372,1003.55916843,274,240.17203569412231,1000.0,101.198,274000,0.0,2,-0.0428391,1.56752,0.261720895767
0.0352386,1009.93956154,276,241.94890522956848,1000.0,103.256,276000,0.0,2,-0.0331657,1.5229,0.114647507668
0.0329719,1016.15100907,278,243.74949073791504,1000.0,102.02,278000,0.0,2,-0.0376236,1.55008,0.387235403061
0.0193687,1020.94739009,280,245.53163146972656,1000.0,101.366,280000,0.0,2,-0.0356735,1.54166,0.172378540039
0.0245936,1027.29893974,282,247.31273293495178,1000.0,103.568,282000,0.0,2,-0.0348682,1.53475,0.10915273428
0.0313362,1032.3226289,284,249.10960459709167,1000.0,104.87,284000,0.0,2,-0.0278814,1.48982,0.135545134544
0.048943,1048.17837966,286,250.88288068771362,1000.0,106.24,286000,0.0,2,-0.0274508,1.45218,0.118978559971
0.030937,1054.70084451,288,252.67213082313538,1000.0,107.949,288000,0.0,2,-0.0379573,1.40865,0.261723101139
0.0301854,1059.48590441,290,254.45246577262878,1000.0,112.059,290000,0.0,2,-0.0397789,1.42497,0.369844675064
0.0370922,1064.31104389,292,256.24995517730713,1000.0,108.229,292000,0.0,2,-0.0323875,1.41421,0.216003417969
0.0281787,1068.98414301,294,258.0312888622284,1000.0,107.388,294000,0.0,2,-0.0342841,1.406,0.175689578056
0.0351098,1073.56365014,296,259.7982096672058,1000.0,103.273,296000,0.0,2,-0.0324485,1.36986,0.238685786724
0.0335792,1080.43792596,299,261.57751178741455,1000.0,156.631,299000,0.0,3,-0.0333171,1.35907,0.122038125992
0.0256104,1087.13941494,301,263.3595218658447,1000.0,111.935,301000,0.0,2,-0.0332554,1.37664,0.183707296848
0.0276863,1091.70859117,303,265.1408100128174,1000.0,115.478,303000,0.0,2,-0.0370944,1.35924,0.172222554684
0.0552714,1096.86932057,305,266.9374146461487,1000.0,104.149,305000,0.0,2,-0.0292208,1.33933,0.149486124516
0.0284661,1100.4689681,307,268.71892166137695,1000.0,116.422,307000,0.0,2,-0.0382668,1.2868,0.264865756035
0.0270038,1104.76454355,309,270.4998915195465,1000.0,109.66,309000,0.0,2,-0.0351588,1.26663,0.109547495842
0.0275283,1107.05044707,311,272.29711508750916,1000.0,109.993,311000,0.0,2,-0.0368946,1.29217,0.108692109585
0.0272416,1110.7473753,313,274.0938205718994,1000.0,108.818,313000,0.0,2,-0.0366166,1.30708,0.150215566158
0.0271369,1114.14090207,315,275.8764765262604,1000.0,117.209,315000,0.0,2,-0.0357689,1.3023,0.148967862129
0.0378586,1119.20645356,317,277.6562659740448,1000.0,117.395,317000,0.0,2,-0.0317082,1.28075,0.142023980618
0.0297896,1123.7208469,319,279.4371266365051,1000.0,116.171,319000,0.0,2,-0.032994,1.28387,0.0908215045929
0.0256765,1128.71517364,321,281.23399209976196,1000.0,117.96,321000,0.0,2,-0.0365098,1.27052,0.187348544598
0.0259382,1131.95177945,323,283.0149862766266,1000.0,113.345,323000,0.0,2,-0.0343832,1.24365,0.154515445232
0.0286253,1135.67526337,325,284.8132290840149,1000.0,121.372,325000,0.0,2,-0.0372638,1.20209,0.13960814476
0.0281558,1142.12442247,327,286.6105375289917,1000.0,123.995,327000,0.0,2,-0.0357552,1.15597,0.177053332329
0.0309537,1146.85922593,329,288.4063720703125,1000.0,126.316,329000,0.0,2,-0.034676,1.14197,0.170709252357
0.0497652,1152.11783312,331,290.18728852272034,1000.0,119.444,331000,0.0,2,-0.0288325,1.12927,0.135556221008
0.0267706,1154.96388589,333,291.999356508255,1000.0,123.279,333000,0.0,2,-0.0359501,1.15211,0.186479210854
0.0405281,1158.40727556,335,293.78130197525024,1000.0,131.092,335000,0.0,2,-0.0362479,1.12121,0.165902912617
0.0300286,1161.78838549,337,295.5778286457062,1000.0,124.826,337000,0.0,2,-0.037221,1.12466,0.216687083244
0.0361597,1165.58377249,339,297.35869789123535,1000.0,124.771,339000,0.0,2,-0.0318898,1.09806,0.219071209431
0.0354516,1171.83189225,342,299.1400148868561,1000.0,175.13,342000,0.0,3,-0.035651,1.06933,0.184362232685
0.0308575,1175.53233393,344,300.92185163497925,1000.0,126.094,344000,0.0,2,-0.0348415,1.04679,0.23926949501
0.0331545,1180.87270763,346,302.70712423324585,1000.0,130.999,346000,0.0,2,-0.0390442,1.03115,0.430337071419
0.0334047,1183.21798849,348,304.48494386672974,1000.0,125.761,348000,0.0,2,-0.039291,0.940109,0.148948967457
0.0290162,1186.76187596,350,306.2812657356262,1000.0,125.237,350000,0.0,2,-0.0393393,0.963516,0.368870735168
0.032656,1191.57921703,352,308.0622546672821,1000.0,125.278,352000,0.0,2,-0.0351873,0.95182,0.146594703197
0.0281554,1196.64862067,354,309.84317660331726,1000.0,122.988,354000,0.0,2,-0.0358059,0.920982,0.102532148361
0.0253095,1199.97534536,356,311.62479972839355,1000.0,124.81,356000,0.0,2,-0.0377834,0.88482,0.139532148838
0.0261134,1202.96303079,358,313.42172384262085,1000.0,130.382,358000,0.0,2,-0.0368421,0.863146,0.120985805988
0.03322,1205.47603555,360,315.2039906978607,1000.0,126.514,360000,0.0,2,-0.0366982,0.834819,0.15334624052
0.0253437,1207.70106334,362,316.98395562171936,1000.0,132.051,362000,0.0,2,-0.04066,0.780752,0.266620695591
0.052261,1212.68587469,364,318.7669208049774,1000.0,123.378,364000,0.0,2,-0.0322029,0.763289,0.151966810226
0.042505,1219.04224525,366,320.54817152023315,1000.0,131.423,366000,0.0,2,-0.0262456,0.764538,0.0925781726837
0.0337609,1223.28110084,368,322.3280236721039,1000.0,131.576,368000,0.0,2,-0.0314889,0.786545,0.166334211826
0.0260043,1228.2083529,370,324.1091639995575,1000.0,117.673,370000,0.0,2,-0.0359753,0.767387,0.207322537899
0.0259236,1232.19972474,372,325.89012694358826,1000.0,141.66,372000,0.0,2,-0.0389846,0.742862,0.134253799915
0.0306264,1235.25334901,374,327.67271876335144,1000.0,139.325,374000,0.0,2,-0.0361699,0.715626,0.212566137314
0.0334177,1238.09172495,376,329.4527907371521,1000.0,131.72,376000,0.0,2,-0.0327728,0.68903,0.158120751381
0.0271169,1241.19338519,378,331.2384901046753,1000.0,136.499,378000,0.0,2,-0.0364163,0.713731,0.27937400341
0.0309663,1245.27071796,380,333.04853415489197,1000.0,141.774,380000,0.0,2,-0.0357443,0.685031,0.225237488747
0.032888,1247.05028731,382,334.8443372249603,1000.0,136.815,382000,0.0,2,-0.0343454,0.668849,0.123923540115
0.0443386,1252.6781674,385,336.6460027694702,1000.0,194.681,385000,0.0,3,-0.0374687,0.661001,0.251596271992
0.0346744,1256.30364897,387,338.4231586456299,1000.0,128.565,387000,0.0,2,-0.0346825,0.595158,0.0892116427422
0.0325357,1260.41547189,389,340.20334339141846,1000.0,144.119,389000,0.0,2,-0.0269366,0.595295,0.183380544186
0.0284275,1263.84566142,391,341.9900839328766,1000.0,138.373,391000,0.0,2,-0.0356763,0.574339,0.121210515499
0.0321153,1268.02234958,393,343.7962565422058,1000.0,136.892,393000,0.0,2,-0.0324134,0.572582,0.113119602203
0.0350029,1272.29771112,395,345.5782630443573,1000.0,131.734,395000,0.0,2,-0.0331919,0.530283,0.100590467453
0.0311668,1275.98733383,397,347.35927748680115,1000.0,137.14,397000,0.0,2,-0.0306353,0.491985,0.126764416695
0.046599,1279.32304016,399,349.1561543941498,1000.0,143.996,399000,0.0,2,-0.0275009,0.480009,0.13481682539
0.0384692,1281.04572909,401,350.9371757507324,1000.0,142.105,401000,0.0,2,-0.0264866,0.522894,0.106364071369
0.0376791,1283.65489781,403,352.7188982963562,1000.0,142.891,403000,0.0,2,-0.0336282,0.504277,0.152210474014
0.0325652,1286.91011968,405,354.5154914855957,1000.0,143.592,405000,0.0,2,-0.0370126,0.504808,0.203173339367
0.0420413,1290.33032042,407,356.2965598106384,1000.0,144.779,407000,0.0,2,-0.0277526,0.511871,0.150003135204
0.0263964,1292.379219,409,358.0931429862976,1000.0,145.864,409000,0.0,2,-0.0358698,0.496827,0.196316957474
