loss_pol_entpen,loss_ent,EpLenMean,EpThisIter,EpRewMean,loss_pol_surr,EpisodesSoFar,loss_kl,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_vf_loss
0.0,-0.454187,827.87,2,7712.77425557,-0.00240656,4377,0.0219134,290.46440505981445,335283,0.385400414467,3375.24
0.0,-0.455397,799.95,7,7452.83853189,-0.0218294,4384,0.011636,292.2450773715973,337788,0.522717505693,8693.64
0.0,-0.458321,803.54,3,7486.36133273,-0.0100976,4387,0.0204932,293.996454000473,339806,0.472619771957,6248.03
0.0,-0.451847,809.63,2,7543.23212222,-0.00826527,4389,0.00562993,295.7666907310486,341806,-0.00409889221191,5640.5
0.0,-0.44436,818.37,2,7624.80165204,-0.00969364,4391,0.0112284,297.5247597694397,343806,-0.128025770187,5842.39
0.0,-0.440029,810.86,3,7554.8833436,-0.00766954,4394,0.0206385,299.29343724250793,346055,0.487545967102,5036.69
0.0,-0.435089,810.86,2,7554.94994009,-0.00807104,4396,0.0242042,301.0491237640381,348055,0.00252997875214,5688.98
0.0,-0.430776,810.23,2,7549.12132347,7.42994e-05,4398,0.0224599,302.81402707099915,349992,0.301451385021,4446.32
0.0,-0.436269,810.23,2,7549.15767956,-0.00816866,4400,0.022594,304.58987283706665,351992,0.0354734063148,4650.38
0.0,-0.462082,810.23,2,7549.17156181,-0.0116495,4402,0.0152013,306.3549084663391,353992,-0.12767624855,5897.99
0.0,-0.447707,810.23,2,7549.1575895,-0.0104209,4404,0.0222115,308.10537672042847,355992,-0.0100209712982,5839.39
0.0,-0.45578,810.23,2,7549.19420405,-0.0110177,4406,0.0156392,309.87051010131836,357992,-0.196687579155,6071.6
0.0,-0.460829,806.62,3,7515.46837839,-0.0132542,4409,0.00987098,311.6293942928314,360142,0.341618418694,7118.94
0.0,-0.504402,805.84,2,7508.11984234,-0.0134544,4411,0.00696359,313.3943762779236,362064,0.341282129288,4586.33
0.0,-0.501624,805.84,2,7508.09184944,-0.0134499,4413,0.0179031,315.1437351703644,364064,0.042980492115,4284.05
0.0,-0.494745,793.14,4,7389.73862096,-0.015297,4417,0.013564,316.91078066825867,366539,0.380656182766,6270.4
0.0,-0.519625,795.34,2,7410.32230042,-0.0114977,4419,0.00951753,318.670437335968,368539,-0.0218644142151,5294.26
0.0,-0.534471,795.34,2,7410.40714219,-0.00476492,4421,0.0338676,320.4385094642639,370539,-0.139330387115,5861.54
0.0,-0.536902,795.34,2,7410.52060349,-0.00920347,4423,0.010996,322.2040648460388,372539,0.00646901130676,5658.32
0.0,-0.524595,795.34,2,7410.64169836,-0.00984269,4425,0.015671,323.9711649417877,374539,-0.028692483902,5862.16
0.0,-0.505476,797.2,3,7428.13727226,-0.00576281,4428,0.00617637,325.7353401184082,376755,0.2412545681,6545.76
0.0,-0.531342,795.52,2,7412.5702889,-0.012017,4430,0.011387,327.4955976009369,378587,0.233072340488,5148.24
0.0,-0.522565,788.23,3,7344.69216718,-0.00574088,4433,0.0109077,329.245888710022,380858,0.35882204771,6818.72
0.0,-0.515139,775.96,3,7230.34157297,-0.0063543,4436,0.0217764,331.0242602825165,382631,0.653576016426,4687.8
0.0,-0.510206,769.7,3,7172.00701134,-0.0112472,4439,0.0157751,332.76707458496094,385005,0.367324829102,6540.38
