EpRewMean,EpisodesSoFar,loss_vf_loss,ev_tdlam_before,loss_ent,loss_pol_surr,EpLenMean,loss_pol_entpen,EpThisIter,TimestepsSoFar,loss_kl,TimeElapsed
963.56,821,69.3107,0.00334316492081,0.992636,-0.00258272,963.56,0.0,2,116204,0.00462544,93.89043259620667
963.56,823,68.3521,-0.000668287277222,0.977034,-0.00307077,963.56,0.0,2,118204,0.00191451,95.53202509880066
963.56,825,64.1931,0.0379677414894,0.981556,-0.00350587,963.56,0.0,2,120204,0.00548353,97.1559829711914
970.82,827,65.4307,-0.00906813144684,0.976312,-0.005284,970.82,0.0,2,122204,0.00432937,98.79661178588867
970.82,829,66.4985,0.0248433947563,0.990285,-0.00319991,970.82,0.0,2,124204,0.00560423,100.43034529685974
970.82,831,67.5632,0.134217739105,0.968546,-0.00803942,970.82,0.0,2,126204,0.00862346,102.06271481513977
970.82,833,66.4195,0.00515806674957,0.963198,-0.0026152,970.82,0.0,2,128204,0.00715426,103.71892809867859
970.82,835,67.3395,0.031450688839,0.94702,-0.00547025,970.82,0.0,2,130204,0.010843,105.35957360267639
970.82,837,67.1319,-0.00100815296173,0.941051,-0.00316937,970.82,0.0,2,132204,0.00567596,107.00041007995605
970.82,839,65.6592,0.0192604064941,0.935337,-0.00235987,970.82,0.0,2,134204,0.00324904,108.64642691612244
970.82,842,97.2645,0.0118290185928,0.962385,-0.00328944,970.82,0.0,3,137204,0.00582716,110.28176927566528
970.82,844,65.1204,0.0348773002625,0.944523,-0.00578034,970.82,0.0,2,139204,0.00512269,111.92206382751465
970.82,846,65.8743,0.00945615768433,0.929625,-0.00214698,970.82,0.0,2,141204,0.0021265,113.60555052757263
970.82,848,66.7712,0.0102599859238,0.913322,-0.00549319,970.82,0.0,2,143204,0.00602655,115.2353150844574
971.0,850,65.6953,0.0204259157181,0.921421,-0.00610997,971.0,0.0,2,145204,0.00451896,116.87479948997498
971.0,852,67.0125,0.0191794633865,0.90497,-0.00424699,971.0,0.0,2,147204,0.0118762,118.51607728004456
971.0,854,67.9268,-0.0121692419052,0.916083,-0.00339907,971.0,0.0,2,149204,0.00362959,120.15595650672913
971.0,856,67.7573,-0.00133621692657,0.910301,-0.00510561,971.0,0.0,2,151204,0.0191753,121.79726314544678
976.76,858,67.3692,0.00554883480072,0.887223,-0.00484433,976.76,0.0,2,153204,0.00661184,123.43785834312439
983.27,860,63.4856,0.024910390377,0.897371,-0.00639144,983.27,0.0,2,155204,0.00660717,125.07820415496826
983.27,862,68.5709,0.0269479751587,0.895944,-0.00557844,983.27,0.0,2,157204,0.0138688,126.71860337257385
983.27,864,70.3549,-0.03009724617,0.908436,-0.00323333,983.27,0.0,2,159204,0.0039109,128.36149716377258
983.27,866,67.1116,0.0142856240273,0.884258,-0.00365815,983.27,0.0,2,161204,0.00404413,129.99985766410828
983.27,868,69.077,-0.029621720314,0.89542,-0.00390328,983.27,0.0,2,163204,0.00849933,131.67143940925598
983.27,870,68.9018,0.00957816839218,0.909735,-0.0051963,983.27,0.0,2,165204,0.00776187,133.2964425086975
983.27,872,68.8078,0.00635933876038,0.881351,-0.00609881,983.27,0.0,2,167204,0.00529484,134.95296573638916
983.27,874,68.921,0.00410330295563,0.874587,-0.00764825,983.27,0.0,2,169204,0.0101086,136.5782551765442
983.27,876,67.9249,-0.00862216949463,0.878086,-0.00474332,983.27,0.0,2,171204,0.00378154,138.2185411453247
983.27,878,67.3852,0.0246472358704,0.871803,-0.00803255,983.27,0.0,2,173204,0.0109769,139.84418368339539
999.69,880,65.1908,0.0160625576973,0.865269,-0.00480708,999.69,0.0,2,175204,0.00562228,141.49200248718262
1000.0,882,65.8183,0.0200406908989,0.850509,-0.0030022,1000.0,0.0,2,177204,0.0113179,143.12580347061157
1000.0,885,97.2562,-0.0497076511383,0.862116,-0.00570193,1000.0,0.0,3,180204,0.00502228,144.7501814365387
1000.0,887,66.7359,0.0163775086403,0.875053,-0.00372006,1000.0,0.0,2,182204,0.00473041,146.40611457824707
1000.0,889,64.8928,-0.0208947658539,0.865339,-0.00275782,1000.0,0.0,2,184204,0.0076623,148.04651474952698
1000.0,891,67.7095,-0.00605297088623,0.887329,-0.00484564,1000.0,0.0,2,186204,0.0125519,149.68792605400085
1000.0,893,68.3261,-0.0179425477982,0.895264,-0.00237468,1000.0,0.0,2,188204,0.00274533,151.32764410972595
1000.0,895,62.0708,0.0129519701004,0.888903,-0.00265302,1000.0,0.0,2,190204,0.00613445,152.96892189979553
1000.0,897,69.0076,-0.0158169269562,0.889431,-0.0025237,1000.0,0.0,2,192204,0.0086548,154.60928225517273
1000.0,899,69.272,-0.0166492462158,0.888525,-0.00323119,1000.0,0.0,2,194204,0.00475013,156.24987077713013
1000.0,901,66.8691,0.00601023435593,0.88489,-0.00792357,1000.0,0.0,2,196204,0.0125351,157.87547302246094
1000.0,903,68.201,-0.0230392217636,0.890314,-0.00833715,1000.0,0.0,2,198204,0.0144505,159.5317325592041
1000.0,905,66.4828,-0.00398766994476,0.875656,-0.0106169,1000.0,0.0,2,200204,0.00826343,161.17464017868042
1000.0,907,65.9965,-0.00152814388275,0.875799,-0.00445725,1000.0,0.0,2,202204,0.00687374,162.81234550476074
1000.0,909,68.1331,0.00581902265549,0.868228,-0.00454551,1000.0,0.0,2,204204,0.00160226,164.45364022254944
1000.0,911,68.6563,-0.00691902637482,0.87569,-0.0052854,1000.0,0.0,2,206204,0.00886098,166.07894802093506
1000.0,913,68.0316,-0.00866520404816,0.881815,-0.00627231,1000.0,0.0,2,208204,0.00470081,167.7188560962677
1000.0,915,68.0325,0.00149428844452,0.864491,-0.00767696,1000.0,0.0,2,210204,0.0168398,169.35950183868408
1000.0,917,58.8669,-0.00187909603119,0.858408,-0.00476457,1000.0,0.0,2,212204,0.00321548,171.01542901992798
1000.0,919,68.5268,-0.0386384725571,0.84736,-0.00798595,1000.0,0.0,2,214204,0.0148502,172.65579628944397
1000.0,921,62.3805,0.0195963978767,0.863951,-0.00348549,1000.0,0.0,2,216204,0.00729233,174.31280899047852
1000.0,923,63.7455,0.0888870358467,0.86895,-0.00417352,1000.0,0.0,2,218204,0.00891852,175.93781900405884
1000.0,925,67.0538,0.0616230964661,0.885645,-0.00657068,1000.0,0.0,2,220204,0.012722,177.57106804847717
1000.0,928,102.47,0.00150763988495,0.91147,-0.00574457,1000.0,0.0,3,223204,0.00623365,179.20342636108398
1000.0,930,70.2175,-0.00580322742462,0.906625,-0.00554605,1000.0,0.0,2,225204,0.00375753,180.85923504829407
1000.0,932,70.0594,0.000772833824158,0.880852,-0.00502833,1000.0,0.0,2,227204,0.00809589,182.48408389091492
1000.0,934,69.664,-0.00843560695648,0.881964,-0.00293539,1000.0,0.0,2,229204,0.00735031,184.14091992378235
1000.0,936,68.7424,0.00833749771118,0.897181,-0.00310451,1000.0,0.0,2,231204,0.00817156,185.765971660614
1000.0,938,68.8602,-0.00324177742004,0.887537,-0.00572957,1000.0,0.0,2,233204,0.00969291,187.43717288970947
1000.0,940,68.8067,-0.00409257411957,0.865008,-0.00374696,1000.0,0.0,2,235204,0.00278087,189.06276941299438
1000.0,942,67.572,0.0078432559967,0.847216,-0.00277775,1000.0,0.0,2,237204,0.0065578,190.70311975479126
1000.0,944,67.7032,0.0235139727592,0.84571,-0.00358968,1000.0,0.0,2,239204,0.00534035,192.34444665908813
1000.0,946,66.3439,0.0344585776329,0.846247,-0.00374571,1000.0,0.0,2,241204,0.00476444,193.98481726646423
1000.0,948,64.1882,0.0402260422707,0.836536,-0.00653677,1000.0,0.0,2,243204,0.0108581,195.62710762023926
1000.0,950,64.5288,0.0766822695732,0.817825,-0.00193728,1000.0,0.0,2,245204,0.00776836,197.28115320205688
1000.0,952,64.3222,0.0862690806389,0.82168,-0.00488207,1000.0,0.0,2,247204,0.00751395,198.92255997657776
1000.0,954,70.4404,0.0199933648109,0.82604,-0.00431475,1000.0,0.0,2,249204,0.00904095,200.57951021194458
1000.0,956,71.1889,0.00282216072083,0.804058,-0.00688472,1000.0,0.0,2,251204,0.00682492,202.21882724761963
1000.0,958,71.4026,-0.0186825990677,0.795923,-0.00247391,1000.0,0.0,2,253204,0.0147344,203.8591547012329
1000.0,960,69.6895,0.00560373067856,0.786726,-0.00565388,1000.0,0.0,2,255204,0.00789006,205.49979615211487
1000.0,962,68.5855,0.0163345336914,0.793243,-0.00278799,1000.0,0.0,2,257204,0.00957891,207.12544202804565
1000.0,964,69.5758,-0.00420498847961,0.806086,-0.00582925,1000.0,0.0,2,259204,0.00959756,208.76518940925598
1000.0,966,69.846,-0.0108516216278,0.806232,-0.00358404,1000.0,0.0,2,261204,0.00535855,210.40111756324768
1000.0,968,69.6004,-0.0110340118408,0.834351,-0.00468087,1000.0,0.0,2,263204,0.00621991,212.04723453521729
