loss_pol_surr,loss_kl,loss_ent,EpThisIter,TimeElapsed,EpLenMean,ev_tdlam_before,loss_vf_loss,loss_pol_entpen,EpRewMean,EpisodesSoFar,TimestepsSoFar
-0.0375409,0.0323373,1.6781,2,241.26625537872314,1000.0,0.0437056422234,97.1343,0.0,887.442051393,274,274000
-0.0404435,0.0283276,1.63721,2,243.0633420944214,1000.0,0.188217401505,99.7157,0.0,894.161328629,276,276000
-0.0469929,0.028317,1.63086,2,244.85962343215942,1000.0,0.715894311666,106.151,0.0,906.154103598,278,278000
-0.038588,0.0312169,1.59885,2,246.6561508178711,1000.0,0.168774008751,102.807,0.0,921.486836265,280,280000
-0.0401856,0.0252318,1.61773,2,248.4538414478302,1000.0,0.14312851429,102.12,0.0,927.372570944,282,282000
-0.0393155,0.0205053,1.58321,2,250.2349705696106,1000.0,0.185764372349,101.434,0.0,933.415672221,284,284000
-0.0403322,0.0254242,1.58234,2,252.03209686279297,1000.0,0.277299761772,104.457,0.0,938.0552655,286,286000
-0.0408629,0.0265148,1.56423,2,253.82888007164001,1000.0,0.157508552074,105.098,0.0,944.367806608,288,288000
-0.0415183,0.024844,1.53418,2,255.625750541687,1000.0,0.080591917038,103.477,0.0,963.985554225,290,290000
-0.0392266,0.0213045,1.51848,2,257.40686225891113,1000.0,0.0650215148926,102.143,0.0,970.603347615,292,292000
-0.0404866,0.0263866,1.49155,2,259.2043836116791,1000.0,0.202419042587,112.473,0.0,976.336172697,294,294000
-0.0332497,0.0304088,1.51584,2,261.00022768974304,1000.0,0.102400124073,101.12,0.0,982.175340597,296,296000
-0.0385518,0.0253888,1.52805,3,262.8025574684143,1000.0,0.0919588804245,146.614,0.0,989.470750346,299,299000
-0.0323351,0.0371669,1.47672,2,264.5952365398407,1000.0,0.049239218235,108.022,0.0,996.743695743,301,301000
-0.0559211,0.0264726,1.47174,2,266.40783309936523,1000.0,0.741064935923,107.781,0.0,1001.29725532,303,303000
-0.0516119,0.0239695,1.40374,2,268.2034544944763,1000.0,0.835244312882,104.527,0.0,995.442384901,305,305000
-0.0387974,0.0277052,1.34916,2,270.0000071525574,1000.0,0.0637127757072,102.595,0.0,999.66505761,307,307000
-0.0460531,0.0267232,1.36426,2,271.7968566417694,1000.0,0.468882203102,104.601,0.0,1003.2709572,309,309000
-0.0552742,0.0353799,1.33374,2,273.61009430885315,1000.0,0.878505811095,112.102,0.0,998.961819589,311,311000
-0.0424238,0.02473,1.35877,2,275.3911921977997,1000.0,0.114206790924,105.675,0.0,999.826551288,313,313000
-0.0403407,0.025442,1.34318,2,277.1877737045288,1000.0,0.258917093277,107.314,0.0,1004.03105386,315,315000
-0.0452314,0.0267493,1.31897,2,278.9853973388672,1000.0,0.478212654591,111.651,0.0,1007.09669459,317,317000
-0.0390802,0.0282035,1.32248,2,280.8289909362793,1000.0,0.122655034065,105.277,0.0,1010.05688927,319,319000
-0.0407936,0.0274504,1.31542,2,282.6301975250244,1000.0,0.122311890125,111.991,0.0,1029.21304957,321,321000
-0.0389481,0.0333538,1.28548,2,284.4227101802826,1000.0,0.118003606796,108.328,0.0,1032.5365431,323,323000
-0.0367223,0.0266408,1.24663,2,286.2196252346039,1000.0,0.0981423854828,110.172,0.0,1049.07036822,325,325000
-0.0510744,0.0357737,1.23504,2,288.0164270401001,1000.0,0.571814417839,116.889,0.0,1064.73669401,327,327000
-0.0399277,0.0230774,1.20561,2,289.8089590072632,1000.0,0.114035069942,104.885,0.0,1065.45138002,329,329000
-0.0420099,0.0251912,1.19326,2,291.5956389904022,1000.0,0.0839515924454,108.487,0.0,1067.34449204,331,331000
-0.0379703,0.025691,1.18028,2,293.39125871658325,1000.0,0.154934287071,102.974,0.0,1070.77738299,333,333000
-0.0432248,0.0260233,1.11849,2,295.18893456459045,1000.0,0.269592702389,110.545,0.0,1073.1195499,335,335000
-0.0406867,0.0239715,1.11008,2,296.96869564056396,1000.0,0.508725911379,101.42,0.0,1089.92877098,337,337000
-0.033321,0.0328906,1.09322,2,298.76646089553833,1000.0,0.199061214924,105.008,0.0,1092.02853713,339,339000
-0.0355498,0.0362955,1.1169,3,300.56245040893555,1000.0,0.0740324854851,151.973,0.0,1096.65524338,342,342000
-0.0386696,0.0318466,1.11122,2,302.34452414512634,1000.0,0.387092590332,113.135,0.0,1099.78418964,344,344000
-0.0403014,0.0306557,1.07444,2,304.1419894695282,1000.0,0.147186756134,107.419,0.0,1100.66256549,346,346000
-0.0418156,0.031641,1.07644,2,305.9376802444458,1000.0,0.359138071537,111.382,0.0,1103.62161984,348,348000
-0.0396586,0.0353785,1.05767,2,307.72014808654785,1000.0,0.271876275539,108.6,0.0,1105.72393878,350,350000
-0.0407608,0.0332752,1.04479,2,309.5159161090851,1000.0,0.106839179993,111.624,0.0,1108.11374291,352,352000
-0.0499104,0.0283317,1.02799,2,311.3125841617584,1000.0,0.599035084248,121.941,0.0,1108.96160029,354,354000
-0.0459598,0.0242542,1.01615,2,313.09504103660583,1000.0,0.219108104706,118.337,0.0,1111.59856195,356,356000
-0.0448486,0.0312027,0.998131,2,314.8908007144928,1000.0,0.501809895039,117.194,0.0,1113.68700543,358,358000
-0.0364588,0.0368764,0.938364,2,316.67179703712463,1000.0,0.23091173172,105.255,0.0,1114.71513904,360,360000
-0.0394117,0.0260311,0.909878,2,318.4691643714905,1000.0,0.0626019239426,116.207,0.0,1117.13898103,362,362000
-0.0335959,0.02906,0.896353,2,320.2667820453644,1000.0,0.0769621133804,114.713,0.0,1121.34660379,364,364000
-0.0341867,0.0356292,0.866724,2,322.0476007461548,1000.0,0.115963459015,125.322,0.0,1123.26179841,366,366000
-0.0340661,0.0292297,0.867257,2,323.82958245277405,1000.0,0.106703460217,120.74,0.0,1127.70543895,368,368000
-0.0274532,0.045748,0.874815,2,325.62519097328186,1000.0,0.108003735542,120.002,0.0,1131.06607598,370,370000
-0.0368934,0.0243325,0.887373,2,327.4061951637268,1000.0,0.0813345909119,119.218,0.0,1132.83221103,372,372000
-0.03484,0.0326243,0.866836,2,329.203973531723,1000.0,0.137754797935,119.423,0.0,1136.2830518,374,374000
-0.0336068,0.0293618,0.870916,2,331.000741481781,1000.0,0.077742934227,123.041,0.0,1137.88025472,376,376000
-0.03119,0.0410213,0.874549,2,332.7986390590668,1000.0,0.0553124547005,115.689,0.0,1139.48867221,378,378000
