loss_pol_entpen,EpisodesSoFar,loss_ent,EpThisIter,TimestepsSoFar,TimeElapsed,EpLenMean,loss_pol_surr,loss_vf_loss,EpRewMean,ev_tdlam_before,loss_kl
0.0,4536,18.7105,21,339882,611.9088804721832,99.34,-0.142305,0.377655,49.5438461895,0.959464110434,0.117694
0.0,4557,18.6896,21,342007,615.6342751979828,98.73,-0.139843,0.240458,49.1187994601,0.961717870086,0.104875
0.0,4576,18.6564,19,344057,619.3621108531952,99.79,-0.149635,0.253008,49.3672298815,0.955733057112,0.124335
0.0,4596,18.6397,20,346096,623.1255121231079,102.03,-0.147175,0.298568,50.2783624848,0.959671791643,0.134745
0.0,4615,18.6116,19,348099,626.8280851840973,102.83,-0.148993,0.243652,50.8062809016,0.962393332273,0.129009
0.0,4635,18.5805,20,350190,630.56422996521,104.36,-0.147976,0.274418,51.5628604012,0.961389463395,0.121116
0.0,4653,18.6038,18,352172,634.3366754055023,105.62,-0.135493,0.354421,52.1956365759,0.946554224938,0.121966
0.0,4673,18.5877,20,354262,638.0467247962952,104.89,-0.145402,0.382648,52.0254405899,0.955877501518,0.127736
0.0,4693,18.5865,20,356285,641.8137872219086,105.03,-0.135939,0.297146,51.8155214972,0.950358204544,0.11607
0.0,4712,18.5537,19,358357,645.5632212162018,106.07,-0.146244,0.395845,52.0229964271,0.945991575718,0.131777
0.0,4733,18.5319,21,360415,649.3161962032318,104.36,-0.141934,0.339062,51.107473724,0.960167799145,0.101061
0.0,4754,18.4773,21,362462,653.0693473815918,101.61,-0.145064,0.314019,49.7134231512,0.960526648909,0.116775
0.0,4773,18.4781,19,364427,656.7970044612885,101.65,-0.146002,0.349154,49.6374715614,0.945218943059,0.126572
0.0,4794,18.4462,21,366562,660.5237624645233,101.92,-0.143568,0.300227,49.8315903366,0.962867848575,0.109245
0.0,4813,18.391,19,368629,664.2349989414215,101.58,-0.148247,0.25517,50.0292194025,0.959320731461,0.13104
0.0,4833,18.3442,20,370642,667.9699740409851,102.27,-0.146299,0.274281,50.2935671368,0.963822051883,0.130875
0.0,4851,18.3069,18,372705,671.7403671741486,105.2,-0.144672,0.313541,51.7454699428,0.95970351994,0.128811
0.0,4870,18.2733,19,374744,675.5025856494904,106.21,-0.147151,0.244443,52.327622859,0.96944918856,0.11771
0.0,4891,18.2467,21,376754,679.23530626297,104.98,-0.147445,0.36247,51.5995200117,0.962411727756,0.129925
0.0,4912,18.1785,21,378868,682.9999022483826,104.0,-0.141463,0.258602,50.9927186023,0.967768471688,0.117917
0.0,4931,18.1743,19,380850,686.7226560115814,104.02,-0.138299,0.331141,50.9496283197,0.958154279739,0.110532
0.0,4950,18.1604,19,382878,690.4768204689026,102.91,-0.143558,0.282897,50.4787477619,0.962197232991,0.127732
0.0,4970,18.1087,20,385020,694.2504391670227,102.76,-0.151225,0.210451,50.3599903458,0.971538092941,0.135518
0.0,4988,18.0823,18,387037,697.9929988384247,106.01,-0.133712,0.295413,51.9002373477,0.946288589388,0.140594
0.0,5007,18.0638,19,389047,701.7573382854462,106.39,-0.145485,0.323464,52.1949282622,0.958210907876,0.140558
0.0,5029,18.0418,22,391158,705.4773681163788,105.77,-0.142167,0.385309,52.3324966888,0.966722678393,0.118846
0.0,5048,18.0058,19,393156,709.2191960811615,104.96,-0.141645,0.257796,52.1457614369,0.963874109089,0.137069
0.0,5067,18.0192,19,395156,712.9633476734161,104.48,-0.146228,0.253678,52.1533926473,0.968462083489,0.135966
0.0,5088,17.9834,21,397277,716.6888494491577,102.4,-0.147173,0.284366,51.2565788905,0.965607911348,0.124904
0.0,5107,18.0025,19,399331,720.4328370094299,102.84,-0.147739,0.342906,51.4904198795,0.962565712631,0.124571
0.0,5125,17.9604,18,401328,724.1959519386292,105.48,-0.147129,0.232983,52.4756532598,0.965315319598,0.141465
0.0,5145,17.9301,20,403419,727.9153206348419,105.44,-0.14925,0.330959,52.6888739171,0.969728078693,0.12191
0.0,5165,17.8562,20,405441,731.65878033638,104.94,-0.14771,0.285024,52.5226613002,0.964478265494,0.134557
0.0,5185,17.8191,20,407494,735.3983116149902,105.1,-0.150444,0.313594,52.69834627,0.965520124882,0.124654
0.0,5204,17.7952,19,409487,739.12526679039,104.31,-0.141591,0.222467,52.5415781226,0.968912867829,0.132968
0.0,5223,17.7793,19,411563,742.9218587875366,104.85,-0.144765,0.285373,53.0000315198,0.96877466701,0.115247
0.0,5245,17.7575,22,413665,746.6876225471497,102.46,-0.141089,0.374027,51.4205717149,0.957536198199,0.117467
0.0,5265,17.6729,20,415736,750.4535012245178,102.95,-0.143693,0.358088,51.6195554495,0.972655190155,0.129043
0.0,5282,17.6167,17,417726,754.2190890312195,105.82,-0.151725,0.271318,52.8400364642,0.962294176221,0.130479
0.0,5304,17.5634,22,419830,757.9534420967102,103.43,-0.149423,0.225941,51.6679939338,0.973380275071,0.135494
0.0,5323,17.5107,19,421823,761.7196664810181,102.6,-0.146889,0.296805,51.3230836119,0.966170825064,0.13199
0.0,5343,17.4767,20,423892,765.487443447113,104.12,-0.138601,0.217119,52.0039393753,0.966976709664,0.132126
0.0,5362,17.4639,19,425954,769.2345521450043,105.58,-0.141797,0.298713,53.0095289397,0.964415561408,0.139347
0.0,5380,17.4364,18,427948,772.9773316383362,105.68,-0.14656,0.231926,53.2018942344,0.967728149146,0.135321
0.0,5398,17.3859,18,430036,776.7504749298096,108.18,-0.1456,0.240539,54.3492014311,0.970320172608,0.145281
0.0,5418,17.3727,20,432109,780.5315980911255,108.22,-0.146505,0.265216,54.1006602236,0.971916347742,0.135272
0.0,5437,17.3326,19,434095,784.3162081241608,108.24,-0.148808,0.308367,54.3078472871,0.963024407625,0.139083
0.0,5456,17.3141,19,436171,788.0710215568542,108.62,-0.141302,0.236093,54.4200423423,0.967810414732,0.143356
0.0,5475,17.2736,19,438186,791.8752198219299,107.73,-0.14262,0.271914,53.5022119136,0.970292512327,0.147655
0.0,5494,17.2386,19,440270,795.6489577293396,106.85,-0.14016,0.246782,52.9725534129,0.962895013392,0.1407
0.0,5513,17.2184,19,442313,799.46080493927,107.36,-0.139718,0.292594,53.0206245438,0.961321234703,0.120494
0.0,5531,17.1802,18,444333,803.265903711319,108.95,-0.145698,0.297519,53.8517128395,0.963461574167,0.129297
0.0,5549,17.157,18,446379,807.0312201976776,110.01,-0.13887,0.292611,54.1576684765,0.93803473562,0.13917
0.0,5568,17.1024,19,448388,810.8246421813965,109.3,-0.146093,0.322885,53.9360182313,0.961502861232,0.158976
0.0,5585,17.0849,17,450555,814.8276481628418,113.27,-0.145472,0.292923,55.896875571,0.964440178126,0.129389
0.0,5604,17.0822,19,452542,818.8125693798065,112.41,-0.14668,0.237591,55.9808776741,0.967199355364,0.131216
0.0,5623,17.0373,19,454607,822.7972512245178,110.58,-0.142853,0.391924,54.8641449743,0.949380747974,0.128907
0.0,5642,17.0,19,456676,826.7812211513519,110.4,-0.144365,0.326776,54.7592286512,0.958955239505,0.153569
0.0,5660,16.9071,18,458712,830.8128445148468,111.35,-0.141395,0.316738,55.2003941841,0.970758121461,0.147227
0.0,5679,16.8392,19,460652,834.7188136577606,107.5,-0.138607,0.299882,53.2888101131,0.969324756414,0.12761
0.0,5700,16.8146,21,462845,838.4716384410858,107.67,-0.143492,0.292979,53.1080958479,0.966308444738,0.131179
0.0,5718,16.8071,18,464800,842.265926361084,107.08,-0.137652,0.338431,52.7064432204,0.960862159729,0.128564
0.0,5739,16.8249,21,466934,846.0226411819458,105.64,-0.14678,0.361406,52.0650989359,0.955654062331,0.149252
0.0,5758,16.8132,19,468978,849.7896983623505,104.61,-0.141417,0.348423,51.6810875447,0.953270006925,0.145014
