EpLenMean,loss_ent,EpRewMean,TimestepsSoFar,EpThisIter,loss_pol_entpen,loss_vf_loss,ev_tdlam_before,loss_pol_surr,loss_kl,TimeElapsed,EpisodesSoFar
952.47,1.075,952.47,449747,2,0.0,69.0216,-0.00294959545135,-0.00645574,0.00716078,356.82820224761963,1217
955.54,1.06123,955.54,451747,2,0.0,68.8968,-0.00268363952637,-0.00598781,0.00765923,358.4399485588074,1219
955.54,1.05582,955.54,453747,2,0.0,68.8656,-0.000255942344666,-0.00575145,0.003559,360.0805687904358,1221
955.54,1.06815,955.54,455747,2,0.0,65.602,0.00502520799637,-0.00703238,0.00628999,361.7371115684509,1223
955.54,1.06017,955.54,458747,3,0.0,100.961,0.00890111923218,-0.0071514,0.00481547,363.3653151988983,1226
955.54,1.07244,955.54,460747,2,0.0,68.1103,-0.00603413581848,-0.0058284,0.0102519,364.9828107357025,1228
955.54,1.07306,955.54,462747,2,0.0,68.098,-0.00515758991241,-0.00450488,0.00457749,366.5930995941162,1230
955.54,1.10051,955.54,464747,2,0.0,68.2011,-0.00133967399597,-0.00420548,0.00495596,368.2255916595459,1232
965.42,1.13176,965.42,466747,2,0.0,68.261,-0.000513792037964,-0.00611981,0.00614692,369.8349394798279,1234
965.42,1.12444,965.42,468747,2,0.0,68.2749,-0.00016176700592,-0.00464935,0.00295841,371.4585678577423,1236
965.42,1.12031,965.42,470747,2,0.0,68.3458,-0.000715374946594,-0.00575353,0.00420392,373.06085658073425,1238
965.42,1.12537,965.42,472747,2,0.0,68.4223,-0.000150084495544,-0.00564344,0.00545649,374.67767357826233,1240
